S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
22,91,S,,SA,22,90-91,335.8505616,1.27,115.900078,,11.09130556,78.89127778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89127777777779 11.091305555555556, 78.8931388888889 11.088861111111111)"
23,92,T,,SC,22,91-92,340.0341019,1.96,111.280861,"4°30'18"" R",11.08886111,78.89313889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8931388888889 11.088861111111111, 78.89455555555556 11.08663888888889)"
24,93,S,,SA,22,92-93,290.2043976,2.27,109.65564,,11.08663889,78.89455556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89455555555556 11.08663888888889, 78.89608333333334 11.084305555555556)"
25,94,S,,SA,22,93-94,306.8338267,1.56,106.323715,,11.08430556,78.89608333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89608333333334 11.084305555555556, 78.89744444444445 11.08225)"
26,95,S,,SA,22,94-95,272.2407621,4.67,104.184517,,11.08225,78.89744444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89744444444445 11.08225, 78.89866666666667 11.080388888888889)"
27,96,S,,SA,22,95-96,244.820908,2.63,105.563805,,11.08038889,78.89866667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89866666666667 11.080388888888889, 78.89997222222223 11.078388888888888)"
28,97,S,,SA,22,96-97,263.0076163,1.95,105.224541,,11.07838889,78.89997222,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89997222222223 11.078388888888888, 78.90177777777778 11.07563888888889)"
29,98,S,,SA,22,97-98,362.5147313,3.31,101.752434,,11.07563889,78.90177778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90177777777778 11.07563888888889, 78.90305555555557 11.073666666666666)"
30,99,S,2W,SA,22,98-99,260.9993942,2.11,99.515121,,11.07366667,78.90305556,GOOD,Available,,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90305555555557 11.073666666666666, 78.90433333333334 11.071638888888888)"
31,100,S,,SA,22,99-100,263.9421945,1.77,103.320244,,11.07163889,78.90433333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90433333333334 11.071638888888888, 78.90577777777779 11.069444444444445)"
