S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (K.Sathanoor SS),Gantry,2W,H-POLE,12,,,,95.950096,,10.75658333,78.68408333,GOOD,,,,PLAIN,Rail Pole,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68408333333333 10.756583333333333, 78.68422222222223 10.756527777777778)"
2,25,T,,DC,26,Gantry-1,16.49232292,2.64,96.499947,"89°46'60"" L",10.75652778,78.68422222,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68422222222223 10.756527777777778, 78.68433333333334 10.757)"
3,26,T,,DC,26,01-Feb,52.25927041,1.5,96.876457,"53°10'34"" R",10.757,78.68433333,GOOD,Available,HT - 3No,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68433333333334 10.757, 78.6855 10.755666666666666)"
4,27,S,,SA,22,02-Mar,194.0160814,1.43,100.10598,,10.75566667,78.6855,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6855 10.755666666666666, 78.68675 10.754166666666666)"
5,28,S,,SA,22,03-Apr,215.9482739,2.91,96.39093,,10.75416667,78.68675,GOOD,Available,HT - 3No,Street,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68675 10.754166666666666, 78.68813888888889 10.752472222222222)"
6,29,S,,SA,22,04-May,240.9045011,3.89,99.649536,,10.75247222,78.68813889,GOOD,Available,"HT,LT-4No",Street,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68813888888889 10.752472222222222, 78.68941666666667 10.750944444444444)"
7,30,S,,SA,22,05-Jun,218.6547706,3.08,101.959381,,10.75094444,78.68941667,GOOD,Available,"HT,LT-3No",Street,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68941666666667 10.750944444444444, 78.69055555555556 10.74961111111111)"
8,31,S,,SA,22,06-Jul,194.1926067,4.21,103.996048,,10.74961111,78.69055556,GOOD,Available,"HT-2No,LT-3No",Street,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69055555555556 10.74961111111111, 78.69191666666667 10.748)"
9,32,S,,SA,22,07-Aug,232.0554902,1.7,104.871429,,10.748,78.69191667,GOOD,Available,"HT-3No,LT-4No",Street,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69191666666667 10.748, 78.693 10.746694444444444)"
10,33,S,,SA,22,08-Sep,187.5311043,2.46,102.550285,,10.74669444,78.693,GOOD,Available,"HT-2No,LT-5No","Road, Street Area",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.693 10.746694444444444, 78.69430555555556 10.745166666666666)"
