S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length ( Mtr ),Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 116,T,3W,DC,26,,,,,,10.90813889,78.83438889,GOOD,,,,PLAIN,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83438888888888 10.908138888888889, 78.83508333333333 10.907166666666667)"
2, 116/1,T,,DC,26, 116 -  116/1,130.9570374,,70.237381,"25°8'37"" L",10.90716667,78.83508333,GOOD,Available,,,PLAIN,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83508333333333 10.907166666666667, 78.83613888888888 10.906527777777779)"
3, 116/2,S,,DA,26, 116/1- 116/2,136.4094069,1.9,70.016258,,10.90652778,78.83613889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83613888888888 10.906527777777779, 78.83805555555556 10.905444444444445)"
4, 116/3,T,,DC,26, 116/2- 116/3,241.2492593,1.1,70.452751,"47°24'21"" L",10.90544444,78.83805556,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83805555555556 10.905444444444445, 78.83972222222222 10.905944444444446)"
5, 116/4,T,,DC,26, 116/3- 116/4,190.7253184,3.22,70.096802,"9°24'37"" R",10.90594444,78.83972222,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83972222222222 10.905944444444446, 78.84138888888889 10.906166666666667)"
6, 116/5,T,,DC,26, 116/4- 116/5,185.6031376,2.72,70.163536,"39°37'31"" R",10.90616667,78.84138889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84138888888889 10.906166666666667, 78.84197222222221 10.905833333333334)"
7, 116/6,T,,DC,26, 116/5- 116/6,73.89855558,3.27,65,"6°28'6"" R",10.90583333,78.84197222,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84197222222221 10.905833333333334, 78.84211111111111 10.905694444444444)"
8, Gantry at Poovalur SS,Gantry,2W,H-POLE,12, 116/6- Gantry ,20.54336149,,64,,10.90569444,78.84211111,GOOD,NO E/W,,,SS,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
