,Tower No,Tower Type & Supspension/Tenion,JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
17,T.NO 16 DC,T,,24,15-16,NO,,282.0638226,,74,"00°00'00.0""",78.65275,10.82097222,GOOD,GOOD,NO,LT 2 NOS,MUD ROAD AND THAAR ROAD,CULTIVATION LAND,INSIDE FENCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65275000000001 10.820972222222222, 78.65383333333334 10.823472222222222)"
18,T.NO 17 DC,S,,26,16-17,NO,,301.8758023,,75,,78.65383333,10.82347222,GOOD,GOOD,NO,,,CULTIVATION LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65383333333334 10.823472222222222, 78.65488888888889 10.825888888888889)"
19,T.NO 18 DC,S,,26,17-18,DIFFICULT,,291.4052162,,73,,78.65488889,10.82588889,GOOD,GOOD,NO,,,CULTIVATION LAND,INSIDE FENCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65488888888889 10.825888888888889, 78.65597222222223 10.82836111111111)"
20,T.NO 19 DC,S,,26,18-19,DIFFICULT,,296.3798239,,74,,78.65597222,10.82836111,GOOD,GOOD,NO,,,CULTIVATION LAND,INSIDE FENCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65597222222223 10.82836111111111, 78.65708333333333 10.831666666666667)"
21,T.NO 20 DC,T,,24,19-20,DIFFICULT,,387.703495,,73,"13°28'43.2""",78.65708333,10.83166667,GOOD,GOOD,NO,,,CULTIVATION LAND,INSIDE FENCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65708333333333 10.831666666666667, 78.65811111111111 10.833333333333334)"
22,T.NO 21 DC,S,,26,20-21,DIFFICULT,,215.288179,,76,,78.65811111,10.83333333,GOOD,GOOD,YES,,,CULTIVATION LAND,INSIDE FENCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65811111111111 10.833333333333334, 78.65919444444445 10.835666666666667)"
23,T.NO 22 DC,S,,26,21-22,YES,,282.7949787,,78,,78.65919444,10.83566667,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65919444444445 10.835666666666667, 78.66019444444446 10.837916666666667)"
24,T.NO 23 DC,T,,27,22-23,YES,,273.5342757,,78,"00°00'00.0""",78.66019444,10.83791667,GOOD,GOOD,NO,,,CULTIVATION LAND,WATER LOGGED AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66019444444446 10.837916666666667, 78.66061111111112 10.838944444444445)"
25,T.NO 24 LILO POINT, T,3W,29,23-24,YES,,120.5404496,,79,"81°21'4.8""",78.66061111,10.83894444,GOOD,GOOD,NO,,,PLAIN LAND,"INSIDE WATERBUSHES,LILO TO SRIRANGAM 110KV.            2 EARTH WIRE. OUR EARTH WIRE CONTINUE, ANOTHER EARTH WIRE CONNECT TO SRI RANGAM 110KV TOWER . (NEED JUNCTION BOX)",2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66061111111112 10.838944444444445, 78.66294444444445 10.838361111111112)"
26,T.NO 25 DC,S ,,29,24-25,YES,,263.1539473,,73,,78.66294444,10.83836111,GOOD,GOOD,NO,,,,WATER LOGGED AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66294444444445 10.838361111111112, 78.66427777777778 10.838111111111111)"
27,T.NO 26 DC,T,,29,25-26,DIFFICULT,,148.8522758,,75,"2°48'6.5""",78.66427778,10.83811111,GOOD,GOOD,NO,LT,,,WATER LOGGED AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66427777777778 10.838111111111111, 78.66441666666667 10.838083333333334)"
28,T.NO 27 DC,T,,27,26-27,NO,,16.4924225,,74,"7°11'36.5""",78.66441667,10.83808333,GOOD,GOOD,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66441666666667 10.838083333333334, 78.66511111111112 10.838000000000001)"
29,T.NO 28 DC,T,,29,27-28,NO,,75.53806987,,75,"26°8'40.5""",78.66511111,10.838,GOOD,GOOD,NO,110KV LINE CROSSING,,WATER LOGGED AREA,110 KV LONE CROSSING BELOW OUR LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66511111111112 10.838000000000001, 78.66708333333334 10.838694444444444)"
30,T.NO 29 DC,S,,29,28-29,NO,,229.9239005,,73,,78.66708333,10.83869444,GOOD,GOOD,NO,11KV,,,INSIDE WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66708333333334 10.838694444444444, 78.66869444444445 10.839305555555557)"
31,T.NO 30 DC,S,,29,29-30,YES,,186.3357185,,75,,78.66869444,10.83930556,GOOD,GOOD,NO,,,,INSIDE WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66869444444445 10.839305555555557, 78.67072222222222 10.840055555555557)"
32,T.NO 31 DC,S,,29,30-31,NO,,239.1359446,,73,,78.67072222,10.84005556,GOOD,GOOD,NO,LT ,MUD ROAD,,INSIDE WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67072222222222 10.840055555555557, 78.67275000000001 10.840805555555557)"
33,T.NO 32 DC,S,,26,31-32,NO,,234.785008,1.86,74,,78.67275,10.84080556,GOOD,GOOD,NO,,,,INSIDE WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67275000000001 10.840805555555557, 78.67494444444445 10.841611111111112)"
34,T.NO 33 DC,T,,29,32-33,NO,,256.5638322,,72,"22°15'24.5""",78.67494444,10.84161111,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67494444444445 10.841611111111112, 78.6761388888889 10.842722222222223)"
35,T.NO 34 DC,S,,29,33-34,NO,,181.2181006,,72,,78.67613889,10.84272222,GOOD,GOOD,NO,,,,INSIDE WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6761388888889 10.842722222222223, 78.67758333333333 10.84388888888889)"
36,T.NO 35 DC,T,,29,34-35,NO,,202.5660386,,72,"27°20'52.2""",78.67758333,10.84388889,GOOD,GOOD,NO,,,,INSIDE WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67758333333333 10.84388888888889, 78.67927777777778 10.84425)"
37,T.NO 36 DC,S,,26,35-36,NO,,190.0447316,,76,,78.67927778,10.84425,GOOD,GOOD,NO,LT,,,INSIDE WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67927777777778 10.84425, 78.68127777777778 10.844666666666667)"
38,T.NO 37 DC,T,,38,36-37,YES,,223.5754906,2.73,77,"21°32'7.8""",78.68127778,10.84466667,GOOD,GOOD,NO,11KV,,,INSIDE WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68127777777778 10.844666666666667, 78.68261111111111 10.845555555555556)"
39,T.NO 38 DC,T,,35,37-38,YES,,175.5704987,1.09,75,"1°4'7.3""",78.68261111,10.84555556,GOOD,GOOD,NO,11KV,"MUD AND THAAR ROAD CROSSING, ELECTRICAL RAILWAY TRACK CROSSING",PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68261111111111 10.845555555555556, 78.68283333333333 10.845722222222223)"
40,GANDRY KAMBARASAMPETTAI SS,GANTRY,2W,20,38- GANTRY,YES,,30.23243292,,81,,78.68283333,10.84572222,GOOD,GOOD,NO,,,,NO EARTH WIRE TO GANDRY,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
