S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY 110KV Ulundurpet,GANTRY,GANTRY,15,,,6.2,92,,11.66186,79.25441,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25441 11.66186, 79.25482 11.66153)"
2,T.NO-09,SC,T,26,GANTRY-09,61,7.5,91,"48°35'46""LT",11.66153,79.25482,GOOD,MISSING,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25482 11.66153, 79.25736 11.66189)"
3,T.NO-08,SC,T,26,09-08,283,9.5,90,"43°20'31""RT",11.66189,79.25736,GOOD,AVAILABLE,11KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25736 11.66189, 79.25924 11.6606)"
4,T.NO-07,SC,S,26,08-07,252,6,88,"9°10'35""RT",11.6606,79.25924,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25924 11.6606, 79.26147 11.65955)"
5,T.NO-06,SC,S,26,07-06,273,8.8,86,"1°54'49""LT",11.65955,79.26147,GOOD,AVAILABLE,2-LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26147 11.65955, 79.26313 11.65869)"
6,T.NO-05,SC,T,26,06-05,207,5.8,88,"05°56'58""LT",11.65869,79.26313,GOOD,AVAILABLE,,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26313 11.65869, 79.26467 11.65768)"
2,T.NO-04,SC,S,26,05-04,204,9.4,86,,11.65768,79.26467,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26467 11.65768, 79.26649 11.6565)"
8,T.NO-03,SC,T,26,04-03,241,4.6,87,"0°48'02""LT",11.6565,79.26649,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26649 11.6565, 79.26843 11.65519)"
9,T.NO-02,SC,T,26,03-02,259,7.3,85,"3°06'25""RT",11.65519,79.26843,GOOD,AVAILABLE,230KV CROSSING,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26843 11.65519, 79.26996 11.65428)"
10,T.NO-01,SC,T,26,02-01,198,6.8,83,"39°43'07""LT",11.65428,79.26996,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26996 11.65428, 79.2721 11.65457)"
11,T.NO-37 LILO,DC,T,28,01-37 LILO,238,7.6,82,"72°36'05""LT",11.65457,79.2721,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2721 11.65457, 79.2716 11.65168)"
