S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,,,,,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 01,T,3W,DC,26,,,1.06,62.814011,,10.48494444,79.06597222,3W,,,,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06597222222221 10.484944444444444, 79.06730555555555 10.486916666666666)"
2,2,T,,DB,26, 1 - 2,263.6373575,6.11,60.951321,"6°7'59"" R",10.48691667,79.06730556,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06730555555555 10.486916666666666, 79.06863888888888 10.48847222222222)"
3,3,T,,DB,26,02-Mar,225.8160918,4.02,60.102051,"11°5'44"" L",10.48847222,79.06863889,,,,,GOOD,Available,LT- 4NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06863888888888 10.48847222222222, 79.06969444444444 10.490333333333332)"
4,4,S,,DA,26,03-Apr,236.158316,4.15,61.92062,,10.49033333,79.06969444,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06969444444444 10.490333333333332, 79.07088888888889 10.49236111111111)"
5,5,S,,DA,26,04-May,260.7498705,1.78,61.55114,,10.49236111,79.07088889,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07088888888889 10.49236111111111, 79.072 10.494333333333332)"
6,6,S,,DA,26,05-Jun,250.5448758,2.56,61.672562,,10.49433333,79.072,,,,,GOOD,Available,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.072 10.494333333333332, 79.07297222222222 10.495972222222221)"
7,7,T,,DC,26,06-Jul,209.3301132,2.03,61.285309,"52°58'41"" R",10.49597222,79.07297222,,,,,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07297222222222 10.495972222222221, 79.07227777777777 10.497888888888887)"
8,8,S,,DA,26,07-Aug,225.0966234,2.27,63.171513,,10.49788889,79.07227778,,,,,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07227777777777 10.497888888888887, 79.07138888888889 10.500194444444444)"
9,9,S,,DA,26,08-Sep,275.0082544,1.48,65.28775,,10.50019444,79.07138889,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07138888888889 10.500194444444444, 79.0705 10.502555555555556)"
10,10,T,,DC,26,09-Oct,276.3198589,0.69,67.003029,"19°45'44"" R",10.50255556,79.0705,,,,,GOOD,Available,"LT,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0705 10.502555555555556, 79.07044444444445 10.505027777777778)"
