S. No ,Tower No,Supspension/Tenion,JOINT BOX,,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
20,T.NO-67,T,,DB,24,66-67,NO,288.5134312,2.73,39,"0°00'00.00""",79.22711111,10.78786111,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.22711111111111 10.787861111111111, 79.22938888888889 10.787555555555555)"
21,T.NO-68,S,,DA,26,67-68,YES,253.4284909,2.47,42,,79.22938889,10.78755556,GOOD,GOOD,NO,2nos LT,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.22938888888889 10.787555555555555, 79.23186111111112 10.787222222222223)"
22,T.NO-69,S,,DA,26,68-69,NO,271.8124353,WATER,40,,79.23186111,10.78722222,GOOD,GOOD,NO,,,CULTIVATION,Z E ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.23186111111112 10.787222222222223, 79.23436111111111 10.786888888888889)"
23,T.NO-70,T,,DB,24,69-70,YES,276.7616303,1.27,40,"0°00'00.00""",79.23436111,10.78688889,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.23436111111111 10.786888888888889, 79.23652777777778 10.786583333333333)"
24,T.NO-71,S,,DA,26,70-71,NO,237.4468362,3.27,39,,79.23652778,10.78658333,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.23652777777778 10.786583333333333, 79.23897222222222 10.786277777777778)"
25,T.NO-72,S,,DA,26,71-72,NO,271.3982314,2.32,38,,79.23897222,10.78627778,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.23897222222222 10.786277777777778, 79.24113888888888 10.786)"
26,T.NO-73,S,,DA,26,72-73,NO,238.2960344,2.86,37,,79.24113889,10.786,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24113888888888 10.786, 79.24347222222222 10.785638888888888)"
27,T.NO-74,T,,DB,24,73-74,NO,258.4356787,2.79,38,"1°32'33.23""",79.24347222,10.78563889,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24347222222222 10.785638888888888, 79.24555555555555 10.785361111111111)"
28,T.NO-75,S,,DA,26,74-75,NO,228.1161985,2.23,43,,79.24555556,10.78536111,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24555555555555 10.785361111111111, 79.24802777777778 10.785083333333333)"
29,T.NO-76,S,,DA,26,75-76,NO,273.1245137,1.98,38,,79.24802778,10.78508333,GOOD,GOOD,NO,11KV,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24802777777778 10.785083333333333, 79.25052777777778 10.78475)"
30,T.NO-77,S,,DA,26,76-77,NO,275.632001,2.67,35,,79.25052778,10.78475,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25052777777778 10.78475, 79.25288888888889 10.784472222222222)"
31,T.NO-78,T,,DC,26,77-78,NO,261.8415551,2.27,36,"19°10'12.60""",79.25288889,10.78447222,GOOD,GOOD,NO,11KV,MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25288888888889 10.784472222222222, 79.25536111111111 10.785027777777778)"
32,T.NO-79,T,,DB,24,78-79,NO,275.3942628,2.23,37,"0°00'00.00""",79.25536111,10.78502778,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25536111111111 10.785027777777778, 79.25808333333333 10.785666666666666)"
33,POONDI LILO - 1,T,3W,LILO,29,79-LILO-1,NO,308.058436,-,38,"101°8'18.46""",79.25808333,10.78566667,GOOD,GOOD,NO,LT,,CULTIVATION,"(NEED JUCTION BOX) 2 EARTH WIRE. 1 E/W CONTINUE TO OUR T.NO-2, ANOTHER E/W CONNECT TO KOILVENNI 110KV T.NO-80 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25808333333333 10.785666666666666, 79.25819444444444 10.783083333333334)"
34,T.NO-2,S,,DA,29,LILO-1 - 2,YES,287.1741632,2.23,37,,79.25819444,10.78308333,GOOD,GOOD,NO,"2nos LT, 11KV",MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25819444444444 10.783083333333334, 79.25833333333334 10.780416666666667)"
35,T.NO-3,T,,DB,32,02-Mar,YES,294.2872746,2.92,37,"8°11'57.73""",79.25833333,10.78041667,GOOD,GOOD,NO,2nos LT,TAAR ROAD SH,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25833333333334 10.780416666666667, 79.25877777777778 10.778166666666667)"
36,T.NO-4,T,,DB,33,03-Apr,NO,252.4143419,2.27,38,"4°58'6.87""",79.25877778,10.77816667,GOOD,GOOD,NO,,"CANAL, POND",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25877777777778 10.778166666666667, 79.25888888888889 10.777194444444445)"
37,T.NO-5,T,,DD,34,04-May,NO,109.5536398,2.35,37,"50°20'32.56""",79.25888889,10.77719444,GOOD,GOOD,NO,,ELECTRICAL RAILWAY CROSSING,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25888888888889 10.777194444444445, 79.25702777777778 10.775333333333334)"
38,T.NO-6,S,,DA,26,05-Jun,YES,289.2144533,1.87,38,,79.25702778,10.77533333,GOOD,GOOD,NO,11KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25702777777778 10.775333333333334, 79.25541666666666 10.77363888888889)"
39,T.NO-7,S,,DA,26,06-Jul,NO,256.727482,2.37,41,,79.25541667,10.77363889,GOOD,GOOD,NO,11KV,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25541666666666 10.77363888888889, 79.25372222222222 10.771916666666668)"
