S. No ,Tower No,Supspension/Tenion,JOINT BOX,Circuit,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Tower Condition,Earthing Available,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,KADALANGUDI LILO-19,LILO,3W,,,32,,,1.96,20,,79.582,11.05641667,GOOD,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.582 11.056416666666667, 79.58127777777777 11.055166666666667)"
2,T.NO-20,S,,SC,SA,26,LILO-19-20,160.3776792,2.15,17,,79.58127778,11.05516667,GOOD,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58127777777777 11.055166666666667, 79.57974999999999 11.052944444444446)"
3,T.NO-21,S,,SC,SA,26,20-21,295.4200399,1.86,20,,79.57975,11.05294444,GOOD,GOOD,GOOD,NO,"LT,11 KV",,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57974999999999 11.052944444444446, 79.57822222222222 11.05075)"
4,T.NO-22,S,,SC,SA,26,21-22,293.462093,1.81,21,,79.57822222,11.05075,GOOD,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57822222222222 11.05075, 79.57680555555555 11.048694444444445)"
5,T.NO-23,S,,SC,SA,26,22-23,275.1817581,1.91,18,,79.57680556,11.04869444,GOOD,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57680555555555 11.048694444444445, 79.57533333333333 11.046555555555555)"
6,T.NO-24,S,,SC,SA,26,23-24,285.6868915,1.71,22,,79.57533333,11.04655556,GOOD,GOOD,GOOD,NO,,CANAL,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57533333333333 11.046555555555555, 79.57386111111111 11.044444444444444)"
7,T.NO-25,S,,SC,SA,26,24-25,283.7833681,1.97,20,,79.57386111,11.04444444,GOOD,GOOD,GOOD,NO,"2NOS LT,11KV",TAAR ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57386111111111 11.044444444444444, 79.57241666666667 11.042305555555556)"
8,T.NO-26,S,,SC,SA,26,25-26,286.7821473,1.97,19,,79.57241667,11.04230556,GOOD,GOOD,GOOD,NO,,CANAL,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57241666666667 11.042305555555556, 79.57080555555555 11.039972222222222)"
9,T.NO-27,S,,SC,SA,26,26-27,310.4094071,1.68,19,,79.57080556,11.03997222,GOOD,GOOD,GOOD,NO,"2NOS LT,",,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57080555555555 11.039972222222222, 79.57 11.038722222222223)"
10,T.NO-28 LILO,T,3W,DC,LILO,32,27-28LILO,165.8945448,1.31,23,"104°22'0""",79.57,11.03872222,GOOD,GOOD,GOOD,NO,,,CULTIVATION LAND,"NEED JUCTION BOX 2EARTH WIRE. 1E/W CONTINUE TO OUR T.NO-29, ANOTHAR E/W CONNECT TO ADUTHURAI 110KV TOWER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57 11.038722222222223, 79.57175 11.03813888888889)"
11,T.NO-29,S,,DC,DA,26,28LILO-29,203.0221663,2.18,24,,79.57175,11.03813889,GOOD,GOOD,GOOD,NO,,RIVER CROSSING,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57175 11.03813888888889, 79.57386111111111 11.037416666666667)"
12,T.NO-30,S,,DC,DA,26,29-30,243.238566,1.96,22,,79.57386111,11.03741667,GOOD,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57386111111111 11.037416666666667, 79.57580555555555 11.036694444444445)"
13,T.NO-31 LILO,T,,DC,LILO,32,30-31LILO,227.3059612,2.1,21,"11°13'11""",79.57580556,11.03669444,GOOD,GOOD,GOOD,NO,LT,,CULTIVATION LAND,"NEED JUCTION BOX. 2EARTH WIRE. 1E/W CONTINUE TO OUR T.NO-32, ANOTHAR E/W CONNECT TO FACTORY 110KV TOWER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57580555555555 11.036694444444445, 79.57727777777778 11.036444444444445)"
14,T.NO-32,T,,DC,DC,29,31LILO-32,162.431524,2.19,22,"27°5'4""",79.57727778,11.03644444,GOOD,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57727777777778 11.036444444444445, 79.57905555555556 11.03511111111111)"
15,T.NO-33,S,,DC,DA,26,32-33,244.2007371,1.87,19,,79.57905556,11.03511111,GOOD,GOOD,GOOD,NO,3NOS LT,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57905555555556 11.03511111111111, 79.58091666666667 11.033777777777777)"
