,Tower No,Tower Type & Supspension/Tenion,JOINT BOX,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY ALIYANILAI,GANTRY,2W,T,20,,YES,,,,,,78.96969444,10.20088889,GOOD,,,,,SS,NO EARTH WIRE,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.96969444444444 10.200888888888889, 78.97016666666667 10.200666666666667)"
2,T.NO-2,T,,DB,24,GANTRY-T.NO-2,YES,,55.4616985,,72,"4°3'11.23""",78.97016667,10.20066667,GOOD,GOOD,YES,,"TAR ROAD, MUD ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.97016666666667 10.200666666666667, 78.97144444444444 10.200166666666666)"
3,T.NO-3,T,,DB,24,02-Mar,YES,,149.4857853,,65,"10°52'59.90""",78.97144444,10.20016667,GOOD,GOOD,NO,2 LT, MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.97144444444444 10.200166666666666, 78.97375 10.19875)"
4,T.NO-4,S,,DA,26,03-Apr,NO,,299.8833106,,68,,78.97375,10.19875,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.97375 10.19875, 78.97605555555556 10.19725)"
5,T.NO-5,T,,DC,26,04-May,YES,,301.2125495,,64,"17°9'1.37""",78.97605556,10.19725,GOOD,GOOD,NO,LT CUM 11KV,TAR RAOD,CULTIVATION ,ONE LEG CONCRETE BROKEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.97605555555556 10.19725, 78.97755555555555 10.195472222222222)"
6,T.NO-6,S,,DA,26,05-Jun,YES,,257.0992026,,65,,78.97755556,10.19547222,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.97755555555555 10.195472222222222, 78.97902777777777 10.193722222222222)"
7,T.NO-7,S,,DA,26,06-Jul,YES,,250.8326135,,63,,78.97902778,10.19372222,GOOD,GOOD,NO,11KV,TAR ROAD,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.97902777777777 10.193722222222222, 78.98066666666666 10.191777777777778)"
8,T.NO-8,S,,DA,26,07-Aug,YES,,281.5848007,,64,,78.98066667,10.19177778,GOOD,GOOD,NO,LT LINE,TAR ROAD,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.98066666666666 10.191777777777778, 78.98211111111111 10.19)"
9,T.NO-9,T,,DD,28,08-Sep,NO,,250.9760945,,65,"47°42'47.41""",78.98211111,10.19,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.98211111111111 10.19, 78.98466666666667 10.18988888888889)"
10,T.NO-10,S,,DA,26,09-Oct,NO,,280.4567703,,66,,78.98466667,10.18988889,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.98466666666667 10.18988888888889, 78.98719444444444 10.18975)"
11,T.NO-11,S,,DA,26,10-Nov,YES,,278.460051,,62,,78.98719444,10.18975,GOOD,GOOD,NO,11KV LINE,TAR ROAD,PLAIN,"INSIDE POND, BUSESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.98719444444444 10.18975, 78.98986111111111 10.189638888888888)"
12,T.NO-12,S,,DA,26,11-Dec,NO,,292.3850201,,61,,78.98986111,10.18963889,GOOD,GOOD,NO,,,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.98986111111111 10.189638888888888, 78.99255555555555 10.189472222222223)"
13,T.NO-13,T,2W,DB,24,Dec-13,YES,,295.7465131,,63,"10°50'5.49""",78.99255556,10.18947222,GOOD,GOOD,NO,11 KV COME LT,TAAR ROAD,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99255555555555 10.189472222222223, 78.99491666666667 10.18886111111111)"
14,T.NO-14,S,,DA,26,13-14,NO,,266.5576861,,63,,78.99491667,10.18886111,GOOD,GOOD,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99491666666667 10.18886111111111, 78.99722222222222 10.18825)"
15,T.NO-15,S,,DA,26,14-15,NO,,262.505238,,64,,78.99722222,10.18825,GOOD,GOOD,NO,"11 KV , LT",MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99722222222222 10.18825, 78.99977777777778 10.187583333333334)"
16,T.NO-16,S,,DA,26,15-16,NO,,288.2013185,,65,,78.99977778,10.18758333,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99977777777778 10.187583333333334, 79.00216666666667 10.187)"
17,T.NO-17,S,,DA,26,16-17,YES,,271.4000737,,64,,79.00216667,10.187,GOOD,GOOD,NO,11 KV LT,TAAR ROAD,PLAIN,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00216666666667 10.187, 79.00408333333333 10.186472222222223)"
18,T.NO-18,T,,DB,24,17-18,YES,,216.2059204,,60,"8°32'14.08""",79.00408333,10.18647222,GOOD,GOOD,NO,"3 NONS 11 KV ,LT ",TAAR ROAD,PLAIN,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00408333333333 10.186472222222223, 79.00630555555556 10.185472222222222)"
19,T.NO-19,S,,DA,26,18-19,YES,,268.9721175,,59,,79.00630556,10.18547222,GOOD,GOOD,NO,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00630555555556 10.185472222222222, 79.00855555555556 10.1845)"
20,T.NO-20,S,,DA,26,19-20,YES,,268.0615601,,60,,79.00855556,10.1845,GOOD,GOOD,NO,"11 KV , LT",TAAR ROAD,PLAIN,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00855555555556 10.1845, 79.01091666666666 10.1835)"
21,T.NO-21,S,,DA,26,20-21,YES,,280.4710324,,59,,79.01091667,10.1835,GOOD,GOOD,NO,,,PLAIN,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01091666666666 10.1835, 79.01336111111111 10.182416666666667)"
