S. No ,Tower No,CURCUIT,Tower Type & S/T,JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,Availability of Road,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Earthing Available,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
,29,,,,,,,,,,,12.1674389,79.0391111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0391111 12.1674389, 79.038297 12.1648587)"
,28,,,,,,,,,,,12.1648587,79.038297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.038297 12.1648587, 79.0383992 12.1620505)"
,27,,,,,,,,,,,12.1620505,79.0383992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0383992 12.1620505, 79.0384763 12.1589338)"
,26,,,,,,,,,,,12.1589338,79.0384763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0384763 12.1589338, 79.0383526 12.1568285)"
,25,,,,,,,,,,,12.1568285,79.0383526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0383526 12.1568285, 79.0382271 12.1540939)"
,24,,,,,,,,,,,12.1540939,79.0382271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0382271 12.1540939, 79.0380962 12.1517187)"
,23,,,,,,,,,,,12.1517187,79.0380962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0380962 12.1517187, 79.0376497 12.1490348)"
,22,,,,,,,,,,,12.1490348,79.0376497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0376497 12.1490348, 79.0372086 12.1464264)"
,21,,,,,,,,,,,12.1464264,79.0372086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0372086 12.1464264, 79.036676 12.1433288)"
,20,,,,,,,,,,,12.1433288,79.036676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.036676 12.1433288, 79.0363515 12.1414881)"
,19,,,,,,,,,,,12.1414881,79.0363515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0363515 12.1414881, 79.0353043 12.1399156)"
,18,,,2W,,,,,,,,12.1399156,79.0353043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0353043 12.1399156, 79.0342068 12.1382081)"
,17,,,,,,,,,,,12.1382081,79.0342068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0342068 12.1382081, 79.0331453 12.1366058)"
,16,,,,,,,,,,,12.1366058,79.0331453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0331453 12.1366058, 79.0317735 12.1345372)"
,15,,,,,,,,,,,12.1345372,79.0317735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0317735 12.1345372, 79.0307604 12.1329769)"
