S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO:  52/1,T,DC,26,,,0.89,58.941006,,10.664555555555555,79.16486111111112,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16486111111112 10.664555555555555, 79.16316666666667 10.6635)"
2, 52/2,S,DA,26, 52/1- 52/2,218.1583975598688,0.36,58.969028,,10.6635,79.16316666666667,GOOD,Available,,COLLEGE,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16316666666667 10.6635, 79.16219444444445 10.662916666666668)"
3, 52/3,T,DC,26, 52/2- 52/3,126.15072493954823,1.06,60.1448139999999,"6°9'53"" L",10.662916666666668,79.16219444444445,GOOD,Available,HT - 2NO,COLLEGE INSIDE,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16219444444445 10.662916666666668, 79.16155555555557 10.662444444444445)"
4, 52/4,T,DC,26, 52/3- 52/4,86.85217775243152,0.13,60.238567,"33°33'27"" L",10.662444444444445,79.16155555555557,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16155555555557 10.662444444444445, 79.16111111111111 10.661277777777778)"
5, 52/5,T,DC,26, 52/4- 52/5,137.32147490501117,0.18,61.750996,"64°45'34"" L",10.661277777777778,79.16111111111111,GOOD,Available,,EACHANKOTTAI SS,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16111111111111 10.661277777777778, 79.16133333333335 10.661055555555556)"
6,Gantry (Eachankottai SS),Gantry,H-POLE,12, 52/5-Gantry,33.686815707951745,,62.189442,,10.661055555555556,79.16133333333335,GOOD,NO E/W,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
