S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Ground Elevation,Deviation Angle,,Latitude,Longitude,,,,,Footing Resistance of Tower ,,,,,,,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,line_geom
20,19,S,DC,28,18-19,244.3913754727208,31.499193,,,12.0125159807503,79.6317089907824,,,,,,,,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6317089907824 12.0125159807503, 79.6329360175877 12.0137330330908)"
21,20,T,DC,28,19-20,191.16119384235495,32.234684,55°57'24''RT,,12.0137330330908,79.6329360175877,,,,,12.7,3.55,2.1,20.5,,,,GOOD,Available,"LT,HT-2NO",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6329360175877 12.0137330330908, 79.6356459707021 12.0132270175963)"
22,21,T,DC,28,20-21,301.8303962801666,32.831921,54°6'42''RT,,12.0132270175963,79.6356459707021,,,,,13.5,4.1,2.9,19.6,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6356459707021 12.0132270175963, 79.6366350352764 12.0111529994755)"
23,22,S,DC,28,21-22,254.92425624179802,34.14835,,,12.0111529994755,79.6366350352764,,,,,,,,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6366350352764 12.0111529994755, 79.6374550368636 12.0093969907611)"
24,23,S,DC,28,22-23,215.2681888357012,33.0983999999999,,,12.0093969907611,79.6374550368636,,,,,,,,,,,,GOOD,Available,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6374550368636 12.0093969907611, 79.6383779682219 12.0075460150837)"
25,24,S,DC,28,23-24,229.56712919289495,33.512711,,,12.0075460150837,79.6383779682219,,,,,,,,,,,,GOOD,Available,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6383779682219 12.0075460150837, 79.6393780130892 12.0055859908461)"
26,25,T,DC,28,24-25,244.10492540173416,31.866343,19°10'6''LT,,12.0055859908461,79.6393780130892,,,,,14.7,5.1,4,18.9,,,,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6393780130892 12.0055859908461, 79.6411320101469 12.0039090234786)"
27,26,T,DC,28,25-26,267.73508863355,30.930391,29°49'22''LT,,12.0039090234786,79.6411320101469,2W,,,,12,3.6,1.3,25.7,,,,GOOD,Available,,,AGRI,,2W,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6411320101469 12.0039090234786, 79.6430709958076 12.0034210290759)"
28,27,S,DC,28,26-27,219.42082357838657,32.385395,,,12.0034210290759,79.6430709958076,,,,,,,,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6430709958076 12.0034210290759, 79.6447470411658 12.0030290074646)"
29,28,S,DC,28,27-28,189.08020694269408,32.622433,,,12.0030290074646,79.6447470411658,,,,,,,,,,,,GOOD,Available,,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6447470411658 12.0030290074646, 79.6467570215463 12.0025290269404)"
