S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Ground Elevation,Deviation Angle,,Latitude,Longitude,,,,,Footing Resistance of Tower ,,,,,,,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,line_geom
86,LILO : 85,T,DC,28,84-85,272.8631689973522,28,45°49'49''RT,,12.0224509667605,79.7489025816321,3W,,,,14.75,5.35,4,28.6,,,,GOOD,Available,,,AGRI,LILO to Vanur,2W,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7489025816321 12.0224509667605, 79.750350723043 12.0231174957007)"
87,86,T,DC,28,85-86,175.54986709368984,28,53°55'41''RT,,12.0231174957007,79.750350723043,,,,,13.35,3.75,2.8,15.4,,,,GOOD,Available,,MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.750350723043 12.0231174957007, 79.7515569627285 12.022462869063)"
88,87,T,DC,28,86-87,151.4656237011854,29,13°34'32''LT,,12.022462869063,79.7515569627285,,,,,15,5.1,4.4,9.7,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7515569627285 12.022462869063, 79.7535065934062 12.0219380781054)"
89,88,S,DC,28,87-88,221.55898414843364,30,,,12.0219380781054,79.7535065934062,,,,,,,,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7535065934062 12.0219380781054, 79.755401071161 12.0214131195098)"
90,89,S,DC,28,88-89,215.7779657215304,31,,,12.0214131195098,79.755401071161,,,,,,,,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.755401071161 12.0214131195098, 79.7573047690093 12.0208881609141)"
91,90,S,DC,28,89-90,216.74465906107415,32,,,12.0208881609141,79.7573047690093,,,,,,,,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7573047690093 12.0208881609141, 79.7591993305832 12.0203450135886)"
92,91,S,DC,28,90-91,216.34104431695408,32,,,12.0203450135886,79.7591993305832,,,,,,,,,,,,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7591993305832 12.0203450135886, 79.7610296029597 12.019801614806)"
93,92,S,DC,28,91-92,209.63820880637684,31,,,12.019801614806,79.7610296029597,,,,,,,,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7610296029597 12.019801614806, 79.7629242483526 12.0192404463887)"
94,93,S,DC,28,92-93,216.91612597416312,33,,,12.0192404463887,79.7629242483526,,,,,,,,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7629242483526 12.0192404463887, 79.7645706217736 12.0187504403293)"
95,94,T,DC,28,93-94,188.76425033369657,34,5°28'5''RT,,12.0187504403293,79.7645706217736,,,,,11.65,2.7,1.2,18.2,,,,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7645706217736 12.0187504403293, 79.7667961847037 12.0178523194044)"
96,95,T,DC,28,94-95,263.38125509882417,35,31°25'12''LT,,12.0178523194044,79.7667961847037,,,,,14.35,5,3.6,23.3,,,,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7667961847037 12.0178523194044, 79.7690552752465 12.0182096399366)"
97,96,T,DC,28,95-96,250.61576288596973,39,23°36'1''RT,,12.0182096399366,79.7690552752465,,,,,13.1,4.95,2.1,34.5,,,,GOOD,Available,"LT, HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7690552752465 12.0182096399366, 79.7706645168364 12.0178007706999)"
98,97,T,DC,28,96-97,182.4497543936694,42,40°53'29''RT,,12.0178007706999,79.7706645168364,2W,,,,14.3,5.1,3.5,25.8,,,,GOOD,Available,LT -2,,AGRI,,2W,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7706645168364 12.0178007706999, 79.772106623277 12.0157456956803)"
99,98,S,DC,28,97-98,277.7542400185524,43,,,12.0157456956803,79.772106623277,,,,,,,,,,,,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.772106623277 12.0157456956803, 79.7740377299487 12.0132135227322)"
100,99,S,DC,28,98-99,351.7041275077927,45,,,12.0132135227322,79.7740377299487,,,,,,,,,,,,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7740377299487 12.0132135227322, 79.775370452553 12.010977063328)"
101,100,T,DC,28,99-100,288.2773806414704,46,28°1'45''LT,,12.010977063328,79.775370452553,,,,,13.5,3.9,3,15.8,,,,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.775370452553 12.010977063328, 79.7774624079465 12.0097113959491)"
102,101,T,DC,28,100-101,268.84821369900266,46,26°5'24''RT,,12.0097113959491,79.7774624079465,,,,,12.3,3.15,1.8,18.8,,,,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7774624079465 12.0097113959491, 79.778163973242 12.0086204074323)"
103,102,T,DC,28,101-102,144.31128398293737,46,36°36'40''LT,,12.0086204074323,79.778163973242,,,,,12.6,3.35,2.1,18.7,,,,GOOD,Available,110KV,,AGRI,DOWN LINE,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.778163973242 12.0086204074323, 79.7794612403959 12.0081288088113)"
104,103,T,DC,28,102-103,152.8495879908134,43,36°1'29''RT,,12.0081288088113,79.7794612403959,,,,,13.35,3.75,2.8,15.4,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7794612403959 12.0081288088113, 79.7804692480713 12.0065961778163)"
105,104,S,DC,28,103-104,203.4403726930728,42,,,12.0065961778163,79.7804692480713,,,,,,,,,,,,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7804692480713 12.0065961778163, 79.7814215160906 12.0051898621022)"
106,105,T,DC,28,104-105,188.43162196224102,40,15°5'37''RT,,12.0051898621022,79.7814215160906,,,,,13.15,3.5,2.7,13.8,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7814215160906 12.0051898621022, 79.7819706983864 12.0035827998071)"
107,106,T,DC,28,105-106,189.03300844772076,41,9°52'53''RT,,12.0035827998071,79.7819706983864,,,,,11.65,2.65,1.2,17.6,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7819706983864 12.0035827998071, 79.7822449542582 12.0018209237605)"
108,107,T,DC,28,106-107,198.6419341784527,41,33°16'2''LT,,12.0018209237605,79.7822449542582,,,,,14.2,4.8,3.5,21.8,,,,GOOD,Available,HT,MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7822449542582 12.0018209237605, 79.7825494688004 12.0014877431094)"
109,"Gantry 
(Thiruchitrambalam SS )",T,H-POLE,15,107-Gantry ,51.07106351409884,44,,,12.0014877431094,79.7825494688004,2W,,,,,,,,,,,GOOD,NO E/W,HT,,PLAIN,,G,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G81),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,3W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,4W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
