S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 1,T,3W,DC,26,,,2.64,44.736485,,11.15527778,79.39947222,GOOD,,,,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39947222222223 11.155277777777778, 79.39925000000001 11.154916666666667)"
2,2,T,,H-POLE,12,LILO : 1-2,46.67365641,1.66,45.946762,"33°21'15"" R",11.15491667,79.39925,GOOD,NO E/W,,,PLAIN,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39925000000001 11.154916666666667, 79.39888888888889 11.154777777777777)"
3,3,T,,H-POLE,12,02-Mar,43.09818982,2.36,45.972511,"5°43'7"" L",11.15477778,79.39888889,GOOD,NO E/W,230 KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39888888888889 11.154777777777777, 79.39791666666667 11.154222222222222)"
4,4,T,2W,SC,22,03-Apr,122.8182143,1.98,44.671711,"7°4'58"" L",11.15422222,79.39791667,GOOD,NO E/W,,,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39791666666667 11.154222222222222, 79.39680555555556 11.153444444444444)"
5,5,T,,SC,22,04-May,148.56714,2.16,45.603893,"29°23'5"" R",11.15344444,79.39680556,GOOD,Available,,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39680555555556 11.153444444444444, 79.39416666666668 11.153111111111112)"
6,6,T,,SC,22,05-Jun,291.8747012,2.71,48.247498,"12°46'39"" R",11.15311111,79.39416667,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39416666666668 11.153111111111112, 79.39250000000001 11.153277777777777)"
7,7,S,,SA,22,06-Jul,181.1914858,3.13,48.750317,,11.15327778,79.3925,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39250000000001 11.153277777777777, 79.39133333333334 11.153444444444444)"
8,8,T,,SC,22,07-Aug,129.7892645,1.73,50.053864,"26°42'23"" R",11.15344444,79.39133333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39133333333334 11.153444444444444, 79.38944444444445 11.154694444444445)"
9,9,S,,SA,22,08-Sep,248.1964799,2.07,47.076832,,11.15469444,79.38944444,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.38944444444445 11.154694444444445, 79.3878888888889 11.155666666666667)"
10,10,S,,SA,22,09-Oct,201.7172051,1.63,47.309509,,11.15566667,79.38788889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3878888888889 11.155666666666667, 79.38630555555557 11.156694444444446)"
11,11,S,,SA,22,10-Nov,206.6304429,1.1,44.583889,,11.15669444,79.38630556,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.38630555555557 11.156694444444446, 79.38455555555556 11.157805555555555)"
12,12,T,,SC,22,11-Dec,226.1413248,2.19,44.471378,"39°34'36"" R",11.15780556,79.38455556,GOOD,Available,LT -2NO,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.38455555555556 11.157805555555555, 79.38388888888889 11.159972222222223)"
13,13,T,,SC,22,Dec-13,250.0252314,2.13,46.050018,,11.15997222,79.38388889,GOOD,Available,LT -2NO,Devamangalam Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.38388888888889 11.159972222222223, 79.38394444444445 11.161833333333334)"
