S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY AT 110KV IYYARMALAI SS,GANTRY,2W,GANTRY,15,,,,116,,10.86404311,78.3862684,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3862684015184 10.8640431147068, 78.386114006862 10.8640270214527)"
2,TN - 128/2,T,,DC on DC,28,GANTRY : TN - 450,18.985064,6.52,116.349831,0°38'43''LT,10.86402702,78.38611401,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.386114006862 10.8640270214527, 78.3850263711065 10.8639260195195)"
3, LILO : 128/1,T,,DC on DC,28,TN - 129 : TN - 130,121.5158538,4.71,117.861526,31°54'36''RT,10.86392602,78.38502637,GOOD,AVAILABLE,"33KV -3, LT",ROAD,PLAIN,COMMON TOWER FOR 110KV TRICHY - IYYARMALAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3850263711065 10.8639260195195, 78.3833742979913 10.8643620461225)"
4,TN - 128,T,,SC on SC,24,TN - 130 : TN - 131,189.0757694,5.68,119.893227,0°46'24''LT,10.86436205,78.3833743,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3833742979913 10.8643620461225, 78.3830151334404 10.8644620422273)"
5,H POLE,T,,H POLE,15,TN - 131 : TN - 132,42.82305463,9.55,123.473045,1°0'3''LT,10.86446204,78.38301513,RUSTED,AVAILABLE,110KV IYYARMALAI - PULIYUR UP XING,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3830151334404 10.8644620422273, 78.3828707970678 10.8645049575716)"
6,TN - 129,T,,SC on DC,28,TN - 132 : TN - 133,18.48992915,2.45,125.027626,0°23'21''RT,10.86450496,78.3828708,GOOD,AVAILABLE,,,PLAIN,,KCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3828707970678 10.8645049575716, 78.3803899213671 10.8652242925018)"
7,TN - 130,S,,SC on SC,25,TN - 133 : TN - 134,284.8545807,5.62,125.474686,,10.86522429,78.38038992,GOOD,AVAILABLE,,ROAD,PLAIN,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3803899213671 10.8652242925018, 78.3780558127909 10.8658684417605)"
8,TN - 131,S,,SC on SC,25,TN - 134 : TN - 135,267.1270842,3.28,124.930107,,10.86586844,78.37805581,GOOD,AVAILABLE,,,PLAIN,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3780558127909 10.8658684417605, 78.3758369553834 10.8665089868009)"
9,TN - 132,S,,SC on SC,25,TN - 135 : TN - 136,254.8931263,4.25,125.43383,,10.86650899,78.37583696,GOOD,AVAILABLE,LT,,PLAIN,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3758369553834 10.8665089868009, 78.3733949717134 10.8672134019434)"
10,TN - 133,S,,SC on SC,25,TN - 136 : TN - 137,280.3069281,3.56,124.213654,,10.8672134,78.37339497,GOOD,AVAILABLE,"110KV DOWN XING, LT",,PLAIN,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3733949717134 10.8672134019434, 78.3709501381963 10.8678990416228)"
11,TN - 134,T,,SC on SC,27,TN - 137 : TN - 138,280.0317857,2.47,121.602814,0°11'4''LT,10.86789904,78.37095014,GOOD,AVAILABLE,HT,MUD ROAD,PLAIN,,PB+3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3709501381963 10.8678990416228, 78.3685228228569 10.8685882017016)"
12,TN - 135,S,,SC on SC,25,TN - 138 : TN - 139,278.2957529,5.54,119.980423,,10.8685882,78.36852282,GOOD,AVAILABLE,LT -2,ROAD,PLAIN,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3685228228569 10.8685882017016, 78.3662281092256 10.8692496176809)"
13,TN - 136,S,,SC on SC,25,TN - 139 : TN - 140,263.5066975,5.5,117.059387,,10.86924962,78.36622811,GOOD,AVAILABLE,LT,,PLAIN,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3662281092256 10.8692496176809, 78.3638910669833 10.8699270430952)"
14,TN - 137,S,,SC on SC,25,TN - 140 : TN - 141,268.448746,6.32,117.920494,,10.86992704,78.36389107,GOOD,AVAILABLE,LT,MUD ROAD,PLAIN,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3638910669833 10.8699270430952, 78.3615269511938 10.8705853577703)"
15,TN - 138,T,2W,SC on SC,24,TN - 141 : TN - 142,270.7109625,4.25,116.711479,0°34'56''LT,10.87058536,78.36152695,GOOD,AVAILABLE,LT,,AGRI,,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3615269511938 10.8705853577703, 78.3591693732887 10.8712677285075)"
16,TN - 139,S,,SC on SC,25,TN - 142 : TN - 143,270.7585731,6.23,118.316971,,10.87126773,78.35916937,GOOD,AVAILABLE,LT,,PLAIN,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3591693732887 10.8712677285075, 78.3566786907613 10.8719648513942)"
17,TN - 140,S,,SC on SC,25,TN - 143 : TN - 144,285.2039357,7.62,120.580551,,10.87196485,78.35667869,GOOD,AVAILABLE,,,PLAIN,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3566786907613 10.8719648513942, 78.3543487731367 10.8726390078663)"
