Tower No,Tower Type,JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
139,SB,2W,24,138-139,300.3572658,1.1,151.736481,"4°24'44""LT",11.1317124,78.5167321,GOOD,GOOD,,,PLAIN,SC,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.51673209901985 11.131712404410095, 78.51880309724409 11.131885402439337)"
140,SA,,26,139-140,227.1567948,3.71,148.730087,,11.1318854,78.5188031,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.51880309724409 11.131885402439337, 78.52107609500136 11.13208739719431)"
141,SA,,26,140-141,249.4291616,6.11,146.946518,,11.1320874,78.5210761,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.52107609500136 11.13208739719431, 78.52396809263792 11.132334400990048)"
142,SA,,26,141-142,317.2574771,5.1,116.883148,,11.1323344,78.52396809,GOOD,GOOD,LT-2,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.52396809263792 11.132334400990048, 78.52665509004879 11.132549400543944)"
143,SA,,26,142-143,294.6338502,8.1,139.061203,,11.1325494,78.52665509,GOOD,GOOD,LT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.52665509004879 11.132549400543944, 78.52928208756367 11.132770398161663)"
144,SA,,26,143-144,288.1529669,8.12,136.006714,,11.1327704,78.52928209,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.52928208756367 11.132770398161663, 78.53165108547768 11.132962397593733)"
145,SA,,26,144-145,259.7852993,7.17,136.321609,,11.1329624,78.53165109,GOOD,GOOD,,RIVER,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53165108547768 11.132962397593733, 78.53443808326311 11.133197398577758)"
146,SA,,26,145-146,305.7067926,4.48,136.414948,,11.1331974,78.53443808,GOOD,GOOD,"LT-1,HT-1",,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53443808326311 11.133197398577758, 78.53733308081425 11.133445404869091)"
147,SA,,26,146-147,317.5894069,5.11,138.096207,,11.1334454,78.53733308,GOOD,GOOD,LT-2,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53733308081425 11.133445404869091, 78.5401590778987 11.133655400169523)"
148,SA,,26,147-148,309.732178,6.18,139.691803,,11.1336554,78.54015908,GOOD,GOOD,"HT-1,LT-1",,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5401590778987 11.133655400169523, 78.54311007578389 11.133899401616029)"
149,SA,,26,148-149,323.6482146,2.8,145.561157,,11.1338994,78.54311008,GOOD,GOOD,LT-3,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54311007578389 11.133899401616029, 78.54584307263295 11.13412439735465)"
150,SA,,26,149-150,299.7292438,3.5,151.020569,,11.1341244,78.54584307,GOOD,GOOD,"LT-1,HT-1",,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54584307263295 11.13412439735465, 78.54860107082415 11.134355401478212)"
151,SA,,26,150-151,302.5069497,3.87,156.296402,,11.1343554,78.54860107,GOOD,GOOD,LT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54860107082415 11.134355401478212, 78.5514400676164 11.134598400182677)"
152,SA,,26,151-152,311.4395409,2.87,158.029999,,11.1345984,78.55144007,GOOD,GOOD,LT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5514400676164 11.134598400182677, 78.55378906582625 11.13477439845278)"
153,SB,2W,24,152-153,257.4611037,4.87,159.817688,"2°53'53""RT",11.1347744,78.55378907,GOOD,GOOD,,,PLAIN,SC,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55378906582625 11.13477439845278, 78.55655406330403 11.1348704051214)"
154,SA,,26,153-154,302.374097,3.32,153.717636,,11.13487041,78.55655406,GOOD,GOOD,LT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55655406330403 11.1348704051214, 78.55933306076749 11.134955403871313)"
155,SA,,26,154-155,303.8623651,9.71,148.32814,,11.1349554,78.55933306,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55933306076749 11.134955403871313, 78.56222405822582 11.135054398219252)"
156,SA,,26,155-156,316.1463472,1.21,143.69429,,11.1350544,78.56222406,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56222405822582 11.135054398219252, 78.56505205598619 11.135153405334293)"
157,SA,,26,156-157,309.2646605,7.18,141.981766,,11.13515341,78.56505206,GOOD,GOOD,LT-2,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56505205598619 11.135153405334293, 78.56811105284694 11.135224401230195)"
158,SA,,26,157-158,334.4077904,,140.253632,,11.1352244,78.56811105,GOOD,GOOD,,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56811105284694 11.135224401230195, 78.57124005021952 11.135318396830497)"
159,SA,,26,`158-159,342.1231023,3.51,138.818558,,11.1353184,78.57124005,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57124005021952 11.135318396830497, 78.57419004809077 11.135429402332429)"
160,SA,,26,159-160,322.6353981,5.47,139.294006,,11.1354294,78.57419005,GOOD,GOOD,LT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57419004809077 11.135429402332429, 78.57694404588528 11.135495404670651)"
161,SA,,26,160-161,301.0687548,4.71,139.653992,,11.1354954,78.57694405,GOOD,GOOD,LT-2,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57694404588528 11.135495404670651, 78.57994404259236 11.135610399463165)"
162,SA,,26,161-162,328.1110899,3.66,139.505188,,11.1356104,78.57994404,GOOD,GOOD,LT-2,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57994404259236 11.135610399463165, 78.58234904113549 11.135684401055041)"
163,SA,,26,162-163,262.96489,,139.929245,,11.1356844,78.58234904,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58234904113549 11.135684401055041, 78.58457203905624 11.135771404771463)"
164,SC,2W,26,163-164,243.1371156,4.1,142.268097,"24°28'14""RT",11.1357714,78.58457204,GOOD,GOOD,LT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58457203905624 11.135771404771463, 78.5865040371998 11.134977402715174)"
165,SA,,26,164-165,228.6978153,3.65,145.980896,,11.1349774,78.58650404,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5865040371998 11.134977402715174, 78.58846903535502 11.134168397538382)"
166,SA,,26,165-166,232.665684,7.76,150.873962,,11.1341684,78.58846904,GOOD,GOOD,LT-2,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58846903535502 11.134168397538382, 78.59041603413154 11.13337440506594)"
167,SC,,26,166-167,230.2122566,4.67,155.260727,"12°40'27""LT",11.13337441,78.59041603,GOOD,GOOD,"LT-2,HT-1",ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59041603413154 11.13337440506594, 78.5907830336887 11.133311401522851)"
GT Thuraiyur ,GANTRY,2W,20,167-GT,40.7101876,,158.34758,,11.1333114,78.59078303,GOOD,GOOD,,,PLAIN,SC,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
