S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO :119(87),T,3W,DC,26,,,,34.413158,,10.65952778,79.41336111,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.41336111111112 10.659527777777779, 79.4145 10.657055555555555)"
2,86,T,,SC,22,119(87)-86,300.0376134,0.05,28.401432,"16°52'16"" R",10.65705556,79.4145,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4145 10.657055555555555, 79.41475000000001 10.655277777777778)"
3,85,S,,SA,22,86-85,198.9927348,0.37,28.701572,,10.65527778,79.41475,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.41475000000001 10.655277777777778, 79.41516666666668 10.652083333333334)"
4,84,T,,SC,22,85-84,355.0199126,0.89,29.41913,"22°31'19"" R",10.65208333,79.41516667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.41516666666668 10.652083333333334, 79.41469444444445 10.650444444444444)"
5,83,S,,SA,22,84-83,189.5204676,1.17,30.682186,,10.65044444,79.41469444,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.41469444444445 10.650444444444444, 79.41422222222222 10.648722222222222)"
6,82,S,,SA,22,83-82,204,1.63,28.653805,,10.64872222,79.41422222,GOOD,Available,,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.41422222222222 10.648722222222222, 79.41358333333334 10.646388888888888)"
7,81,S,,SA,22,82-81,275,2.17,26.722965,,10.64638889,79.41358333,GOOD,Available,HT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.41358333333334 10.646388888888888, 79.41266666666667 10.643916666666666)"
8,80,S,,SA,22,81-80,295,3.09,25.504713,,10.64391667,79.41266667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.41266666666667 10.643916666666666, 79.41205555555557 10.641277777777777)"
9,79,S,,SA,22,80-79,299.9205953,1.74,26.124222,,10.64127778,79.41205556,GOOD,Available,LT,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.41205555555557 10.641277777777777, 79.41130555555556 10.638777777777777)"
10,78,S,,SA,22,79-78,290.4750056,2.29,25.335773,,10.63877778,79.41130556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.41130555555556 10.638777777777777, 79.41058333333334 10.636138888888889)"
11,77,T,2W,SC,22,78-77,302.5649512,1.63,26.264172,"45°8'57"" R",10.63613889,79.41058333,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.41058333333334 10.636138888888889, 79.40911111111112 10.635333333333334)"
12,76,S,,SA,22,77-76,181.8894086,2.49,28.165859,,10.63533333,79.40911111,GOOD,Available,,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.40911111111112 10.635333333333334, 79.40686111111111 10.633972222222221)"
13,75,S,,SA,22,76-75,287.8267209,1.91,27.878365,,10.63397222,79.40686111,GOOD,Available,"LT,HT",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.40686111111111 10.633972222222221, 79.40452777777779 10.632583333333335)"
14,74,T,,SC,22,75-74,298.0014413,2.42,29.960022,"20°21'6"" L",10.63258333,79.40452778,GOOD,Available,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.40452777777779 10.632583333333335, 79.40302777777778 10.630694444444446)"
15,73,S,,SA,22,74-73,266.8416026,3.19,28.699076,,10.63069444,79.40302778,GOOD,Available,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.40302777777778 10.630694444444446, 79.40155555555556 10.628944444444445)"
16,72,S,,SA,22,73-72,265,2.37,28.652407,,10.62894444,79.40155556,GOOD,Available,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.40155555555556 10.628944444444445, 79.40022222222223 10.627083333333333)"
