S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
36, 14/34,S,DA,26, 14/33- 14/34,281.1035667803573,1.14,99.3307269999999,,10.703194444444444,78.6095,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6095 10.703194444444444, 78.61019444444445 10.70061111111111)"
37, 14/35,S,DA,26, 14/34- 14/35,293.0509902792699,2.34,100.263306,,10.70061111111111,78.61019444444445,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61019444444445 10.70061111111111, 78.6108611111111 10.69811111111111)"
38, 14/36,T,DC,26, 14/35- 14/36,286.8446687619169,1.97,102.024269,"32°10'12""L",10.69811111111111,78.6108611111111,GOOD,Available,"HT,LT - 3NO",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6108611111111 10.69811111111111, 78.61008333333332 10.695694444444445)"
39, 14/37,S,DA,26, 14/36- 14/37,280.0167240727307,2.16,104.836609,,10.695694444444445,78.61008333333332,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61008333333332 10.695694444444445, 78.60955555555554 10.694138888888888)"
40, 14/38,T,DC,26, 14/37- 14/38,184.0456157343204,2.99,103.054131,"89°37'12""R",10.694138888888888,78.60955555555554,GOOD,Available,"LT,HT",,AGRI,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60955555555554 10.694138888888888, 78.61022222222222 10.693916666666667)"
41,Gantry (Alundhur SS),Gantry,H-POLE,12, 14/38- Gantry,77.92537986454695,,105.155266,,10.693916666666667,78.61022222222222,GOOD,NO E/W,33 KV,,PLAIN,Lamp PosT,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G46),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
