S. No ,Tower No,Supspension/Tension,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
2,GT- NEYVELI T.S,T,2W,GT,15,,,,97,,79.44552778,11.59902778,GOOD,MISSNG,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.44552777777778 11.599027777777778, 79.44527777777778 11.59913888888889)"
3,T.NO 270,T,,DC,26,GT-270,31.08321791,1.53,85,"20°23'48""",79.44527778,11.59913889,GOOD,GOOD ,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.44527777777778 11.59913888888889, 79.44427777777778 11.59913888888889)"
4,T.NO 269,T-MC,,MD,28,270-269,110.0183471,2.37,89,"80°22'15""",79.44427778,11.59913889,GOOD,GOOD ,,,FOREST,NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.44427777777778 11.59913888888889, 79.44388888888889 11.597083333333334)"
5,T.NO 268,T-MC,,MD,28,269-268,233.0193957,2.14,87,"77°54'19""",79.44388889,11.59708333,GOOD,GOOD ,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.44388888888889 11.597083333333334, 79.4431388888889 11.597055555555556)"
6,T.NO 267,T,,DB,24,268-267,82.0246876,3.52,88,"1°44'54""",79.44313889,11.59705556,GOOD,GOOD ,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4431388888889 11.597055555555556, 79.44069444444445 11.597055555555556)"
7,T.NO 266,S,,DA,26,267-266,267.0169168,3.85,85,,79.44069444,11.59705556,GOOD,MISSNG,230kv,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.44069444444445 11.597055555555556, 79.43797222222223 11.597055555555556)"
8,T.NO 265,S,,DA,26,266-265,298,6.91,87,,79.43797222,11.59705556,GOOD,MISSNG,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.43797222222223 11.597055555555556, 79.43527777777778 11.597055555555556)"
9,T.NO 264,T,,DB,24,265-264,296.0067796,5.46,89,"1°44'54""",79.43527778,11.59705556,GOOD,GOOD ,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.43527777777778 11.597055555555556, 79.4323888888889 11.595916666666668)"
10,T.NO 263,S,,DA,26,264-263,339.5276946,4.64,91,,79.43238889,11.59591667,GOOD,GOOD ,HT-1,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4323888888889 11.595916666666668, 79.42958333333334 11.594833333333334)"
11,T.NO 262,S,,DA,26,263-262,329.8966403,4.31,88,,79.42958333,11.59483333,GOOD,GOOD ,"HT,LT,230kv","MUD ROAD,TAAR ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.42958333333334 11.594833333333334, 79.42711111111112 11.593833333333334)"
12,T.NO 261,T,2W,DC,26,262-261,292.5475947,3.96,93,"24°12'7""",79.42711111,11.59383333,GOOD,GOOD ,400kv,,CULTIVATION LAND,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.42711111111112 11.593833333333334, 79.42469444444446 11.593944444444444)"
13,T.NO 260,S,,DA,26,261-260,266.3186763,4.11,88,,79.42469444,11.59394444,GOOD,GOOD ,HT,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.42469444444446 11.593944444444444, 79.42211111111112 11.594027777777779)"
