S. No ,Tower No,Tower Type & Supspension/Tension,JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY ALANDUR,GANTRY,2W,20,,,,,,78.61005556,10.69347222,GOOD,GOOD,,,,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61005555555555 10.693472222222223, 78.60980555555555 10.6935)"
2,1,DC,,26,GANTRY -1 ,28.28427125,2.54,100,"18°22'11.6""",78.60980556,10.6935,GOOD,GOOD,"LT LINE -1 CROSSING,TRANSFORMER BELOW OUR LINE",TAR ROAD CROSSING,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60980555555555 10.6935, 78.60697222222221 10.692972222222222)"
3,2,DB,,24,01-Feb,315.0174598,2.63,96,"5°38'34.7""",78.60697222,10.69297222,GOOD,GOOD,33KV LINE CROSSING,,CULTIVATION LAND,TOWER COVERED WITH BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60697222222221 10.692972222222222, 78.60513888888889 10.692833333333333)"
4,3,DC,,26,02-Mar,199.6421799,1.51,99,"19°21'56.5""",78.60513889,10.69283333,GOOD,GOOD,"LT LINE -1 ,33KV LINE CROSSING",MUD ROAD CROSSING,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60513888888889 10.692833333333333, 78.60491666666667 10.692722222222223)"
5,4,DD+3,,31,03-Apr,29.54657341,,,"40°6'45.4""",78.60491667,10.69272222,GOOD,NO EARTH WIRE,,CANAL CROSSING,PLAIN LAND,NO EARTH WIRE AND NO CLEARENCE FOR EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60491666666667 10.692722222222223, 78.60458333333332 10.692055555555555)"
6,5,DB,,24,04-May,80.05623024,,,"2°13'20.1""",78.60458333,10.69205556,GOOD,GOOD,230KV LINE CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60458333333332 10.692055555555555, 78.60441666666667 10.691694444444444)"
7,6,DB,,24,05-Jun,44.77722635,,,"14°10'20.4""",78.60441667,10.69169444,GOOD,GOOD,230KV LINE CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60441666666667 10.691694444444444, 78.60411111111111 10.691277777777778)"
8,7,DB,,24,06-Jul,57.00877125,2.54,100,"3°34'34.8""",78.60411111,10.69127778,GOOD,GOOD,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60411111111111 10.691277777777778, 78.60302777777777 10.690027777777779)"
9,8,DA+3,,29,07-Aug,182.7840256,2.66,104,,78.60302778,10.69002778,GOOD,CROSS ARM PIEACE SLIGHTLY BEND,33KV LINE -1 CROSSING,CANAL CROSSING,PLAIN LAND,CONDUCTOR PEAK DAMAGED ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60302777777777 10.690027777777779, 78.6018611111111 10.68875)"
10,9,DA,,26,08-Sep,189.6944912,2.75,102,,78.60186111,10.68875,GOOD,GOOD,LT LINE -1 CROSSING,"CANAL,MUD ROD CROSSING",PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6018611111111 10.68875, 78.60008333333333 10.686722222222222)"
11,10,DA+3,,29,09-Oct,296.8922363,2.55,105,,78.60008333,10.68672222,GOOD,GOOD,"LT LINE -1 ,33KV LINE CROSSING",CANAL CROSSING,PLAIN LAND,"POND CROSSING,ONE LEG CONCRETE DAMAGED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60008333333333 10.686722222222222, 78.59858333333332 10.685055555555556)"
12,11,DD,,28,10-Nov,247.8911051,2.1,104,"43°4'57.7""",78.59858333,10.68505556,GOOD,GOOD,33 KV LINE CROSSING,TAR ROAD CROSSING,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59858333333332 10.685055555555556, 78.59866666666666 10.682749999999999)"
13,12,DB,,24,11-Dec,254.0708563,4.52,105,"4°25'10.8""",78.59866667,10.68275,GOOD,GOOD,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59866666666666 10.682749999999999, 78.59855555555555 10.680222222222222)"
14,13,DC,,26,Dec-13,280.4014979,3.11,106,"16°28'20.5""",78.59855556,10.68022222,GOOD,GOOD,"LT LINE -1 ,11KV LINE CROSSING",TAR ROAD CROSSING,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59855555555555 10.680222222222222, 78.59897222222222 10.678472222222222)"
15,14,DD,,28,13-14,198.4061491,3.55,106,"35°35'57.8""",78.59897222,10.67847222,GOOD,GOOD,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59897222222222 10.678472222222222, 78.59825 10.676666666666666)"
16,15,DA,,26,14-15,217.0829335,2.22,104,,78.59825,10.67666667,GOOD,GOOD,LT LINE -1 CROSSING,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59825 10.676666666666666, 78.59733333333332 10.67447222222222)"
17,16,DA,,26,15-16,261.696389,2.54,107,,78.59733333,10.67447222,GOOD,GOOD,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59733333333332 10.67447222222222, 78.59649999999999 10.672472222222222)"
18,17,DD,,28,16-17,238.3212118,1.83,106,"72°54'57.8""",78.5965,10.67247222,GOOD,GOOD,11KV LINE -1 CROSSING,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59649999999999 10.672472222222222, 78.598 10.671222222222221)"
19,18,DD,2W,28,17-18,216.3908501,2.62,105,"76°55'46.4""",78.598,10.67122222,GOOD,GOOD,11KV LINE -1 CROSSING,TAR ROAD CROSSING,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.598 10.671222222222221, 78.59691666666666 10.66911111111111)"
20,19A,DD,,28,18-19A,264.3217736,2.36,104,"47°55'16.9""",78.59691667,10.66911111,GOOD,GOOD,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59691666666666 10.66911111111111, 78.59522222222222 10.668638888888887)"
21,19B,DD,,28,19A-19B,191.3792047,2.33,104,"34°41'24.7""",78.59522222,10.66863889,GOOD,GOOD,LT LINE -1 CROSSING,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59522222222222 10.668638888888887, 78.59358333333333 10.669222222222222)"
22,20,DD,,28,19B-20,191.3765921,3,109,"119°1'43.5""",78.59358333,10.66922222,GOOD,GOOD,LT LINE -1 CROSSING,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59358333333333 10.669222222222222, 78.59383333333332 10.667777777777777)"
23,21,DA,,26,20-21,163.085867,2.11,106,,78.59383333,10.66777778,GOOD,GOOD,LT LINE -2 CROSSING,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59383333333332 10.667777777777777, 78.59422222222221 10.665666666666667)"
24,22,DA,,26,21-22,235.7710754,2.54,110,,78.59422222,10.66566667,GOOD,GOOD,"LT LINE -1 ,11KV LINE CROSSING",,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59422222222221 10.665666666666667, 78.59466666666667 10.663361111111112)"
25,23,DC+6,,28,22-23,259.2951986,2.82,107,"23°7'57.9""",78.59466667,10.66336111,GOOD,GOOD,"LT LINE -1 ,11KV LINE CROSSING",HIGH WAY CROSSING(THIRCHY TO MADURAI),PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59466666666667 10.663361111111112, 78.59538888888889 10.662333333333335)"
26,24,DD,,28,23-24,139.2300255,2.74,109,"31°59'57.8""",78.59538889,10.66233333,GOOD,GOOD,LT LINE -2 CROSSING,WELL CROSSING,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59538888888889 10.662333333333335, 78.59544444444444 10.660361111111111)"
27,25,DB,,24,24-25,218.0825532,2.66,110,"8°3'34.6""",78.59544444,10.66036111,GOOD,GOOD,,,PLAIN LAND,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59544444444444 10.660361111111111, 78.59525 10.65836111111111)"
28,26,DA,,26,25-26,221.4158983,2.55,107,,78.59525,10.65836111,GOOD,GOOD,,,PLAIN LAND,TOWER COVERED WITH BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59525 10.65836111111111, 78.59508333333333 10.656416666666667)"
29,27,DA,,26,26-27,215.9282288,2.33,110,,78.59508333,10.65641667,GOOD,GOOD,"LT LINE -1 ,11KV LINE CROSSING",TAR ROAD CROSSING,PLAIN LAND,TOWER COVERED WITH BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59508333333333 10.656416666666667, 78.59472222222222 10.654166666666667)"
30,28,DC,,26,27-28,253.3396929,2.1,111,"15°9'45.1""",78.59472222,10.65416667,GOOD,GOOD,LT LINE -1 CROSSING,COMPOUND WALL CROSSING,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59472222222222 10.654166666666667, 78.59491666666666 10.652305555555555)"
31,29,DA,,26,28-29,206.0728027,2.66,110,,78.59491667,10.65230556,GOOD,GOOD,LT LINE -2 CROSSING,,PLAIN LAND,TOWER COVERED WITH BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59491666666666 10.652305555555555, 78.59519444444445 10.65025)"
32,30,DB,,24,29-30,230.5862095,2.33,112,"6°1'11.8""",78.59519444,10.65025,GOOD,GOOD,,,PLAIN LAND,TOWER COVERED WITH BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59519444444445 10.65025, 78.59522222222222 10.648027777777777)"
33,31,DA,,26,30-31,244.0184419,2.55,112,,78.59522222,10.64802778,GOOD,GOOD,11KV LINE -1 CROSSING,TAR ROAD CROSSING,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59522222222222 10.648027777777777, 78.59541666666667 10.645194444444444)"
34,32,DD,,28,31-32,314.4598544,2.76,115,"40°23'18.5""",78.59541667,10.64519444,GOOD,GOOD,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59541666666667 10.645194444444444, 78.59377777777777 10.643027777777776)"
35,33,DA,,26,32-33,300.4080558,2.32,113,,78.59377778,10.64302778,GOOD,GOOD,LT LINE -1 CROSSING,MUD ROAD CROSSING,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59377777777777 10.643027777777776, 78.59224999999999 10.64086111111111)"
36,34,DA,,26,33-34,291.8989551,2.66,121,,78.59225,10.64086111,GOOD,GOOD,LT LINE -1 CROSSING,MUD ROAD CROSSING,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59224999999999 10.64086111111111, 78.59077777777777 10.638833333333332)"
37,35,DA,,26,34-35,277.8380823,2.39,124,,78.59077778,10.63883333,GOOD,GOOD,,,CULTIVATION LAND,TOWER COVERED WITH BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59077777777777 10.638833333333332, 78.58955555555555 10.63711111111111)"
38,36,DC,,26,35-36,230.2889489,2.52,127,"19°58'33.0""",78.58955556,10.63711111,GOOD,GOOD,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58955555555555 10.63711111111111, 78.588 10.636027777777777)"
39,37,DA,,26,36-37,210.5445321,2.66,124,,78.588,10.63602778,GOOD,GOOD,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.588 10.636027777777777, 78.58608333333333 10.634694444444444)"
40,38,DA,,26,37-38,253.8050433,2.77,124,,78.58608333,10.63469444,GOOD,GOOD,,MUD ROAD CROSSING,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58608333333333 10.634694444444444, 78.58469444444444 10.633638888888889)"
41,39 LILO,DB,3W,24,38-39 lilo,193.6001033,1.88,121,"8°41'13.1""",78.58469444,10.63363889,GOOD,GOOD,ONE EARTH WIRE CONNECTING PAKKUDI AND OUR EARTH WIRE CONTINUE,,PLAIN LAND,TAPPING POINT ONE FEEDER GOING PAKKUDI 110KV SS NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58469444444444 10.633638888888889, 78.58416666666666 10.63336111111111)"
42,39/1,DA,,26,39 lilo-39/1,65.76473219,1.71,123,,78.58416667,10.63336111,GOOD,GOOD,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58416666666666 10.63336111111111, 78.58225 10.632027777777779)"
43,39/2,DB,,24,39/1-39/2,257.1575393,1.52,126,"0°59'32.7""",78.58225,10.63202778,GOOD,GOOD,LT LINE -2 CROSSING,TAR ROAD CROSSING,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58225 10.632027777777779, 78.58024999999999 10.630555555555556)"
44,39/3,DA,,26,39/2-39/3,271.4424433,1.99,123,,78.58025,10.63055556,GOOD,GOOD,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58024999999999 10.630555555555556, 78.57836111111111 10.629194444444446)"
45,39/4,DA,,26,39/3-39/4,256.2225595,2.55,125,,78.57836111,10.62919444,GOOD,GOOD,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57836111111111 10.629194444444446, 78.5765 10.627805555555556)"
46,39/5,DA,,26,39/4-39/5,254.6095049,2.72,122,,78.5765,10.62780556,GOOD,GOOD,LT LINE -1 CROSSING,COMPOUND WALL CROSSING,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5765 10.627805555555556, 78.57433333333333 10.62625)"
