Tower No,Tower Type,Tower Type (S/T),Jont Box Location,Tower Height (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
76,SA,S,,26,75-76,,0.002261003,2.12,27.13,,11.92731266,79.63304742,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63304741845862 11.927312657989875, 79.63525342149404 11.926818355266747)"
77,SA,S,,26,76-77,,0.001347909,7.43,36.6,,11.92681836,79.63525342,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63525342149404 11.926818355266747, 79.63768216002235 11.926274120704688)"
78,SA,S,,26,77-78,,0.00158318,9.11,28.52,,11.92627412,79.63768216,GOOD,GOOD,,ROAD,PLAIN,s/c ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63768216002235 11.926274120704688, 79.63933645584993 11.925910216643771)"
79,SA,S,,26,78-79,,0.002134506,,28.19,,11.92591022,79.63933646,GOOD,GOOD,HT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63933645584993 11.925910216643771, 79.64176389497784 11.925359429241071)"
80,SA,S,,26,79-80,,0.002229862,8.1,28.49,,11.92535943,79.64176389,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64176389497784 11.925359429241071, 79.64397017154437 11.924864983782982)"
81,SA,S,,26,80-81,,0.001821318,,31.59,,11.92486498,79.64397017,GOOD,GOOD,LT-3,CAR TRACK,PLAIN,s/c ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64397017154437 11.924864983782982, 79.64528545425479 11.924570210814062)"
82,SB,T,2 Way,24,81-82,,0.001350689,7.59,30.34,"11d7'11""LT",11.92457021,79.64528545,GOOD,GOOD,LT-2,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64528545425479 11.924570210814062, 79.64686795726365 11.924523908876424)"
83,SA,S,,26,82-83,,0.001501412,6.5,30.09,,11.92452391,79.64686796,GOOD,GOOD,"LT-2,HT-2",ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64686795726365 11.924523908876424, 79.64900145226873 11.924458209270451)"
84,SA,S,,26,83-84,,0.002815419,5.35,28.51,,11.92445821,79.64900145,GOOD,GOOD,,,PLAIN,s/c ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64900145226873 11.924458209270451, 79.65123045183627 11.924396214763561)"
85,SD,T,,28,84-85,,0.002516864,3.38,26.4,"69d22'5""RT",11.92439621,79.65123045,GOOD,GOOD,LT-1,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65123045183627 11.924396214763561, 79.65182945162114 11.92267621483511)"
86,SD,T,,28,85-86,,0.002944116,1.08,26.41," 147d0'27""LT",11.92267621,79.65182945,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65182945162114 11.92267621483511, 79.65216245146927 11.923985210935127)"
