S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Ground Elevation,Deviation Angle,,Latitude,Longitude,,,,,Footing Resistance of Tower ,,,,,,,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,line_geom
1,Madurapakkam SS",T,2W,H-POLE,15,,,34,,,11.99317834,79.61219626,2W,,,,,,,,,,,GOOD,,,,PLAIN,,G,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6121962554752 11.9931783434003, 79.6130904369056 11.9926275685429)"
2,LILO: 1,T,,DC on DC,28,Gantry  - 1,33.25,36,24°25'11''LT,,11.99262757,79.61309044,,,,,16,10.05,2.4,76.7,,,,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6130904369056 11.9926275685429, 79.6136010624468 11.9918690901249)"
3,2,T,,SC on SC,26,2-Jan,101.8982231,32,29°21'40''LT,,11.99186909,79.61360106,,,,,15.35,5.95,4.5,25.4,,,,GOOD,Available,"2-LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6136010624468 11.9918690901249, 79.6138325706124 11.9889843743294)"
4,3,S,,SC on SC,26,3-Feb,321.3202836,31,,,11.98898437,79.61383257,,,,,,,,,,,,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6138325706124 11.9889843743294, 79.6141101792454 11.9860307592898)"
5,4,T,,SC on SC,26,4-Mar,329.3423814,31,1°8'18''LT,,11.98603076,79.61411018,,,,,16.45,6.9,5.5,24.8,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6141101792454 11.9860307592898, 79.6143264323472 11.9831078220158)"
6,5,S,,SC on SC,26,5-Apr,325.4098973,32,,,11.98310782,79.61432643,,,,,,,,,,,,GOOD,Available,HT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6143264323472 11.9831078220158, 79.6145271789282 11.9805483240634)"
7,6,T,,SC on SC,26,6-May,285.1963878,33,26°55'39''RT,,11.98054832,79.61452718,,,,,22.4,12.45,11.1,13.2,,,,GOOD,Available,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6145271789282 11.9805483240634, 79.6158601529896 11.9783655926585)"
8,7,S,,SC on SC,26,7-Jun,282.9576464,33,,,11.97836559,79.61586015,,,,,,,,,,,,GOOD,Available,"LT,2-HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6158601529896 11.9783655926585, 79.6168640535324 11.9766654074192)"
9,8,S,,SC on SC,26,8-Jul,218.7736705,35,,,11.97666541,79.61686405,,,,,,,,,,,,GOOD,Available,2-LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6168640535324 11.9766654074192, 79.6181702055037 11.974476724863)"
10,9,S,,SC on SC,26,9-Aug,282.031815,33,,,11.97447672,79.61817021,,,,,,,,,,,,GOOD,Available,"LT,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6181702055037 11.974476724863, 79.6192300133407 11.9726510625332)"
11,10,T,2W,SC on SC,26,10-Sep,233.8390769,32,4°48'41''LT,,11.97265106,79.61923001,,,,,15.8,6.2,5,21.7,,,,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6192300133407 11.9726510625332, 79.6194202825427 11.9722489826381)"
12,11,T,,H-POLE,15,11-Oct,50.31356317,32,37°47'50''RT,,11.97224898,79.61942028,,,,,14.4,5.2,3.6,26.2,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6194202825427 11.9722489826381, 79.6199698001146 11.9719704519957)"
13,12,T,,H-POLE,15,12-Nov,68.55746396,31,7°59'60''LT,,11.97197045,79.6199698,,,,,14.2,4.8,3.5,21.8,,,,GOOD,Available,400kV,,AGRI,UP LINE,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6199698001146 11.9719704519957, 79.6204791683703 11.9716153945773)"
14,13,T,,SC on SC,26,13-Dec,69.21553311,33,3°28'54''LT,,11.97161539,79.62047917,,,,,12.7,3.65,2.1,21.8,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6204791683703 11.9716153945773, 79.6224100235849 11.9700872059911)"
15,14,S,,SC on SC,26,13 - 14,271.0385855,35,,,11.97008721,79.62241002,,,,,,,,,,,,GOOD,Available,,POND,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6224100235849 11.9700872059911, 79.6246060822159 11.9682583585381)"
16,15,T,2W,SC on SC,26,14 - 15,314.4824707,33,9°24'50''LT,,11.96825836,79.62460608,2W,,,,12.75,3.75,2.1,22.7,,,,GOOD,Available,LT,,AGRI,,2W,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6246060822159 11.9682583585381, 79.6263687126338 11.9662162754684)"
17,16,S,,SC on SC,26,15 - 16,297.669613,32,,,11.96621628,79.62636871,,,,,,,,,,,,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6263687126338 11.9662162754684, 79.6281316783279 11.9641650561243)"
18,17,S,,SC on SC,26,16 - 17,298.4646538,34,,,11.96416506,79.62813168,,,,,,,,,,,,GOOD,Available,,POND,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6281316783279 11.9641650561243, 79.629913251847 11.9620750285685)"
19,18,S,,SC on SC,26,17 - 18,303.0536188,31,,,11.96207503,79.62991325,,,,,,,,,,,,GOOD,Available,,POND,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.629913251847 11.9620750285685, 79.6317639760673 11.9599171075969)"
20,19,S,,SC on SC,26,18 - 19,313.6492543,36,,,11.95991711,79.63176398,,,,,,,,,,,,GOOD,Available,,POND,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6317639760673 11.9599171075969, 79.6330495923757 11.9584408029913)"
21,20,S,,SC on SC,26,19 - 20,216.347523,35,,,11.9584408,79.63304959,,,,,,,,,,,,GOOD,Available,,POND,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6330495923757 11.9584408029913, 79.6344508789479 11.9568376801908)"
22,21,T,,SC on SC,26,20 - 21,235.1966862,31,42°27'33''RT,,11.95683768,79.63445088,,,,,14.45,8.2,1.8,62.9,,,,GOOD,Available,"400kV,2-LT","ROAD,
POND",WATER LOGGED,UP LINE,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6344508789479 11.9568376801908, 79.6364817302674 11.9566104467958)"
23,22,T,,SC on SC,26,21 - 22,223.8457543,32,162°25'31''LT,,11.95661045,79.63648173,,,,,14,5.75,2.8,38.1,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6364817302674 11.9566104467958, 79.639205597341 11.9571493193507)"
24,23,S,,SC on SC,26,22 - 23,303.8241609,33,,,11.95714932,79.6392056,,,,,,,,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.639205597341 11.9571493193507, 79.6417166478931 11.9576220586895)"
25,24,T,,SC on SC,26,23 - 24,279.6717634,33,157°57'3''RT,,11.95762206,79.64171665,,,,,16.45,7.5,5.1,38.5,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6417166478931 11.9576220586895, 79.644425092265 11.9570765644311)"
26,25,S,,SC on SC,26,24 - 25,302.3224235,33,,,11.95707656,79.64442509,,,,,,,,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.644425092265 11.9570765644311, 79.64658443816 11.9566121231764)"
27,26,S,,SC on SC,26,25 - 26,241.960504,33,,,11.95661212,79.64658444,,,,,,,,,,,,GOOD,Available,LT,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64658443816 11.9566121231764, 79.6484486572444 11.9561668764799)"
