S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Iyyarmalai SS),Gantry,2W,H-POLE,12,,,,118.989517,,10.86408333,78.38619444,GOOD,,,,SS,Rail Pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38619444444446 10.864083333333333, 78.3861388888889 10.864277777777778)"
2,59,T,,SC,22,Gantry-59,24.14734964,2.37,119.779816,"17°44'29"" L",10.86427778,78.38613889,GOOD,NO E/W,,,PLAIN,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3861388888889 10.864277777777778, 78.38622222222223 10.865)"
3,58,T,,SC,22,59-58,79.88679057,2.84,120.802948,"70°3'49"" R",10.865,78.38622222,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38622222222223 10.865, 78.38802777777778 10.865472222222222)"
4,57,S,,SA,22,58-57,205.6033844,3.11,120.936478,,10.86547222,78.38802778,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38802777777778 10.865472222222222, 78.38975 10.865944444444445)"
5,56,S,,SA,22,57-56,194.8007978,3.76,119.182632,,10.86594444,78.38975,GOOD,Available,11 KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38975 10.865944444444445, 78.39191666666667 10.866527777777778)"
6,55,T,,SC,22,56-55,244.9566719,2.97,114.771263,"2°7'37"" L",10.86652778,78.39191667,GOOD,Available,"HT,LT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39191666666667 10.866527777777778, 78.39455555555556 10.867361111111112)"
7,54,T,,SC,22,55-54,305.8573209,3.18,115.158112,"24°15'22"" R",10.86736111,78.39455556,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39455555555556 10.867361111111112, 78.39672222222222 10.867111111111111)"
8,53,S,,SA,22,54-53,236.3783809,2.73,112.279663,,10.86711111,78.39672222,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39672222222222 10.867111111111111, 78.39902777777779 10.866833333333334)"
9,52,T,,SC,22,53-52,253.5122326,1.95,110.199104,"34°53'8"" L",10.86683333,78.39902778,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39902777777779 10.866833333333334, 78.40108333333333 10.867916666666668)"
10,51,S,,SA,22,52-51,257.700324,3.08,109.132004,,10.86791667,78.40108333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.40108333333333 10.867916666666668, 78.40316666666668 10.869)"
