S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ,,,,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,"Gantry 
( Villipuram SS )",T,2W,H-POLE,12,,,,,,,58,,11.98904707,79.48262033,GOOD,,,,PLAIN,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4826203305274 11.9890470709651, 79.4825914967805 11.989282015711)"
2,294,T,,DC on DC,26,Gantry - 294,28.42749039,16.75,10.4,3.2,77.3,58,0°41'26''RT,11.98928202,79.4825915,GOOD,No E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4825914967805 11.989282015711, 79.4825244415551 11.989778811112)"
3,293,T,,SC on DC,26,294 - 293,57.68623196,16.75,9.35,4.1,64.3,58,20°5'15''LT,11.98977881,79.48252444,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4825244415551 11.989778811112, 79.4828110188245 11.9910821970552)"
4,292,T,,SC on DC,26,293 - 292,149.7634643,15.95,9,3.3,65.2,60,0°16'54''RT,11.9910822,79.48281102,GOOD,Available,"HT,LT-2NO",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4828110188245 11.9910821970552, 79.4831958319991 11.9928743317723)"
5,291,S,,SC on DC,26,292 - 291,204.8684053,,,,,57,,11.99287433,79.48319583,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4831958319991 11.9928743317723, 79.4836433418095 11.9949651136994)"
6,290,S,,SC on DC,26,291 - 290,238.6011599,,,,,57,,11.99496511,79.48364334,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4836433418095 11.9949651136994, 79.4841183442622 11.9970470108091)"
7,289,S,,SC on DC,26,290 - 289,238.2774717,,,,,56,,11.99704701,79.48411834,GOOD,Available,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4841183442622 11.9970470108091, 79.4846108648926 11.9993007369339)"
8,288,T,2W,SC on DC,26,289 - 288,257.2507131,15.35,5.9,4.5,24.3,53,0°2'60''RT,11.99930074,79.48461086,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4846108648926 11.9993007369339, 79.4851033017039 12.0015635155141)"
9,287,T,,SC on DC,26,288 - 287,258.2277168,15.95,6.65,4.9,29.5,52,0°24'40''RT,12.00156352,79.4851033,GOOD,Available,230kV,CANAL,AGRI,UP LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4851033017039 12.0015635155141, 79.4855863507837 12.0038624200969)"
10,286,S,,SC on DC,26,287 - 286,261.9273701,,,,,52,,12.00386242,79.48558635,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4855863507837 12.0038624200969, 79.4860611017793 12.0060076005756)"
11,285,S,,SC on DC,26,286 - 285,245.1059935,,,,,53,,12.0060076,79.4860611,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4860611017793 12.0060076005756, 79.4865451566874 12.0081346761435)"
12,284,S,,SC on DC,26,285 - 284,243.3689355,,,,,52,,12.00813468,79.48654516,GOOD,Available,,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4865451566874 12.0081346761435, 79.4870194885879 12.0103431399911)"
13,283,T,,SC on DC,26,284 - 283,251.9404543,16.05,6.35,5.2,19.3,50,0°34'27''LT,12.01034314,79.48701949,GOOD,Available,LT-3NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4870194885879 12.0103431399911, 79.4874048884958 12.0120538864284)"
14,282,S,,SC on DC,26,283 - 282,196.0822731,,,,,50,,12.01205389,79.48740489,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4874048884958 12.0120538864284, 79.4879691582173 12.0146153960376)"
15,281,S,,SC on DC,26,282 - 281,292.17757,,,,,50,,12.0146154,79.48796916,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4879691582173 12.0146153960376, 79.4885071925818 12.0169326569885)"
16,280,S,,SC on DC,26,281 - 280,265.1844382,,,,,51,,12.01693266,79.48850719,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4885071925818 12.0169326569885, 79.4889547862112 12.0190234389156)"
17,279,T,2W,SC on DC,26,280 - 279,238.6019668,16.75,7.8,5.3,39.6,50,0°25'11''LT,12.01902344,79.48895479,GOOD,Available,HT,,AGRI,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4889547862112 12.0190234389156, 79.4894385058432 12.021204829216)"
