Tower No,Tower Type,Tower Type (S/T),JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
10,,,,,,,,,,,11.71064954,79.73313962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73313961915733 11.710649541422276, 79.73293105018175 11.708098907479561)"
11,,,2W,,,,,,,,11.70809891,79.73293105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73293105018175 11.708098907479561, 79.73349993475719 11.706067078494822)"
12,,,,,,,,,,,11.70606708,79.73349993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73349993475719 11.706067078494822, 79.73431753670192 11.703810307569398)"
13,,,,,,,,,,,11.70381031,79.73431754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73431753670192 11.703810307569398, 79.7351627688237 11.701526529973936)"
14,,,,,,,,,,,11.70152653,79.73516277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7351627688237 11.701526529973936, 79.73597206963812 11.69907080036513)"
15,,,,,,,,,,,11.6990708,79.73597207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73597206963812 11.69907080036513, 79.73668015510427 11.696677911542116)"
16,,,,,,,,,,,11.69667791,79.73668016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73668015510427 11.696677911542116, 79.73746091961557 11.694439045772024)"
17,,,,,,,,,,,11.69443905,79.73746092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73746091961557 11.694439045772024, 79.73807490570627 11.69256110480311)"
18,,,,,,,,,,,11.6925611,79.73807491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73807490570627 11.69256110480311, 79.73847076207727 11.69023012432826)"
19,,,,,,,,,,,11.69023012,79.73847076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73847076207727 11.69023012432826, 79.7388211921943 11.687799485446044)"
