S. No ,Tower No,Supspension/Tension,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GT SETHIYATHOPE 110KV SS,,2W,,,,,,29,,11.42222082,79.53673482,GOOD,MISSING,,,PLAIN,110KV SETHIYATHOPE SS,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53673481617223 11.422220818115209, 79.53651478457537 11.422237801954243)"
2,T.NO 1,T,,DC,26,GT-1,24.08318916,4.88,30,"18°40'50""",11.4222378,79.53651478,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53651478457537 11.422237801954243, 79.53548053847884 11.42197948947494)"
3,T.NO 2,T,,DD,28,2-Jan,116.4173527,4.64,29,"50°48'19""",11.42197949,79.53548054,GOOD,GOOD,HT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53548053847884 11.42197948947494, 79.53501818140853 11.421000750753693)"
4,T.NO 3,T,,DD,28,3-Feb,119.4361754,3.98,28,"39°0'17""",11.42100075,79.53501818,GOOD,GOOD,HT-3,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53501818140853 11.421000750753693, 79.53561683498259 11.418634995889928)"
5,T.NO 4,T,,DD,28,4-Mar,269.7035409,3.15,27,"50°27'7""",11.418635,79.53561683,GOOD,GOOD,HT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53561683498259 11.418634995889928, 79.53618639389458 11.418366608702247)"
6,T.NO 5,T,,DC,26,5-Apr,68.87670143,1.25,30,"17°12'34""",11.41836661,79.53618639,GOOD,GOOD,HT-3 LT-1,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53618639389458 11.418366608702247, 79.53819483726214 11.418078272129776)"
7,T.NO 6,S,,DA,26,6-May,221.4723459,4.2,29,,11.41807827,79.53819484,GOOD,GOOD,LT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53819483726214 11.418078272129776, 79.5400015317485 11.417816040218005)"
8,T.NO 7,T,,DB,24,7-Jun,199.271172,3.62,28,"14°0'30""",11.41781604,79.54000153,GOOD,GOOD,HT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5400015317485 11.417816040218005, 79.54165451468651 11.417146185943565)"
9,T.NO 8,T,,DD,28,8-Jul,195,5.05,27,"49°19'29""",11.41714619,79.54165451,GOOD,GOOD,HT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54165451468651 11.417146185943565, 79.54254782436072 11.414492560128355)"
10,T.NO 9,S,,DA,26,9-Aug,309.2765753,4.35,28,,11.41449256,79.54254782,GOOD,GOOD,LT-1 ,CANAL-1 ROAD-1,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54254782436072 11.414492560128355, 79.54345971890737 11.411784775159663)"
11,T.NO 10,S,,DA,26,10-Sep,315.6010139,3.28,27,,11.41178478,79.54345972,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54345971890737 11.411784775159663, 79.54440889305701 11.408950595015455)"
12,T.NO 11,T,,DB,24,11-Oct,330.1514804,3.7,28,"11°27'22""",11.4089506,79.54440889,GOOD,GOOD,LT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54440889305701 11.408950595015455, 79.54566620414526 11.406786973848254)"
