S. No ,Tower No,Supspension/Tension,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GT VADAKUTHU 110KV SS,,2W,,15,,,,46,,11.58804247,79.55316292,GOOD,MISSING,,,,110KV VADAKUTHU SS,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55316291520246 11.58804246850971, 79.55355501999325 11.5884693557791)"
2,T.NO 88,T,,DB,24,GT-88,63.70243323,1.89,46,"5°41'9""",11.58846936,79.55355502,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55355501999325 11.5884693557791, 79.55513415397279 11.589878601785454)"
3,T.NO 87,T,,DB,24,88-87,232.2800034,3.5,42,"2°24'35""",11.5898786,79.55513415,GOOD,GOOD,HT,CANAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55513415397279 11.589878601785454, 79.5562199527481 11.590932779441838)"
4,T.NO 86,T,,DD,28,87-86,166.1836334,2.5,45,"77°41'36""",11.59093278,79.55621995,GOOD,GOOD,LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5562199527481 11.590932779441838, 79.55806000677288 11.589748549273892)"
5,T.NO 85,T,,DD,28,86-85,239.6330528,3.15,45,"50°58'14""",11.58974855,79.55806001,GOOD,GOOD,HT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55806000677288 11.589748549273892, 79.55826249035577 11.58781478521198)"
6,T.NO 84,T,,DB,24,85-84,215.0279052,2.85,43,"2°30'38""",11.58781479,79.55826249,GOOD,GOOD,"HT,LT",ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55826249035577 11.58781478521198, 79.55825498964529 11.587489271871023)"
7,T.NO 83 DP,T,,DP,15,84-83,36.01388621,,42,,11.58748927,79.55825499,GOOD,GOOD,HT ,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55825498964529 11.587489271871023, 79.55829509804583 11.586820437851232)"
8,T.NO 82 DP,T,,DP,15,83-82,74.10802925,,41,,11.58682044,79.5582951,GOOD,GOOD,110KV CROSSING ABOVE,,,VADAKUTHU - KULLANCHAVADI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55829509804583 11.586820437851232, 79.55835243272797 11.586368673621083)"
9,T.NO 81,T,,DB,24,82-81,50.35871325,9.1,40,"2°32'53""",11.58636867,79.55835243,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55835243272797 11.586368673621083, 79.558538377151 11.584082226955205)"
10,T.NO 80,S,,DA,26,81-80,253.7124356,4.25,37,,11.58408223,79.55853838,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.558538377151 11.584082226955205, 79.55875395493977 11.581380040887419)"
11,T.NO 79,S,,DA,26,80-79,299.8082721,2.95,42,,11.58138004,79.55875395,GOOD,GOOD,2 NOS HT,CANAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55875395493977 11.581380040887419, 79.55897545381096 11.57931075363927)"
12,T.NO 78,T,,DD,28,79-78,230.1521236,2.35,44,"50°28'10""",11.57931075,79.55897545,GOOD,GOOD,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55897545381096 11.57931075363927, 79.5612847125529 11.577803350880131)"
13,T.NO 77,S,,DA,26,78-77,302.0347662,3.65,42,,11.57780335,79.56128471,GOOD,GOOD,"3 NOS HT, 3 NOS LT",ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5612847125529 11.577803350880131, 79.56340037917185 11.576493868674714)"
14,T.NO 76,S,,DA,26,77-76,272.4261368,4.15,37,,11.57649387,79.56340038,GOOD,GOOD,2 NOS LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56340037917185 11.576493868674714, 79.5649091096935 11.575524920162263)"
15,T.NO 75,T,,DC,26,76-75,196.3670033,1.85,43,"19°2'37""",11.57552492,79.56490911,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5649091096935 11.575524920162263, 79.56663512827393 11.575099500462986)"
16,T.NO 74,S,,DA,26,75-74,194.0309254,3.73,39,,11.5750995,79.56663513,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56663512827393 11.575099500462986, 79.56800345290817 11.574690383161578)"
17,T.NO 73,T,2W,DD,28,74-73,155.9390907,4.05,41,"50°57'39""",11.57469038,79.56800345,GOOD,GOOD,"HT,LT",ROAD,CULTIVACTION LAND,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56800345290817 11.574690383161578, 79.5689132460426 11.572488865979244)"
18,T.NO 72,S,,DA,26,73-72,262.9448611,5.25,39,,11.57248887,79.56891325,GOOD,GOOD,LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5689132460426 11.572488865979244, 79.56962822317999 11.570729393499718)"
19,T.NO 71,S,,DA,26,72-71,209.6520928,2.45,36,,11.57072939,79.56962822,GOOD,GOOD,"2 NOS LT, HT",ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56962822317999 11.570729393499718, 79.57064058995871 11.56818481376154)"
20,T.NO 70,S,,DA,26,71-70,302.3325983,3.62,38,,11.56818481,79.57064059,GOOD,GOOD,LT ,CANAL,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57064058995871 11.56818481376154, 79.5716707696633 11.565739767458792)"
21,T.NO 69,S,,DA,26,70-69,292.8514982,1.83,34,,11.56573977,79.57167077,GOOD,GOOD,"LT, 2 NOS HT ",,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5716707696633 11.565739767458792, 79.57260841674612 11.563456998534502)"
22,T.NO 68,T,,DB,24,69-68,272.4151244,2.05,31,"8°7'10""",11.563457,79.57260842,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57260841674612 11.563456998534502, 79.57284235366426 11.562526920770763)"
23,T.NO 67,T,,DD,28,68-67,105.9905656,4.32,31,"64°46'2""",11.56252692,79.57284235,GOOD,GOOD,, RAILWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57284235366426 11.562526920770763, 79.57048634270956 11.560634770058725)"
24,T.NO 66,S,,DA,26,67-66,331.4030778,5.5,35,,11.56063477,79.57048634,GOOD,GOOD,,ROAD CROSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57048634270956 11.560634770058725, 79.56876941627394 11.559288222326332)"
25,T.NO 65,S,,DA,26,66-65,239.2655429,1.58,36,,11.55928822,79.56876942,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56876941627394 11.559288222326332, 79.56732646290877 11.558160005220726)"
