,Tower No,Supspension/Tenion,JOINT BOX,Tower Type,Curcuit,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
7,T.NO 135,T,,SC,SC,26,134-135,YES,234.52292,2.31,25,"17°30'51.27""",79.40366667,10.93363889,BAD,GOOD,NO,LT,,CULTIVATION LAND,4 LEGS BAR MISSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.40366666666667 10.93363888888889, 79.40183333333334 10.932833333333333)"
8,T.NO 136,T,,SC,SC,29,135-136,YES,217.5890622,2.43,33,"13°9'48.00""",79.40183333,10.93283333,BAD,GOOD,NO,,TAAR ROAD (SH),CULTIVATION LAND,CONCRATE DAMAGED ON 2 LEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.40183333333334 10.932833333333333, 79.39922222222224 10.932333333333332)"
9,T.NO 137,T,,SD,SC,28,136-137,YES,291.0532597,INSIDE FENCE,30,"72°43'37.69""",79.39922222,10.93233333,GOOD,GOOD,NO,11 KV,,,INSIDE FENCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39922222222224 10.932333333333332, 79.39827777777778 10.934083333333334)"
10,T.NO 138,S,,SA,SC,26,137-138,NO,219.6474448,INSIDE FENCE,30,,79.39827778,10.93408333,GOOD,GOOD,NO,LT,,,INSIDE FENCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39827777777778 10.934083333333334, 79.39736111111112 10.935722222222223)"
11,T.NO 139,T,,SB,SC,24,138-139,NO,206.7873304,BUSHES,29,"10°11'51.04""",79.39736111,10.93572222,GOOD,GOOD,NO,LT,MUD ROAD,,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39736111111112 10.935722222222223, 79.39597222222223 10.93736111111111)"
12,T.NO 140,T,,SB,SC,24,139-140,NO,234.5804766,BUSHES,32,"3°56'54.66""",79.39597222,10.93736111,GOOD,GOOD,NO,LT,TAAR ROAD,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39597222222223 10.93736111111111, 79.39427777777779 10.93913888888889)"
13,T.NO 141,S,,SA,SC,29,140-141,NO,272.3912627,WATER,32,,79.39427778,10.93913889,GOOD,GOOD,NO,,,CULTIVATION LAND,WATER SURROUNDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39427777777779 10.93913888888889, 79.39250000000001 10.94075)"
14,T.NO 142,S,,SA,SC,26,141-142,NO,263.2869157,BUSHES,29,,79.3925,10.94075,GOOD,GOOD,NO,LT,RIVER,,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39250000000001 10.94075, 79.39033333333334 10.942555555555556)"
15,T.NO 143 ,T,,SD,DC,28,142-143,YES,308.4752826,BUSHES,28,"54°3'10.88""",79.39033333,10.94255556,GOOD,GOOD,NO,LT,,,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39033333333334 10.942555555555556, 79.39041666666667 10.943444444444445)"
16,T.NO 144 ,T,,SD,DC,28,143-144,YES,97.32933782,BUSHES,30,"89°31'13.17""",79.39041667,10.94344444,GOOD,GOOD,NO,"11KV,LT",TAAR ROAD,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39041666666667 10.943444444444445, 79.38991666666668 10.943472222222223)"
17,GANTRY SAKOTTAI,T,2W,,GANTRY,20,144-GANTRY,YES,55.22680509,,31,,79.38991667,10.94347222,GOOD,NO EARTH WIRE,,11KV,MUD ROAD,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
