Tower No,Tower Type,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
486,SA,S,26,487-486,,=SQRT((K24-K23)^2+(L24-L23)^2),,45.49,,11.978947247649783,79.48257778274237,GOOD,Old,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48257778274237 11.978947247649783, 79.48258753029135 11.981721129109662)"
485,SA,S,26,486-485,,=SQRT((K25-K24)^2+(L25-L24)^2),,46.21,,11.981721129109662,79.48258753029135,GOOD,Old,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48258753029135 11.981721129109662, 79.48259699783613 11.984416167448737)"
484,SA,S,26,485-484,,=SQRT((K26-K25)^2+(L26-L25)^2),,46.55,,11.984416167448737,79.48259699783613,GOOD,Old,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48259699783613 11.984416167448737, 79.48260551736375 11.98684220167343)"
483,SB,T,24,484-483,,=SQRT((K27-K26)^2+(L27-L26)^2),11.25,50.83," 5d59'9""LT",11.98684220167343,79.48260551736375,GOOD,GOOD,"Ht-1,Lt-2",Cartrack,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48260551736375 11.98684220167343, 79.48275651720272 11.988214197881806)"
482,SD,T,28,483-482,,=SQRT((K28-K27)^2+(L28-L27)^2),,51.97,"84d27'35""RT",11.988214197881806,79.48275651720272,GOOD,GOOD,Ht-1,Road,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48275651720272 11.988214197881806, 79.48257051787938 11.988252200035076)"
Gantry Vilupuram 230 KV SS,Gantry,T,20,482-Gantry,,=SQRT((K29-K28)^2+(L29-L28)^2),11.35,52.9,,11.988252200035076,79.48257051787938,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,TOTAL,,=SUM(G8:G29),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
