S. No ,Tower No,Supspension/Tension,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 72 DEVIYAKURICHI LILO,T,3W,DD,28,,,3.17,124,,11.57634645,78.91124104,GOOD,GOOD,,,,DEVIYAKURICHI LILO NEED 3WAY JUNCTION BOX,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91124104325955 11.576346454595802, 78.9085064260448 11.576751497025276)"
2,T.NO 71,S,,DA,26,72-71,301,5.75,110,,11.5767515,78.90850643,GOOD,GOOD,LT-1 HT-1," MUDROAD,ROAD",CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9085064260448 11.576751497025276, 78.90583684171192 11.577039487975355)"
3,T.NO 70,S,,DA,26,71-70,292,4.95,120,,11.57703949,78.90583684,GOOD,GOOD,LT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90583684171192 11.577039487975355, 78.9030025382965 11.577290107704595)"
4,T.NO 69,T,,DB,24,70-69,310,4.31,129,"3°37'41""",11.57729011,78.90300254,GOOD,GOOD,LT-1 HT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9030025382965 11.577290107704595, 78.899444461818 11.57749025638977)"
5,T.NO 68,S,,DA,26,69-68,388,4.05,133,,11.57749026,78.89944446,GOOD,GOOD,HT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.899444461818 11.57749025638977, 78.89655529876944 11.577722336922486)"
6,T.NO 67,S,,DA,26,68-67,316,6.15,132,,11.57772234,78.8965553,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89655529876944 11.577722336922486, 78.89386913961718 11.577775105195876)"
7,T.NO 66,S,,DA,26,67-66,293,5.23,132,,11.57777511,78.89386914,GOOD,GOOD,LT-1 HT-1,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89386913961718 11.577775105195876, 78.8910535772822 11.577971513110363)"
8,T.NO 65,S,,DA,26,66-65,307,4.62,134,,11.57797151,78.89105358,GOOD,GOOD,LT-2,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8910535772822 11.577971513110363, 78.88806447428965 11.578085284798043)"
9,T.NO 64,S,,DA,26,65-64,326,4.05,136,,11.57808528,78.88806447,GOOD,GOOD,LT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88806447428965 11.578085284798043, 78.88512093211837 11.578235509907195)"
10,T.NO 63,S,,DA,26,64-63,321.5618137,3.95,141,,11.57823551,78.88512093,GOOD,GOOD,,MUD ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88512093211837 11.578235509907195, 78.88219579196348 11.578376801214981)"
