S. No ,Tower No,Supspension/Tension,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 72 DEVIYAKURICHI LILO,T,3W,DD,28,,,3.17,124,,11.57634645,78.91124104,GOOD,GOOD,,,,DEVIYAKURICHI LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91124104325955 11.576346454595802, 78.9085064260448 11.576751497025276)"
2,T.NO 71,S,,DA,26,72-71,301.6836091,5.75,110,,11.5767515,78.90850643,GOOD,GOOD,LT-1 HT-1," MUDROAD,ROAD",CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9085064260448 11.576751497025276, 78.90583684171192 11.577039487975355)"
3,T.NO 70,S,,DA,26,71-70,292.9795215,4.95,120,,11.57703949,78.90583684,GOOD,GOOD,LT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90583684171192 11.577039487975355, 78.9030025382965 11.577290107704595)"
4,T.NO 69,T,,DB,24,70-69,310.452895,4.31,129,"3°37'41""",11.57729011,78.90300254,GOOD,GOOD,LT-1 HT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9030025382965 11.577290107704595, 78.899444461818 11.57749025638977)"
5,T.NO 68,S,,DA,26,69-68,388.8045782,4.05,133,,11.57749026,78.89944446,GOOD,GOOD,HT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.899444461818 11.57749025638977, 78.89655529876944 11.577722336922486)"
6,T.NO 67,S,,DA,26,68-67,316.2419959,6.15,132,,11.57772234,78.8965553,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89655529876944 11.577722336922486, 78.89386913961718 11.577775105195876)"
7,T.NO 66,S,,DA,26,67-66,293.1091947,5.23,132,,11.57777511,78.89386914,GOOD,GOOD,LT-1 HT-1,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89386913961718 11.577775105195876, 78.8910535772822 11.577971513110363)"
8,T.NO 65,S,,DA,26,66-65,307.9366818,4.62,134,,11.57797151,78.89105358,GOOD,GOOD,LT-2,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8910535772822 11.577971513110363, 78.88806447428965 11.578085284798043)"
9,T.NO 64,S,,DA,26,65-64,326.3449096,4.05,136,,11.57808528,78.88806447,GOOD,GOOD,LT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88806447428965 11.578085284798043, 78.88512093211837 11.578235509907195)"
10,T.NO 63,S,,DA,26,64-63,321.5618137,3.95,141,,11.57823551,78.88512093,GOOD,GOOD,,MUD ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88512093211837 11.578235509907195, 78.88219579196348 11.578376801214981)"
11,T.NO 62,S,,DA,26,63-62,319.5074334,4.88,143,,11.5783768,78.88219579,GOOD,GOOD,LT-1,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88219579196348 11.578376801214981, 78.87945410770133 11.57850133092372)"
12,T.NO 61,S,,DA,26,62-61,299.4277876,3.45,143,,11.57850133,78.87945411,GOOD,GOOD,LT-2 HT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87945410770133 11.57850133092372, 78.87622615808392 11.578685531253903)"
13,T.NO 60,S,,DA,26,61-60,352.7506201,4.72,142,,11.57868553,78.87622616,GOOD,GOOD,LT-1,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87622615808392 11.578685531253903, 78.87360356595634 11.578819916345466)"
14,T.NO 59,S,,DA,26,60-59,286.5047993,5.37,147,,11.57881992,78.87360357,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87360356595634 11.578819916345466, 78.870485747357 11.57898678473765)"
15,T.NO 58,S,,DA,26,59-58,340.6479121,3.13,151,,11.57898678,78.87048575,GOOD,GOOD,HT-2 LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.870485747357 11.57898678473765, 78.8680008517756 11.579095017710928)"
16,T.NO 57,T,2W,DB,24,58-57,271.3613827,3.86,152,"0°0'37""",11.57909502,78.86800085,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8680008517756 11.579095017710928, 78.86519501791007 11.579218937134822)"
17,T.NO 56,S,,DA,26,57-56,306.4180151,3.03,151,,11.57921894,78.86519502,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86519501791007 11.579218937134822, 78.86241647786018 11.579370143982707)"
18,T.NO 55,S,,DA,26,56-55,303.5951251,4.61,152,,11.57937014,78.86241648,GOOD,GOOD,LT-2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86241647786018 11.579370143982707, 78.85961037356678 11.579530157505982)"
19,T.NO 54,S,,DA,26,55-54,306.6528982,4.91,153,,11.57953016,78.85961037,GOOD,GOOD,HT-1,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85961037356678 11.579530157505982, 78.8568135056431 11.579681173825714)"
20,T.NO 53,S,,DA,26,54-53,305.5912302,3.12,154,,11.57968117,78.85681351,GOOD,GOOD,LT-1,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8568135056431 11.579681173825714, 78.85402594327635 11.579814155987952)"
21,T.NO 52,S,,DA,26,53-52,304.4749579,4.37,154,,11.57981416,78.85402594,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85402594327635 11.579814155987952, 78.85140343555283 11.579939298694818)"
22,T.NO 51,S,,DA,26,52-51,286.4472028,5.13,153,,11.5799393,78.85140344,GOOD,GOOD,LT-3,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85140343555283 11.579939298694818, 78.848514916309 11.580089552586287)"
