,Tower No,Tower Type & Supspension/Tenion,JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,JB Location,Earthing Location,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
84,T.NO 83,S,,26,82-83,NO,304.2383934,1.61,73,,78.89725,10.189,,,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89725 10.189, 78.89941666666667 10.188)"
85,T.NO 84,S,,26,83-84,NO,261.2833711,1.91,75,,78.89941667,10.188,,,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89941666666667 10.188, 78.90152777777779 10.187083333333334)"
86,T.NO 85,S,,26,84-85,YES,251.5094432,0.37,68,,78.90152778,10.18708333,,,GOOD,GOOD,NO,,MUD ROAD,POND CROSSING,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90152777777779 10.187083333333334, 78.90375 10.18625)"
87,T.NO 86,S,,26,85-86,NO,261.1225766,1.11,69,,78.90375,10.18625,,,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90375 10.18625, 78.90583333333333 10.185222222222222)"
88,T.NO 87,S,,29,86-87,YES,256.2537805,1.71,65,,78.90583333,10.18522222,,,GOOD,GOOD,NO,,TAAR ROAD,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90583333333333 10.185222222222222, 78.90794444444445 10.184333333333333)"
89,T.NO 88,T,,31,87-88,NO,249.7758996,1.63,62,"45°42'11.72""",78.90794444,10.18433333,,,GOOD,GOOD,NO,,,INSIDE WATER,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90794444444445 10.184333333333333, 78.91011111111112 10.183472222222223)"
90,T.NO 89,S,,29,88-89,YES,255.3311575,"2,54",61,,78.91011111,10.18347222,,,GOOD,GOOD,NO,,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91011111111112 10.183472222222223, 78.912 10.184333333333333)"
91,T.NO 90,S,,29,89-90,YES,227.4379036,1.73,60,,78.912,10.18433333,,,GOOD,GOOD,NO,,,INSIDE WATER,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.912 10.184333333333333, 78.91402777777779 10.185333333333334)"
92,T.NO 91,S,,29,90-91,YES,250.8904143,1.07,59,,78.91402778,10.18533333,,,GOOD,GOOD,NO,,TAAR ROAD,INSIDE WATER,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91402777777779 10.185333333333334, 78.9161388888889 10.186361111111111)"
93,T.NO 92,S,2W,26,91-92,YES,256.2849976,1.71,62,,78.91613889,10.18636111,,,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9161388888889 10.186361111111111, 78.91822222222223 10.187416666666667)"
94,T.NO 93,T,,26,92-93,YES,256.2537805,1.76,63,"24°29'26.14""",78.91822222,10.18741667,Yes,,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91822222222223 10.187416666666667, 78.92033333333333 10.188444444444444)"
95,T.NO 94,S,,26,93-94,NO,257.5985248,1.1,62,,78.92033333,10.18844444,,,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92033333333333 10.188444444444444, 78.92266666666667 10.188527777777779)"
96,T.NO 95,S,,26,94-95,NO,258.1240012,0.61,61,,78.92266667,10.18852778,,,GOOD,GOOD,NO,,MUD ROAD,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92266666666667 10.188527777777779, 78.92538888888889 10.188638888888889)"
97,T.NO 96,S,,29,95-96,YES,298.167738,0.67,61,,78.92538889,10.18863889,,,GOOD,GOOD,NO,,TAAR ROAD,INSIDE WATER,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92538888888889 10.188638888888889, 78.92783333333334 10.18875)"
98,T.NO 97,T,,31,96-97,NO,268.1510768,1.54,63,"57°47'30.37""",78.92783333,10.18875,,,GOOD,GOOD,NO,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92783333333334 10.18875, 78.93019444444445 10.188833333333333)"
99,T.NO 98,S,,29,97-98,NO,259.0945773,1.99,63,,78.93019444,10.18883333,,,GOOD,GOOD,NO,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93019444444445 10.188833333333333, 78.93108333333333 10.190333333333333)"
100,T.NO 99,S,,26,98-99,NO,194.1391254,2.55,64,,78.93108333,10.19033333,,,GOOD,GOOD,NO,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93108333333333 10.190333333333333, 78.93241666666667 10.192527777777778)"
101,T.NO 100,T,,24,99-100,YES,281.2578888,,63,"0°00'00.00""",78.93241667,10.19252778,,,GOOD,GOOD,NO,,MUD ROAD,,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93241666666667 10.192527777777778, 78.93341666666667 10.194361111111112)"
102,T.NO 101,T,,29,100-101,YES,232.7230113,,62,"47°4'26.00""",78.93341667,10.19436111,,,GOOD,GOOD,NO,,TAAR ROAD,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93341666666667 10.194361111111112, 78.93469444444445 10.19688888888889)"
103,T.NO 102,S,,26,101-102,YES,311.2764045,1.69,59,,78.93469444,10.19688889,,,GOOD,GOOD,NO,LT CROSSING,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93469444444445 10.19688888888889, 78.93727777777778 10.197611111111112)"
104,T.NO 103,S,2W,26,102-103,NO,294.0901222,0.37,56,,78.93727778,10.19761111,,,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93727777777778 10.197611111111112, 78.93983333333334 10.198777777777778)"
105,T.NO 104,T,,24,103-104,YES,307.9561657,2.5,59,"7°29'24.55""",78.93983333,10.19877778,Yes,,GOOD,GOOD,NO,LT CROSSING,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93983333333334 10.198777777777778, 78.94255555555556 10.2)"
106,T.NO 105,S,,26,104-105,NO,328.1600219,2.55,58,,78.94255556,10.2,,,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94255555555556 10.2, 78.94466666666668 10.201277777777777)"
107,T.NO 106,T,,29,105-106,NO,270.6325923,3,59,"16°7'52.65""",78.94466667,10.20127778,,,GOOD,GOOD,NO,,"TAAR ROAD, RIVER(VELLARU)",CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94466666666668 10.201277777777777, 78.94675000000001 10.202694444444443)"
108,T.NO 107,T,,27,106-107,YES,277.353565,1.48,,"16°7'52.65""",78.94675,10.20269444,,,GOOD,GOOD,NO,,TAAR ROAD,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94675000000001 10.202694444444443, 78.94822222222223 10.204472222222222)"
109,T.NO 108,T,2W,31,107-108,YES,254.1534969,1.5,58,"70°25'51.50""",78.94822222,10.20447222,,,GOOD,GOOD,YES,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94822222222223 10.204472222222222, 78.95044444444444 10.203666666666665)"
110,T.NO 109,T,2W,24,108-109,YES,259.1312409,1,59,"9°14'23.77""",78.95044444,10.20366667,,,GOOD,GOOD,YES,230 KV  CROSSING ABOVE AND LT,,PLAIN LAND,"NO EARTH WIRE,NO CLEARENCE, EARTH WIRE IS GOING IN UNDER GROUND FROM THIS TOWER  AND CONNECTING NEXT TOWER .NO.109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95044444444444 10.203666666666665, 78.95261111111111 10.202472222222221)"
111,T.NO 110,S,,29,109-110,YES,273.622002,1.03,55,,78.95261111,10.20247222,,,GOOD,GOOD,NO,,TAAR ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95261111111111 10.202472222222221, 78.95494444444445 10.201611111111111)"
112,T.NO 111,S,,26,110-111,YES,270.9575613,1.17,57,,78.95494444,10.20161111,,,GOOD,GOOD,NO,"11KV , LT",,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95494444444445 10.201611111111111, 78.95727777777778 10.200722222222222)"
113,T.NO 112,T,,28,111-112,YES,274.8381342,2.5,55,"47°29'51.56""",78.95727778,10.20072222,,,GOOD,GOOD,NO,LT CROSSING,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95727777777778 10.200722222222222, 78.95952777777778 10.19988888888889)"
114,T.NO 113,S,,26,112-113,NO,264.2820463,2.6,58,,78.95952778,10.19988889,,,GOOD,GOOD,NO,,,CULTIVATION LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95952777777778 10.19988888888889, 78.96166666666667 10.200972222222221)"
115,T.NO 114,T,,26,113-114,YES,262.9619744,1.17,57,"20°43'21.22""",78.96166667,10.20097222,,,GOOD,GOOD,NO,,,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.96166666666667 10.200972222222221, 78.96419444444444 10.202222222222222)"
116,T.NO 115,T,,26,114-115,NO,308.5773809,0.91,56,"27°38'38.04""",78.96419444,10.20222222,,,GOOD,GOOD,NO,11KV,,WATER LOGGED,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.96419444444444 10.202222222222222, 78.96613888888889 10.202444444444444)"
117,T.NO 116,T,,24,115-116,YES,216.1226504,1.51,67,"13°36'56.32""",78.96613889,10.20244444,,,GOOD,GOOD,NO,11KV-2 NOS CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.96613888888889 10.202444444444444, 78.96894444444445 10.20122222222222)"
118,T.NO 117,T,,24,116-117,YES,333.9476007,1.09,64,"9°34'58.60""",78.96894444,10.20122222,,,GOOD,GOOD,NO,,,,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.96894444444445 10.20122222222222, 78.96911111111112 10.201027777777776)"
119,GANTRY ALIYANILAI 110KV S,GANTRY,2W,20,117-GANTRY,YES,28.28427125,,69,,78.96911111,10.20102778,Yes,,GOOD,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
