,Tower No,Tower Type & Supspension/Tenion,JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,JB Location,Earthing Location,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
19,T.NO.18,T,,28,17-18,YES,275.5884613,3.29,101,"53°6'29.08""",78.76272222,10.21797222,,,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76272222222222 10.217972222222222, 78.76302777777778 10.217527777777779)"
20,T.NO.19,T,,28,18-19,YES,58.52349955,2.22,101,"73°14'33.16""",78.76302778,10.21752778,,,GOOD,GOOD,NO,11KV,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76302777777778 10.217527777777779, 78.76333333333334 10.217611111111111)"
21,T.NO.20,T,,40,19-20,YES,35.44009029,3.97,102,"0°00'00.00""",78.76333333,10.21761111,,,GOOD,GOOD,YES,,RAILWAY LINE CROSSING (NON ELECTRICAL),PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76333333333334 10.217611111111111, 78.7641111111111 10.217888888888888)"
22,T.NO.21,T,,40,20-21,YES,89.49301649,3.97,101,"39°20'1.32""",78.76411111,10.21788889,,,GOOD,GOOD,YES,LT CROSSING,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7641111111111 10.217888888888888, 78.76630555555556 10.217055555555556)"
23,T.NO.22,S,,26,21-22,YES,258.3215051,2.97,99,,78.76630556,10.21705556,,,GOOD,GOOD,NO,11KV,POND CROSSING,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76630555555556 10.217055555555556, 78.76877777777777 10.215444444444444)"
24,T.NO.23,S,,26,22-23,NO,323.6680398,,97,,78.76877778,10.21544444,,,GOOD,GOOD,NO,,POND CROSSING,INSIDE WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76877777777777 10.215444444444444, 78.77094444444444 10.21425)"
25,T.NO.24,T,,24,23-24,NO,270.8966593,2,100,"9°20'38.17""",78.77094444,10.21425,,,GOOD,GOOD,NO,,,WATER LOGGED,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77094444444444 10.21425, 78.7731111111111 10.212555555555555)"
26,T.NO.25,S,,29,24-25,NO,305.1638904,3,97,,78.77311111,10.21255556,,,GOOD,GOOD,NO,,POND CROSSING,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7731111111111 10.212555555555555, 78.77505555555555 10.210888888888888)"
27,T.NO.26,S,,29,25-26,YES,280.0589224,2.72,93,,78.77505556,10.21088889,,,GOOD,GOOD,NO,11KV-2 NOS CROSSING,,WATER LOGGED,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77505555555555 10.210888888888888, 78.77686111111112 10.209499999999998)"
28,T.NO.27,S,,29,26-27,NO,251.1274577,2.92,94,,78.77686111,10.2095,,,GOOD,GOOD,NO,,POND CROSSING,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77686111111112 10.209499999999998, 78.7785 10.208166666666665)"
29,T.NO.28,T,,28,27-28,YES,232.2606295,3.27,102,"55°31'3.69""",78.7785,10.20816667,,,GOOD,GOOD,NO,,MUD ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7785 10.208166666666665, 78.77833333333334 10.206138888888889)"
30,T.NO.29,S,,26,28-29,YES,224.8910847,2.76,99,,78.77833333,10.20613889,,,GOOD,GOOD,NO,LT CROSSING,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77833333333334 10.206138888888889, 78.77819444444444 10.20422222222222)"
31,T.NO.30,S,,26,29-30,NO,214.6741717,3.09,97,,78.77819444,10.20422222,,,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77819444444444 10.20422222222222, 78.778 10.201611111111111)"
32,T.NO.31,T,2W,31,30-31,YES,287.0052264,3.27,96,"39°27'44.27""",78.778,10.20161111,Yes,,GOOD,GOOD,NO,LT CROSSING,TAAR ROAD,CANNEL CROSSING,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.778 10.201611111111111, 78.77927777777778 10.199805555555557)"
33,T.NO.32,S,,26,31-32,NO,244.3808503,3.25,95,,78.77927778,10.19980556,,,GOOD,GOOD,NO,,POND CROSSING,WATER LOGGED,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77927777777778 10.199805555555557, 78.78055555555555 10.198083333333333)"
34,T.NO.33,T,,31,32-33,NO,237.6215478,2.72,95,"45°48'18.64""",78.78055556,10.19808333,,,GOOD,GOOD,NO,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78055555555555 10.198083333333333, 78.78275 10.197805555555556)"
35,T.NO.34,S,,26,33-34,NO,241.4062965,3.99,95,,78.78275,10.19780556,,,GOOD,GOOD,NO,LT CROSSING,POND CROSSING,WATER LOGGED,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78275 10.197805555555556, 78.78519444444444 10.19738888888889)"
36,T.NO.35,T,,29,34-35,NO,273.2489707,,95,"15°39'31.95""",78.78519444,10.19738889,,,GOOD,GOOD,NO,,INSIDE POND,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78519444444444 10.19738888888889, 78.78733333333334 10.196361111111111)"
37,T.NO.36,T,,26,35-36,NO,259.8557292,2.99,90,"27°43'33.30""",78.78733333,10.19636111,,,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78733333333334 10.196361111111111, 78.7895 10.196444444444445)"
38,T.NO.37,T,,27,36-37,NO,235.1361308,2.09,92,"5°17'30.07""",78.7895,10.19644444,,,GOOD,GOOD,NO,,POND CROSSING,WATER LOGGED,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7895 10.196444444444445, 78.792 10.196333333333333)"
39,T.NO.38,S,,29,37-38,NO,274.4667557,1.99,90,,78.792,10.19633333,,,GOOD,GOOD,NO,,POND CROSSING,WATER LOGGED,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.792 10.196333333333333, 78.79441666666666 10.196250000000001)"
40,T.NO.39,T,,29,38-39,NO,267.2695269,2,88,"26°32'9.05""",78.79441667,10.19625,,,GOOD,GOOD,NO,,POND CROSSING,WATER LOGGED,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79441666666666 10.196250000000001, 78.79663888888889 10.197222222222223)"
41,T.NO.40,S,,26,39-40,NO,265.9191606,2.22,91,,78.79663889,10.19722222,,,GOOD,GOOD,NO,LT CROSSING,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79663888888889 10.197222222222223, 78.79877777777777 10.19813888888889)"
