Tower No,Tower Type,Tower Type,JOINT BOX,Tower Height (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
EV NATHAM 102/1 LILO,LILO,T,3W,26,,,,5.38,142.64,,11.74373926,78.9172278,GOOD,GOOD,,,PLAIN,DEVIYAKURICHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91722779563185 11.74373925866729, 78.91577379602994 11.743937256269847)"
2,SD,T,,28,2-Jan,,160.0367,10.16,152.83," 39d28'11""RT",11.74393726,78.9157738,GOOD,GOOD,HT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91577379602994 11.743937256269847, 78.91393490080154 11.745901842968516)"
3,SA,S,,26,3-Feb,,295,,152.69,,11.74590184,78.9139349,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91393490080154 11.745901842968516, 78.9120557985277 11.747850257534298)"
4,SB,T,,24,4-Mar,,297,11.36,141.62," 12d36'42""LT",11.74785026,78.9120558,GOOD,GOOD,"HT-2,LT-1",,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9120557985277 11.747850257534298, 78.90963080033482 11.749452253211727)"
5,SA,S,,26,5-Apr,,318.3147,4.26,145.29,,11.74945225,78.9096308,GOOD,GOOD,LT-1,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90963080033482 11.749452253211727, 78.90727180186839 11.75103325135172)"
6,SA,S,,26,6-May,,311.0502,10.6,149.05,,11.75103325,78.9072718,GOOD,GOOD,HT-1,CAR TRACK,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90727180186839 11.75103325135172, 78.90481446517035 11.752684634840822)"
7,SA,S,,26,7-Jun,,324.295,,148.8,,11.75268463,78.90481447,GOOD,GOOD,110KV,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90481446517035 11.752684634840822, 78.90281980460041 11.754023258636275)"
8,SB,T,,24,8-Jul,,263.1208,5.68,144.96," 14d12'53""RT",11.75402326,78.9028198,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90281980460041 11.754023258636275, 78.90126580530777 11.75575525095837)"
9,SA,S,,26,9-Aug,,255.7968,8.15,145.25,,11.75575525,78.90126581,GOOD,GOOD,400KV,RIVER,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90126580530777 11.75575525095837, 78.89940773872571 11.7578248185222)"
10,SA,S,,26,10-Sep,,305,1.65,148.21,,11.75782482,78.89940774,GOOD,GOOD,LT-3,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89940773872571 11.7578248185222, 78.89787280777415 11.75951325415186)"
