S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO -  111,T,3W,DC,26,,,,70.11879,,10.90316667,78.82655556,GOOD,,,,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82655555555556 10.903166666666667, 78.82566666666666 10.904333333333334)"
2,111/1,T,,DC,26, 111 -  111/ 1,170,3.1,67,"33°23'32"" L",10.90433333,78.82566667,GOOD,Available,LT - 2NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82566666666666 10.904333333333334, 78.82327777777778 10.905194444444446)"
3,111/2,S,,DA,26,111/5 - 111/6,278.9593873,2.9,134.553406,,10.90519444,78.82327778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82327777777778 10.905194444444446, 78.82083333333333 10.906055555555556)"
4,111/3,T,,DC,26,111/6 - 111/7,283.8246733,4.1,68,"6°40'50"" R",10.90605556,78.82083333,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82083333333333 10.906055555555556, 78.81847222222221 10.907250000000001)"
5,111/4,S,,DA,26,111/7 - 111/8,289.8113479,2.27,67,,10.90725,78.81847222,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81847222222221 10.907250000000001, 78.81738888888889 10.907833333333334)"
6,111/5,S,,DA,26,111/8 - 111/9,165,2.02,68,,10.90783333,78.81738889,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81738888888889 10.907833333333334, 78.81616666666666 10.908444444444445)"
7,111/6,S,,DA,26,111/9 - 111/10,156,3.45,67,,10.90844444,78.81616667,GOOD,Available,,NH,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81616666666666 10.908444444444445, 78.81402777777778 10.909611111111111)"
8,111/7,S,,DA,26,111/10 - 111/11,269.0453082,3.35,66,,10.90961111,78.81402778,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81402777777778 10.909611111111111, 78.81191666666666 10.910694444444445)"
9,111/8,T,,DC,26,111/11 - 111/12,260.8233775,3.1,67,"9°46'33"" R",10.91069444,78.81191667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81191666666666 10.910694444444445, 78.81 10.912138888888888)"
10,111/9,S,,DA,26,111/12 - 111/13,263.6454025,1.9,67,,10.91213889,78.81,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81 10.912138888888888, 78.80819444444444 10.913472222222223)"
11,111/10,S,,DA,26,111/13 - 111/14,246.6100223,2.39,67.300339,,10.91347222,78.80819444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80819444444444 10.913472222222223, 78.80619444444444 10.915027777777778)"
12,111/11,S,,DA,26,"111/14 - Gantry 
( Valadi SS )",275.363598,1.78,69.654488,,10.91502778,78.80619444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80619444444444 10.915027777777778, 78.80422222222222 10.916555555555556)"
13,111/12,T,,DC,26,"Gantry 
( Valadi SS ) - ",275.590764,2.42,71.168976,"44°13'57"" L",10.91655556,78.80422222,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80422222222222 10.916555555555556, 78.803 10.916416666666667)"
14,111/13,T,,DC,26, - ,131.9837341,1.99,72.667023,"60°15'34"" L",10.91641667,78.803,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.803 10.916416666666667, 78.80269444444444 10.915666666666667)"
15,111/14,T,,DC,26, - ,98,2.47,74.894341,"70°58'10"" R",10.91566667,78.80269444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80269444444444 10.915666666666667, 78.80230555555555 10.915694444444444)"
16,"Gantry 
( Valadi SS )",Gantry,2W,H-POLE,12,111/14 - Gantry,46,,76.23053,,10.91569444,78.80230556,GOOD,NO E/W,,,PLAIN,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
