S.no,Tower No,Supspension/ Tenion,JOINT BOX,Tower Type,Circuit,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
20,T.NO-18 ,T,2W,DC,DC,26,17-18,NO,303.6593486,2.17,90,"20°30'19.70""",79.06436111,10.74755556,GOOD,GOOD,NO,2nos LT,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06436111111111 10.747555555555556, 79.06463888888888 10.748944444444444)"
21,T.NO- 19 ,T,,DD,DC,26,18-19,NO,154.1492783,2.27,87,"57°12'15.96""",79.06463889,10.74894444,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06463888888888 10.748944444444444, 79.06508333333333 10.74911111111111)"
22,T.NO-182 ,S,,DA,DC,26,19-182,NO,52.55473337,,86,,79.06508333,10.74911111,BAD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06508333333333 10.74911111111111, 79.06755555555556 10.75)"
23,T.NO- 183 ,S,,DA,DC,26,182-183,NO,287.8367593,,88,,79.06755556,10.75,BAD,NO,NO,,,CULTIVATION LAND,"NO EARTH WIRE, RUSTED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06755555555556 10.75, 79.07019444444444 10.750777777777778)"
24,T.NO-184 ,S,,DA,DC,26,183-184,NO,301.6438297,,87,,79.07019444,10.75077778,BAD,NO,NO,,,PLAIN LAND,"NO EARTH WIRE, BUSHES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07019444444444 10.750777777777778, 79.07275 10.751583333333333)"
25,T.NO-185 ,S,,DA,DC,29,184-185,NO,292.8514982,2.11,92,,79.07275,10.75158333,BAD,NO,NO,LT,,PLAIN LAND,"NO EARTH WIR, BUSHES, RUSTED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07275 10.751583333333333, 79.07538888888888 10.752444444444444)"
26,T.NO-186 ,S,,DA,DC,29,185-186,NO,306.1502899,3.9,95,,79.07538889,10.75244444,BAD,NO,NO,LT,TAAR ROAD,CULTIVATION LAND,"NO EARTH WIRE, RUSTED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07538888888888 10.752444444444444, 79.07819444444443 10.753305555555556)"
27,T.NO-187 ,S,,DA,DC,26,186-187,YES,320.407553,2.72,89,,79.07819444,10.75330556,BAD,NO,NO,,,PLAIN LAND,"NO EARTH WIRE, BUSHES, RUSTED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07819444444443 10.753305555555556, 79.0795 10.753722222222223)"
28,T.NO-187 A ,S,,DA,DC,26,187-187A,YES,149.9133083,3.09,87,,79.0795,10.75372222,BAD,BAD,NO,,,PLAIN LAND,EARTH WIRE CONNECT TO BOTTOM CROSS ARM(T.NO-187A) FROM  T.NO-187 PEAK.  THEN CONNECT TO T.NO-188 PEAK ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0795 10.753722222222223, 79.08066666666666 10.754111111111111)"
29,T.NO- 188 ,S,,DA,DC,26,187A-188,NO,135.3587825,3.52,85,,79.08066667,10.75411111,BAD,GOOD,NO,,,PLAIN LAND,RUSTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08066666666666 10.754111111111111, 79.08319444444444 10.754916666666666)"
30,T.NO-189 ,T,,DD,DC,26,188-189,NO,289.0432494,3.27,86,"39°41'22.37""",79.08319444,10.75491667,BAD,GOOD,NO,,,PLAIN LAND,RUSTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08319444444444 10.754916666666666, 79.08519444444444 10.754138888888889)"
31,T.NO- 190 ,S,,DA,DC,26,189-190,YES,234.7189809,1.89,89,,79.08519444,10.75413889,BAD,GOOD,NO,"2nos LT, 11KV",MUD RAOD,PLAIN LAND,"BUSHES, RUSTED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08519444444444 10.754138888888889, 79.08683333333333 10.7535)"
32,T.NO- 191 ,S,,D,DC,26,190-191,YES,193.6930561,2.33,93,,79.08683333,10.7535,BAD,GOOD,NO,LT,MUD RAOD,PLAIN LAND,RUSTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08683333333333 10.7535, 79.08947222222221 10.752583333333334)"
33,T.NO -192 ,T,,DD,DC,26,191-192,YES,307.4150289,1.93,90,"33°57'51.08""",79.08947222,10.75258333,BAD,GOOD,NO,"LT, 11KV","MUD RAOD, TAAR ROAD",PLAIN LAND,RUSTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08947222222221 10.752583333333334, 79.09194444444444 10.753222222222222)"
34,T.NO-193 ,S,,DA,DC,29,192-193,YES,277.95863,2.42,84,,79.09194444,10.75322222,BAD,NO,NO,2nos LT,"MUD ROAD, TAAR ROAD",PLAIN LAND,"NO EARTH WIRE, BUSHES,RUSTED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.09194444444444 10.753222222222222, 79.09394444444445 10.754027777777777)"
35,T.NO- 194 ,T,,DD,DC,26,193-194,YES,235.8495283,2.02,91,"21°7'28.99""",79.09394444,10.75402778,BAD,NO,NO,"2nos 11KV, 33KV",TAAR ROAD,PLAIN LAND,"NO EARTH WIRE, BUSHES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.09394444444445 10.754027777777777, 79.09413888888888 10.754027777777777)"
36,GANTRY THANJAVUR GRID 110KV SS,T,2W,GANTRY,GANTRY,20,194-GANTRY,YES,22,,93,,79.09413889,10.75402778,GOOD,NO,,,,,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
