S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,,,,,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,joint_box,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,45 ( TN -34 ),T,3W,DC on DC,25,,,2.85,24,,11.12116965,79.5307291,,,,,GOOD,,,,PLAIN,COMMON TOWER FOR 110KV ABAN LILO - KADALANGUDI,,,,2W,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5307291019707 11.1211696453392, 79.5329771284013 11.1214785184711)"
2,TN - 46 (TN -33),T,,DC on DC,25,TN - 49 : TN - 50,249.9252725,3.03,25,87°25'49''RT,11.12147852,79.53297713,,,,,GOOD,AVAILABLE,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5329771284013 11.1214785184711, 79.5326980948448 11.1245132703334)"
3,TN - 47,S,,SC on SC,23,TN - 50 : TN - 51,339.0442913,2.85,26,,11.12451327,79.53269809,,,,,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5326980948448 11.1245132703334, 79.5323750562965 11.1270871013402)"
4,TN - 48,S,,SC on SC,23,TN - 51 : TN - 52,288.8610406,3.03,27,,11.1270871,79.53237506,,,,,GOOD,AVAILABLE,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5323750562965 11.1270871013402, 79.532119994983 11.1291483789682)"
5,TN - 49,S,,SC on SC,23,TN - 52 : TN - 53,231.6868282,2.36,26,,11.12914838,79.53211999,,,,,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.532119994983 11.1291483789682, 79.5317910052835 11.1318471003323)"
6,TN - 50,S,,SC on SC,23,TN - 53 : TN - 54,302.6517312,4.1,28,,11.1318471,79.53179101,,,,,GOOD,AVAILABLE,LT,,AGRI,,KCR,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5317910052835 11.1318471003323, 79.5314703136682 11.1343723163008)"
7,TN - 51,S,,SC on SC,23,TN - 54 : TN - 55,283.4936269,5.3,26,,11.13437232,79.53147031,,,,,GOOD,AVAILABLE,,,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5314703136682 11.1343723163008, 79.531165882945 11.1369021423161)"
8,TN - 52,S,,SC on SC,23,TN - 55 : TN - 56,283.7845048,3.6,24,,11.13690214,79.53116588,,,,,GOOD,AVAILABLE,LT,,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.531165882945 11.1369021423161, 79.5310153439641 11.1383754294365)"
9,TN - 53,T,,SC on SC,24,TN - 56 : TN - 57,165.7829023,4.5,25,6°47'42''RT,11.13837543,79.53101534,,,,,GOOD,AVAILABLE,HT,ROAD,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5310153439641 11.1383754294365, 79.5303613040596 11.141294511035)"
10,TN - 54,S,,SC on SC,23,TN - 57 : TN - 58,332.6789393,2.9,26,,11.14129451,79.5303613,,,,,GOOD,AVAILABLE,,,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5303613040596 11.141294511035, 79.5297068450599 11.1440292745828)"
11,TN - 55,S,,SC on SC,23,TN - 58 : TN - 59,312.8152671,4.3,23,,11.14402927,79.52970685,,,,,GOOD,AVAILABLE,,,AGRI,,PB+3,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5297068450599 11.1440292745828, 79.5291251409798 11.1463490501046)"
12,TN - 56,T,,SC on SC,24,TN - 59 : TN - 60,266.3326165,4.1,24,51°47'15''LT,11.14634905,79.52912514,,,,,GOOD,AVAILABLE,"HT, LT","CANAL, ROAD",AGRI,,PA,,,2W,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5291251409798 11.1463490501046, 79.5303593762218 11.1479453835636)"
13,TN - 57,S,,SC on SC,23,TN - 60 : TN - 61,224.145457,5.3,26,,11.14794538,79.53035938,,,,,GOOD,AVAILABLE,,,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5303593762218 11.1479453835636, 79.5318075176328 11.1498086806386)"
14,TN - 58,S,2W,SC on SC,23,TN - 61 : TN - 62,261.7931754,3.6,23,,11.14980868,79.53180752,,,,,GOOD,AVAILABLE,,,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5318075176328 11.1498086806386, 79.5333240553736 11.1517279688268)"
15,TN - 59,S,,SC on SC,23,TN - 62 : TN - 63,271.2621671,4.5,22,,11.15172797,79.53332406,,,,,GOOD,AVAILABLE,,,AGRI,,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5333240553736 11.1517279688268, 79.534715199843 11.1535155773162)"
16,TN - 60,T,,SC on SC,24,TN - 63 : TN - 64,251.3602982,2.9,23,19°50'46''RT,11.15351558,79.5347152,,,,,GOOD,AVAILABLE,LT,ROAD,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.534715199843 11.1535155773162, 79.5355202816426 11.1559868138283)"
17,TN - 61,S,,SC on SC,23,TN - 64 : TN - 65,289.1308076,1.6,23,,11.15598681,79.53552028,,,,,GOOD,AVAILABLE,,,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5355202816426 11.1559868138283, 79.5362106990069 11.1580744944512)"
18,TN - 62,S,,SC on SC,23,TN - 65 : TN - 66,244.9121199,3.65,25,,11.15807449,79.5362107,,,,,GOOD,AVAILABLE,LT,,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5362106990069 11.1580744944512, 79.5371291041374 11.1608863715082)"
19,TN - 63,S,,SC on SC,23,TN - 66 : TN - 67,328.7875723,4.52,24,,11.16088637,79.5371291,,,,,GOOD,AVAILABLE,,,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5371291041374 11.1608863715082, 79.5380144845694 11.1635457817465)"
20,TN - 64,S,,SC on SC,23,TN - 67 : TN - 68,311.6352372,4.6,22,,11.16354578,79.53801448,,,,,GOOD,AVAILABLE,,,AGRI,,PC,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5380144845694 11.1635457817465, 79.5387850329279 11.1659201234579)"
21,TN - 65,S,,SC on SC,23,TN - 68 : TN - 69,277.7725108,3.2,23,,11.16592012,79.53878503,,,,,GOOD,AVAILABLE,LT,,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5387850329279 11.1659201234579, 79.5394900348037 11.1681600194424)"
22,TN - 66,T,,SC on SC,24,TN - 69 : TN - 70,261.4364296,2.4,21,13°36'51''LT,11.16816002,79.53949003,,,,,GOOD,AVAILABLE,LT,ROAD,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5394900348037 11.1681600194424, 79.5406449772417 11.1700757034122)"
23,TN - 67,S,,SC on SC,23,TN - 70 : TN - 71,248.5903721,2.85,20,,11.1700757,79.54064498,,,,,GOOD,AVAILABLE,LT,,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5406449772417 11.1700757034122, 79.5416694134473 11.1718100868165)"
24,TN - 68,S,,SC on SC,23,TN - 71 : TN - 72,224.077003,3.03,22,,11.17181009,79.54166941,,,,,GOOD,AVAILABLE,LT,ROAD,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5416694134473 11.1718100868165, 79.5427772495895 11.1736609786748)"
25,TN - 69,T,2W,SC on SC,24,TN - 72 : TN - 73,239.8010807,2.36,23,25°23'27''LT,11.17366098,79.54277725,,,,,GOOD,AVAILABLE,,,AGRI,,PC,,,2W,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5427772495895 11.1736609786748, 79.544533425942 11.1748325172811)"
