S. No ,Tower No,Supspension/ Tension,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GT-UMANGALAM,T,2W,GT,15,,,,52,,79.42530556,11.53408333,GOOD,MISSING,,,PLAIN,110KV UMANGALAM SS,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.42530555555555 11.534083333333333, 79.42527777777778 11.533555555555555)"
2,T.NO 47,T,,DD,28,GT-47,59.03447251,1.25,46,"45°49'4""",79.42527778,11.53355556,GOOD,GOOD,HT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.42527777777778 11.533555555555555, 79.42450000000001 11.532861111111112)"
3,T.NO 46,T,,DB,24,47-46,117.1034022,1.82,44,"7°48'57""",79.4245,11.53286111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.42450000000001 11.532861111111112, 79.42277777777778 11.531694444444446)"
4,T.NO 45,T,,DC,26,46-45,227.6120032,2.38,44,"25°32'0""",79.42277778,11.53169444,GOOD,GOOD, HT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.42277777777778 11.531694444444446, 79.42066666666668 11.531361111111112)"
5,T.NO 44,S,,DA,26,45-44,234.7883658,3.75,44,,79.42066667,11.53136111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.42066666666668 11.531361111111112, 79.41866666666667 11.531083333333335)"
6,T.NO 43,T,,DD,28,44-43,221.0545387,4.97,45,"34°7'21""",79.41866667,11.53108333,GOOD,GOOD,HT-1,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.41866666666667 11.531083333333335, 79.41766666666668 11.530166666666668)"
7,T.NO 42,T,,DD,28,43-42,147.5776245,5.36,45,"45°15'36""",79.41766667,11.53016667,GOOD,GOOD,HT-1,ROAD-3,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.41766666666668 11.530166666666668, 79.41577777777778 11.530277777777778)"
8,T.NO 41,T,,DD,28,42-41,209.3458663,6.29,48,"64°30'9""",79.41577778,11.53027778,GOOD,GOOD,HT-1,MAIN ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.41577777777778 11.530277777777778, 79.41480555555556 11.528555555555556)"
9,T.NO 40,T,,DB,24,41-40,218.9587117,6.73,46,"5°29'10""",79.41480556,11.52855556,GOOD,GOOD,HT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.41480555555556 11.528555555555556, 79.41411111111111 11.526916666666667)"
10,T.NO 39,T,,DB,24,40-39,198.0913494,3.81,44,"17°20'55""",79.41411111,11.52691667,GOOD,GOOD,HT-1,MAIN ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.41411111111111 11.526916666666667, 79.41380555555556 11.523861111111112)"
