S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ,,,,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 231,T,3W,DC on DC,28,,,21.2,11.35,9.9,21.2,70,,11.59033452,79.34821366,GOOD,,,,AGRI,JOINT BOX,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3482136633247 11.5903345216065, 79.3454097490757 11.590029252693)"
2,230,S,,DC on DC,28,LILO : 231 - 230,308.9166019,17.75,7.95,6.8,18.6,67,,11.59002925,79.34540975,GOOD,Available,"2-LT,HT,110kV",,AGRI,DOWN LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3454097490757 11.590029252693, 79.3427250254899 11.5897245705127)"
3,229,T,,DC on DC,28,230 - 229,295.9923903,12.35,3.85,1.6,26.6,62,23°36'56''RT,11.58972457,79.34272503,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3427250254899 11.5897245705127, 79.3403771705925 11.5883641038089)"
4,228,S,,DC on DC,28,229 - 228,298.2687822,13.15,4.35,2.4,27.6,61,,11.5883641,79.34037717,GOOD,Available,,MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3403771705925 11.5883641038089, 79.338010456413 11.5869040600955)"
5,227,S,,DC on DC,28,228 - 227,305.7421271,12.68,4.15,1.8,28.5,60,,11.58690406,79.33801046,GOOD,Available,LT,"ROAD,CANAL",AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.338010456413 11.5869040600955, 79.3356166686862 11.5854710061103)"
6,226,S,,DC on DC,28,227 - 226,306.6906656,13.1,4.4,2.3,28.1,57,,11.58547101,79.33561667,GOOD,Available,,"MUD ROAD,CANAL",AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3356166686862 11.5854710061103, 79.3332319334149 11.5840651094913)"
7,225,S,,DC on DC,28,226 - 225,304.2960196,12.4,3.95,1.7,27.4,54,,11.58406511,79.33323193,GOOD,Available,2-LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3332319334149 11.5840651094913, 79.330874774605 11.5826593805104)"
8,224,S,,DC on DC,28,225 - 224,301.7104017,12.4,4.15,1.6,29.5,55,,11.58265938,79.33087477,GOOD,Available,"2-HT,LT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.330874774605 11.5826593805104, 79.3285450246185 11.581262787804)"
9,223,S,,DC on DC,28,224 - 223,298.6316213,12.55,3.9,1.9,26,52,,11.58126279,79.32854502,GOOD,Available,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3285450246185 11.581262787804, 79.32611502707 11.5797842200845)"
10,222,S,,DC on DC,28,223 - 222,312.6935561,12.4,3.75,1.7,25.2,52,,11.57978422,79.32611503,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.32611502707 11.5797842200845, 79.323543626815 11.5782775729894)"
