,Tower No,,Tower Type & Supspension/Tenion,JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO-17 LILO (TO THANJAVUR URBAN SS),DC,T,3W,29,,YES,,1.23,76,,79.12702778,10.76855556,GOOD,GOOD,NO,,,PLAIN LAND,2 EARTH WIRE. 1 E/W CONNECT TO URBAN 110KV T.NO-1 AND OUR E/W  CONTINUE TO T.NO-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12702777777777 10.768555555555556, 79.12966666666667 10.769194444444445)"
2,T.NO-19 LILO (TO MARIAMMAN KOIL SS),DC,T,3W,32,17LILO - 19 LILO,YES,299.068554,0.33,78,"36°29'28.22""",79.12966667,10.76919444,GOOD,G00D,NO,11KV,TAAR RAOD  HIGHWAY,PLAIN LAND, LILO TO MARIYAMMAN KOIL 110KV (NEED JUCTION BOX) 2 EARTH WIRE. 1 E/W CONNECT TO MARIYAMMANKOIL 110KV T.NO-21 AND OUR E/W  CONTINUE TO T.NO-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12966666666667 10.769194444444445, 79.13024999999999 10.76988888888889)"
3,T.NO-20,DC,T,,32,19 LILO -20,YES,100.7670581,1.09,75,"96°22'42.88""",79.13025,10.76988889,GOOD,G00D,YES,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.13024999999999 10.76988888888889, 79.13041666666666 10.769722222222223)"
4,MANIMANDABAM 110KV GANTRY,GANTRY,GANTRY,2W,20,20-GANTRY,YES,26.17250466,,73,,79.13041667,10.76972222,GOOD,NO,,,,SS,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
