Tower No,Tower Type,Tower Type (S/T),JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
20,SB,T,2W,24,19-20,,0.002057882,5.2,12.590607,"5d45'46""RT",11.62359229,79.72453442,GOOD,GOOD,LT-1,,PLAIN,S/C,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72453442442507 11.623592287855276, 79.72372542453516 11.621630281911592)"
21,SA,S,,26,20-21,,0.002254399,4.65,5.889908,,11.62163028,79.72372542,GOOD,GOOD,LT-2,ROAD-1,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72372542453516 11.621630281911592, 79.7228254245731 11.61954028644105)"
22,SA,S,,26,21-22,,0.002489907,3.5,8.468193,,11.61954029,79.72282542,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7228254245731 11.61954028644105, 79.72207942499134 11.617500283892564)"
23,SA,S,,26,22-23,,0.002452383,6.75,5.160583,,11.61750028,79.72207942,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72207942499134 11.617500283892564, 79.7212224251527 11.61506228583294)"
24,SA,S,,26,23-24,,0.00221666,5.43,5.618225,,11.61506229,79.72122243,GOOD,GOOD,"HT-1,LT-1",ROAD-1,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7212224251527 11.61506228583294, 79.72035042529699 11.6131982856875)"
25,SA,S,,26,24-25,,0.002158855,4.35,7.988998,,11.61319829,79.72035043,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72035042529699 11.6131982856875, 79.71944889905335 11.61113199300137)"
26,SA,S,,26,25-26,,0.002426698,7.65,5.527679,,11.61113199,79.7194489,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71944889905335 11.61113199300137, 79.7185314259713 11.608817283745841)"
27,SA,S,,26,26-27,,0.00224126,6.13,4.212257,,11.60881728,79.71853143,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7185314259713 11.608817283745841, 79.71758642620792 11.606554285683586)"
28,SA,S,,26,27-28,,0.002308266,5.4,6.564484,,11.60655429,79.71758643,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71758642620792 11.606554285683586, 79.71675542731008 11.604499286478486)"
29,SA,S,,26,28-29,,0.002614286,4.45,4.065987,,11.60449929,79.71675543,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71675542731008 11.604499286478486, 79.71593042761162 11.60250428502299)"
30,SA,S,,26,29-30,,0.001970005,6.12,5.941566,,11.60250429,79.71593043,GOOD,GOOD,HT-2,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71593042761162 11.60250428502299, 79.71501642787273 11.600256292977802)"
31,SA,S,,26,30-31,,0.002248385,8. 42,6.014107,,11.60025629,79.71501643,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71501642787273 11.600256292977802, 79.71421742814334 11.598162290892704)"
32,SA,S,,26,31-32,,0.002475604,6.43,6.051262,,11.59816229,79.71421743,GOOD,GOOD,,ROAD-1,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71421742814334 11.598162290892704, 79.71331842851184 11.596036287461269)"
33,SA,S,,26,32-33,,0.002429112,7.35,6.372017,,11.59603629,79.71331843,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71331842851184 11.596036287461269, 79.71232942835525 11.593616293923345)"
34,SA,S,,26,33-34,,0.002338864,5.4,6.751953,,11.59361629,79.71232943,GOOD,GOOD,,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71232942835525 11.593616293923345, 79.7115754288638 11.591796292618683)"
35,SA,S,,26,34-35,,0.002424166,4.36,7.100571,,11.59179629,79.71157543,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7115754288638 11.591796292618683, 79.71071442874695 11.589719295933541)"
36,SB,T,2W,24,35-36,,0.002300096,4.12,8.757355," 6d46'24""LT",11.5897193,79.71071443,GOOD,GOOD,,,PLAIN,S/C,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71071442874695 11.589719295933541, 79.71000242922774 11.587348289824535)"
37,SA,S,,26,36-37,,0.002165901,3.15,7.475853,,11.58734829,79.71000243,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71000242922774 11.587348289824535, 79.70937242977307 11.585002295829538)"
38,SA,S,,26,37-38,,0.002369731,5.25,11.590759,,11.5850023,79.70937243,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70937242977307 11.585002295829538, 79.7087854300343 11.582738291734922)"
39,SA,S,,26,38-39,,0.002018198,6.43,5.418983,,11.58273829,79.70878543,GOOD,GOOD,HT-1,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7087854300343 11.582738291734922, 79.70813043015795 11.580404291489588)"
40,SA,S,,26,39-40,,0.001794279,4.65,8.686905,,11.58040429,79.70813043,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70813043015795 11.580404291489588, 79.70753242992909 11.57818329282499)"
41,SA,S,,26,40-41,,0.002384464,5.75,8.24765,,11.57818329,79.70753243,GOOD,GOOD,"HT-1,LT-1",,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70753242992909 11.57818329282499, 79.70694243046283 11.57609929934669)"
42,SA,S,,26,41-42,,0.002216611,6.4,7.521645,,11.5760993,79.70694243,GOOD,GOOD,,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70694243046283 11.57609929934669, 79.70631443022758 11.573814296160318)"
43,SA,S,,26,42-43,,0.002459867,5.53,4.649498,,11.5738143,79.70631443,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70631443022758 11.573814296160318, 79.70580943079375 11.571860300564127)"
44,SB,T,2W,24,43-44,,0.001696179,4.36,8.152016,"7d31'43""LT",11.5718603,79.70580943,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70580943079375 11.571860300564127, 79.70554043093858 11.570086300034381)"
45,SA,S,,26,44-45,,0.003064625,4.15,7.045212,,11.5700863,79.70554043,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70554043093858 11.570086300034381, 79.70528743121292 11.567715295835999)"
46,SA,S,,26,45-46,,0.001994453,5.3,7.079247,,11.5677153,79.70528743,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70528743121292 11.567715295835999, 79.70495143107011 11.565524298963213)"
47,SA,S,,26,46-47,,0.002189508,4.7,8.531097,,11.5655243,79.70495143,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70495143107011 11.565524298963213, 79.70468143130982 11.563079294998705)"
48,SA,S,,26,47-48,,0.001633461,5.36,10.323921,,11.56307929,79.70468143,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70468143130982 11.563079294998705, 79.70489509836042 11.56139662740336)"
49,SA,S,,26,48-49,,0.002364793,4.2,6.450607,,11.56139663,79.7048951,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70489509836042 11.56139662740336, 79.70439455100625 11.558373156005226)"
50,SC,T,2W,26,49-50,,0.002151191,3.1,7.513451," 20d39'54""LT",11.55837316,79.70439455,GOOD,GOOD,,,PLAIN,S/C,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70439455100625 11.558373156005226, 79.70444343092963 11.556379301876447)"
51,SA,S,,26,50-51,,0.002170593,2.33,14.465482,,11.5563793,79.70444343,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70444343092963 11.556379301876447, 79.70495043154 11.554249302548541)"
52,SA,S,,26,51-52,,0.002377894,4.13,15.421962,,11.5542493,79.70495043,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70495043154 11.554249302548541, 79.70532043090334 11.552658297555244)"
53,SD,T,,28,52-53,,0.002062999,5.75,13.165569,"44d11'25""LT",11.5526583,79.70532043,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70532043090334 11.552658297555244, 79.70731143022566 11.551382301742235)"
54,SA,S,,26,53-54,,0.001776246,6.25,14.033521,,11.5513823,79.70731143,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70731143022566 11.551382301742235, 79.70912942916209 11.550232301220053)"
55,SA,S,,26,54-55,,0.002187515,7.4,12.509682,,11.5502323,79.70912943,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70912942916209 11.550232301220053, 79.71096342848513 11.549071300948714)"
56,SA,S,,26,55-56,,0.00205181,6.47,15.271907,,11.5490713,79.71096343,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71096342848513 11.549071300948714, 79.71297942851851 11.547810299353278)"
