S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1, LILO: 51,T,3W,DC,26,,,2.09,29.672918,,10.59108333,79.37416667,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.37416666666665 10.591083333333334, 79.3736111111111 10.589583333333334)"
2,52,S,,SA,22, 51 -52,185,4.21,30.21678,,10.58958333,79.37361111,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3736111111111 10.589583333333334, 79.3728611111111 10.58763888888889)"
3,53,S,,SA,22,52-53,240,1.28,29.499224,,10.58763889,79.37286111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3728611111111 10.58763888888889, 79.37219444444443 10.585555555555556)"
4,54,S,,SA,22,53-54,245,7.45,27.522106,,10.58555556,79.37219444,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.37219444444443 10.585555555555556, 79.3715 10.583583333333333)"
5,55,T,,SC,22,54-55,232.4075026,5.13,26.763567,"7°42'38"" L",10.58358333,79.3715,GOOD,Available,"HT,LT -4NO",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3715 10.583583333333333, 79.371 10.581249999999999)"
6,56,S,,SA,22,55-56,261.5204338,2.61,26.131884,,10.58125,79.371,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.371 10.581249999999999, 79.37052777777777 10.579277777777778)"
7,57,S,,SA,22,56-57,230,4.3,25.330137,,10.57927778,79.37052778,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.37052777777777 10.579277777777778, 79.37008333333333 10.577166666666667)"
8,58,S,,SA,22,57-58,237.0805896,1.52,25.122856,,10.57716667,79.37008333,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.37008333333333 10.577166666666667, 79.36958333333332 10.575083333333334)"
9,59,S,,SA,22,58-59,238.9105485,6.17,25.018829,,10.57508333,79.36958333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36958333333332 10.575083333333334, 79.36927777777777 10.573583333333334)"
10,60,T,,SC,22,59-60,175,3.01,22.641808,"11°43'32"" R",10.57358333,79.36927778,GOOD,Available,"LT-3NO,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36927777777777 10.573583333333334, 79.3681111111111 10.570972222222222)"
