S.No,Tower No.,Tower Type,Tension / Suspension,Joint Box Location ,Tower Height (m),Span Between,Span Length (m),Deviation Angle,GPS Latitude,GPS Longitude,Tower Condition,Crossing Objects / Remarks,Land Condition
35,T.NO-35,GCR+3M,S,,24,34-35,311,-,-,-,"GOOD, NO E/W",MUD ROAD,CALTIVATION
36,T.NO-36,KCH,T,,24,35-36,654,"45� 33' 48""",277105,1308716,"GOOD, NO E/W",MUD ROAD,"PLAIN, WATER LOGGED"
37,T.NO-37,GCR+3M,S,,24,36-37,251,-,-,-,"GOOD, NO E/W",LT,CALTIVATION
38,T.NO-38,KCR,T,,24,37-38,412,"42� 22' 52""",277326,1308355,"GOOD, NO E/W","11KV, TAAR ROAD",CALTIVATION
39,T.NO-39,DP,S,,26,38-39,115,"03� 38' 56""",272052,1313591,"GOOD, NO E/W",LT,CALTIVATION
40,T.NO-40,DP,S,,24,39-40,-,-,272052,1313591,"GOOD, NO E/W","400KV DC LINE CROSSING BELOW, TAAR ROAD",CALTIVATION
41,T.NO-41,GCR+3M,S,2W,24,40-41,351,"32� 10' 15""",277440,1308322,"GOOD, NO E/W",2-LT,CULTIVATION
42,T.NO-42,GCR,S,,24,41-42,315,-,-,-,"GOOD, NO E/W",-,CULTIVATION
43,T.NO-43,GCR,S,,24,42-43,421,-,-,-,"GOOD, NO E/W",-,PLAIN
44,T.NO-44,KCR+6M,T,,27,43-44,556,"37� 13' 26""",278134,1307851,"GOOD, NO E/W",-,PLAIN
45,T.NO-45,GCR,S,,24,44-45,401,-,-,-,"GOOD, NO E/W",-,PLAIN
46,T.NO-46,GCR,S,,24,45-46,325,-,-,-,"GOOD, NO E/W",-,PLAIN
47,T.NO-47,HCR,S,,24,46-47,421,"05� 13' 40""",278839,1307812,"GOOD, NO E/W",LT,CULTIVATION
48,T.NO-48,GCR,S,,24,47-48,325,-,-,-,"GOOD, NO E/W",-,CULTIVATION
49,T.NO-49,GCR,S,,24,48-49,431,-,-,-,"GOOD, NO E/W",-,CULTIVATION
50,T.NO-50,KCR-3M,T,,25,49-50,254,"33� 15' 20""",279536,1307779,"GOOD, NO E/W","11KV, LT, TAAR ROAD",-
51,T.NO-51,KCR+3M,T,,24,50-51,641,"50� 04' 31""",279793,1307850,"GOOD, NO E/W","LT, TAAR ROAD",-
52,T.NO-52,GCR,S,,24,51-52,305,-,280404,1307428,"GOOD, NO E/W","11KV, MUD ROAD",-
53,T.NO-53,GCR,S,,24,52-53,295,-,-,-,"GOOD, NO E/W",LT,-
