S.NO,Tower No,Tower Type,Tower Type (S/T),JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY  CUDALORE SS,GANTRY,T,2W,20,,,,,35.412079,,11.72757026,79.73303242,GOOD,GOOD,,,PLAIN,Cuddaiore ss,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73303242109021 11.727570260828424, 79.73301142118734 11.72735025998185)"
2,1A   D/C,DB,T,,24,GANTRY-1A,,0.001754369,0.5,35.230953,"4d2'52""LT",11.72735026,79.73301142,GOOD,GOOD,LT-2,Road,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73301142118734 11.72735025998185, 79.73297342131677 11.725732256462097)"
3,1 S/C,SB,T,,24,1A-1S/C,,0.002087087,1.3,34.656578," 8d1'42""LT",11.72573226,79.73297342,GOOD,GOOD,LT-2,Road,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73297342131677 11.725732256462097, 79.73311342125106 11.72455825647707)"
4,2,SB,T,,24,1S/C - 2,,0.002885782,2.5,25.970619,"14d0'6""RT",11.72455826,79.73311342,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73311342125106 11.72455825647707, 79.73287842106892 11.722750258740247)"
5,3,SB,T,,24,3-Feb,,0.001424023,1.1,23.443642," 6d8'17""LT",11.72275026,79.73287842,GOOD,GOOD,HT-2,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73287842106892 11.722750258740247, 79.73283642155586 11.720708262085001)"
6,4,SB,T,,24,4-Mar,,0.002697185,0.6,34.267509,"7d43'58""RT",11.72070826,79.73283642,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73283642155586 11.720708262085001, 79.73256128859742 11.718975601229062)"
7,5,SA,S,,26,5-Apr,,0.002068322,,19.43409,,11.7189756,79.73256129,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73256128859742 11.718975601229062, 79.73223398015377 11.716914339155315)"
8,6,SA,S,,26,6-May,,0.002594588,1.25,10.171577,,11.71691434,79.73223398,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73223398015377 11.716914339155315, 79.73178142127617 11.71406426408571)"
9,7,SB,T,,24,7-Jun,,0.002132499,2.45,12.329735," 14d47'17""RT",11.71406426,79.73178142,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73178142127617 11.71406426408571, 79.73120242180747 11.712763264030905)"
10,8,SD,T,,28,8-Jul,,0.001938449,2.8,25.120766,"31d34'36""LT",11.71276326,79.73120242,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73120242180747 11.712763264030905, 79.73158442180943 11.710093267568398)"
11,9,SA,S,,26,9-Aug,,0.001123498,3.5,26.845833,,11.71009327,79.73158442,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73158442180943 11.710093267568398, 79.7318664214735 11.708044259906234)"
12,10,SA,S,,26,10-Sep,,0.001504871,,27.705765,,11.70804426,79.73186642,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7318664214735 11.708044259906234, 79.73224761646269 11.705477827603954)"
13,11,SA,S,,26,11-Oct,,0.002454672,2.45,28.434948,,11.70547783,79.73224762,GOOD,GOOD,Lt-1,Car track,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73224761646269 11.705477827603954, 79.73256091415031 11.703368468298558)"
14,12,SA,S,,26,12-Nov,,0.00236353,,27.661812,,11.70336847,79.73256091,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73256091415031 11.703368468298558, 79.73283342132103 11.701449269909691)"
15,13,SA,S,,26,13-Dec,,0.00198935,,26.913246,,11.70144927,79.73283342,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73283342132103 11.701449269909691, 79.73301073600186 11.700339852831389)"
