S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
21, 14/20,T,,DC,26, 14/19- 14/20,296.2385134,2.97,97.360016,"60°4'12""L",10.72425,78.61791667,GOOD,Available,LT,"Poongudi Road,Canal",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61791666666666 10.72425, 78.61558333333333 10.72413888888889)"
22, 14/21,S,,DA,26, 14/20- 14/21,253.2860733,4.62,99.606384,,10.72413889,78.61558333,GOOD,Available,LT,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61558333333333 10.72413888888889, 78.61363888888889 10.724055555555555)"
23, 14/22,T,,DC,26, 14/21- 14/22,215.6893759,1.93,100.941788,"53°10'12""R",10.72405556,78.61363889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61363888888889 10.724055555555555, 78.61274999999999 10.722805555555556)"
24, 14/23,S,,DA,26, 14/22- 14/23,167.1287964,1.73,101.849152,,10.72280556,78.61275,GOOD,Available,LT -2 NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61274999999999 10.722805555555556, 78.61180555555555 10.721472222222223)"
25, 14/24,T,,DC,26, 14/23- 14/24,182.4708627,0.98,101.886894,"40°25'12""R",10.72147222,78.61180556,GOOD,Available,LT -2 NO,TRICHY ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61180555555555 10.721472222222223, 78.61205555555556 10.719083333333334)"
26, 14/25,S,,DA,26, 14/24- 14/25,264.9513964,1.69,101.771706,,10.71908333,78.61205556,GOOD,Available,HT,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61205555555556 10.719083333333334, 78.61222222222221 10.717277777777777)"
27, 14/26,T,,DB,25, 14/25- 14/26,200.888379,1.47,99.84787,"25°21'36""L",10.71727778,78.61222222,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61222222222221 10.717277777777777, 78.61152777777777 10.715388888888889)"
28, 14/27,S,,DA,26, 14/26- 14/27,221.0460564,1.19,97.992126,,10.71538889,78.61152778,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61152777777777 10.715388888888889, 78.61083333333333 10.713444444444443)"
29, 14/28,T,,DB,25, 14/27- 14/28,228.4524409,1.37,98.096802,"30°7'48""L",10.71344444,78.61083333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61083333333333 10.713444444444443, 78.6098611111111 10.712666666666665)"
30, 14/29,T,,DC,26, 14/28- 14/29,138.2213512,1.99,100.147575,"43°28'12""R",10.71266667,78.60986111,GOOD,Available,,Canal,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6098611111111 10.712666666666665, 78.60972222222222 10.711472222222222)"
31,LILO : 14/30A,T,3W,DB,25, 14/29- 14/30A,131.5257598,1.16,99.219551,"12°12'36""R",10.71147222,78.60972222,GOOD,NO E/W,,,PLAIN,LILO Manikandam ,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60972222222222 10.711472222222222, 78.60983333333333 10.710472222222222)"
32, 14/30,T,,DB,25, 14/30A- 14/30,112.3176326,1.78,98.159485,"23°6'36""L",10.71047222,78.60983333,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60983333333333 10.710472222222222, 78.60930555555555 10.708805555555555)"
