S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Manmangalam SS),Gantry,2W,H-POLE,12,,,,166.081772,,11.00138889,78.06577778,GOOD,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06577777777777 11.001388888888888, 78.06575 11.001527777777778)"
2,1,T,,DC,26,Gantry-1,15.91048345,1.2,167.85643,"50°34'33"" L",11.00152778,78.06575,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06575 11.001527777777778, 78.06608333333332 11.002)"
3,2,T,,DC,26,01-Feb,64.61707571,3.16,168.131729,"55°32'6"" R",11.002,78.06608333,GOOD,Available,"HT,LT -3No",Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06608333333332 11.002, 78.06547222222223 11.003694444444445)"
4,3,S,,DA,26,02-Mar,198.6130159,2.07,169.245132,,11.00369444,78.06547222,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06547222222223 11.003694444444445, 78.06477777777778 11.005444444444445)"
5,4,T,,DC,26,03-Apr,208.0391448,1.38,171.822937,"55°41'23"" L",11.00544444,78.06477778,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06477777777778 11.005444444444445, 78.06358333333333 11.005722222222222)"
6,5,T,,DC,26,04-May,136.2729143,2.26,166.123154,"55°26'4"" L",11.00572222,78.06358333,GOOD,Available,,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06358333333333 11.005722222222222, 78.062 11.004333333333333)"
7,6,T,,DC,26,05-Jun,230.9208089,1.23,162.867203,"18°51'19"" L",11.00433333,78.062,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.062 11.004333333333333, 78.06097222222222 11.002444444444444)"
8,7,S,,DA,26,06-Jul,235.991855,3.24,161.275299,,11.00244444,78.06097222,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06097222222222 11.002444444444444, 78.05991666666667 11.000444444444444)"
9,8,T,,DC,26,07-Aug,250.1913072,0.23,158.176071,"46°27'19"" L",11.00044444,78.05991667,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.05991666666667 11.000444444444444, 78.06058333333333 10.99847222222222)"
10,9,S,,DA,26,08-Sep,231.5861641,4.6,160.708588,,10.99847222,78.06058333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06058333333333 10.99847222222222, 78.06144444444445 10.996083333333333)"
11,10,T,,DC,26,09-Oct,279.9741793,0.57,156.530884,"29°42'0"" R",10.99608333,78.06144444,GOOD,Available,"LT-3No,HT-2No",Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06144444444445 10.996083333333333, 78.06105555555555 10.993972222222222)"
12,11,S,,DA,26,10-Nov,237.1934578,6.83,152.859268,,10.99397222,78.06105556,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06105555555555 10.993972222222222, 78.06072222222222 10.991999999999999)"
13,12,S,,DA,26,11-Dec,221.826261,4.7,151.454239,,10.992,78.06072222,GOOD,Available,"HT,LT -2No",Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06072222222222 10.991999999999999, 78.06038888888888 10.989972222222221)"
14,13,S,,DA,26,Dec-13,226.3254527,3.15,149.908539,,10.98997222,78.06038889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06038888888888 10.989972222222221, 78.06011111111111 10.987972222222222)"
15,14,S,,DA,26,13-14,225.0285791,2.18,150.398193,,10.98797222,78.06011111,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06011111111111 10.987972222222222, 78.05991666666667 10.986527777777777)"
16,15,T,,DC,26,14-15,160.2090342,3.11,147.033264,"61°34'18"" R",10.98652778,78.05991667,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.05991666666667 10.986527777777777, 78.05749999999999 10.98561111111111)"
