Tower No,Tower Type,Tower Type (S/T),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
119 lilo,T,T,26,,,,95.606644,,11.134029402580756,79.08819369868556,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08819369868556 11.134029402580756, 79.08817669822425 11.131797398371788)"
100,SA,S,26,117 LILO-100,246.936,5.1,77.882294,,11.131797398371788,79.08817669822425,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08817669822425 11.131797398371788, 79.08818969797922 11.129589403199185)"
99,SA,S,26,100-99,244.277,9.35,77.815079,,11.129589403199185,79.08818969797922,GOOD,GOOD,HT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08818969797922 11.129589403199185, 79.08822769817421 11.127428399057973)"
98,SB,T,24,99-98,239.11,6.35,81.62616,"8°21'29""RT",11.127428399057973,79.08822769817421,GOOD,GOOD,HT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08822769817421 11.127428399057973, 79.0880086986315 11.125902402470633)"
97,SD,T,28,98-97,170.509,8.45,81.160019,"55°35'39""RT",11.125902402470633,79.0880086986315,GOOD,GOOD,LT-4,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0880086986315 11.125902402470633, 79.08543370008725 11.124643405471627)"
96,SB,T,24,97-96,313.926,12.4,73.918762,"9°15'11""LT",11.124643405471627,79.08543370008725,GOOD,GOOD,LT-4,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08543370008725 11.124643405471627, 79.08338170142827 11.123194403034164)"
95,SA,S,26,96-95,275.61,7.15,74.217583,,11.123194403034164,79.08338170142827,GOOD,GOOD,LT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08338170142827 11.123194403034164, 79.08143270248499 11.121827399859269)"
94,SA,S,26,95-94,261.182,6.5,73.02655,,11.121827399859269,79.08143270248499,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08143270248499 11.121827399859269, 79.07935170301995 11.120357400722742)"
93,SA,S,26,94-93,279.541,8.63,65.898331,,11.120357400722742,79.07935170301995,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07935170301995 11.120357400722742, 79.077187704505 11.118822401222822)"
92,SA,S,26,93-92,291.102,7.54,67.691711,,11.118822401222822,79.077187704505,GOOD,GOOD,HT-1,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.077187704505 11.118822401222822, 79.07505191433401 11.117303894910732)"
91,SA,S,26,92-91,287,,,,11.117303894910732,79.07505191433401,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07505191433401 11.117303894910732, 79.0730977063639 11.115923402154475)"
90,SC,T,26,91-90,262,7.55,62.949154,"15°19'16""RT",11.115923402154475,79.0730977063639,GOOD,GOOD,HT-2,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0730977063639 11.115923402154475, 79.07178470741329 11.115444409366791)"
89,SD,T,28,90-89,152.933,8.17,71.538574,"32°27'38""LT",11.115444409366791,79.07178470741329,GOOD,GOOD,"LT-1,HT-2",ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07178470741329 11.115444409366791, 79.07021270831329 11.113432408296294)"
88,SA,S,26,89-88,281.155,15.65,63.497181,,11.113432408296294,79.07021270831329,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07021270831329 11.113432408296294, 79.0685657089498 11.111289404535553)"
87,SA,S,26,88-87,297.646,11.2,60.114979,,11.111289404535553,79.0685657089498,GOOD,GOOD,"LT-1,HT-1",,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0685657089498 11.111289404535553, 79.0669657101169 11.109226404393205)"
86,SA,S,26,87-86,287.494,10.35,60.332348,,11.109226404393205,79.0669657101169,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0669657101169 11.109226404393205, 79.0656887108913 11.10753140627503)"
85,SC,T,26,86-85,233.737,12.25,59.535324,"25°14'6""LT",11.10753140627503,79.0656887108913,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0656887108913 11.10753140627503, 79.06510871075542 11.104688404361553)"
84,SA,S,26,85-84,320.849,13.65,50.762516,,11.104688404361553,79.06510871075542,GOOD,GOOD,LT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06510871075542 11.104688404361553, 79.06449971144957 11.102041410746674)"
83,SA,S,26,84-83,300.308,11.25,55.366779,,11.102041410746674,79.06449971144957,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06449971144957 11.102041410746674, 79.06392671109123 11.099296411323898)"
82,SA,S,26,83-82,310.085,15.7,57.718891,,11.099296411323898,79.06392671109123,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06392671109123 11.099296411323898, 79.06344271193606 11.09704140804984)"
81,SA,S,26,82-81,255.02,,61.463737,,11.09704140804984,79.06344271193606,GOOD,GOOD,HT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06344271193606 11.09704140804984, 79.06304671176702 11.095277406767366)"
80,SA,S,26,81-80,199.895,8.75,66.443039,,11.095277406767366,79.06304671176702,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06304671176702 11.095277406767366, 79.06251771205909 11.092728414973884)"
79,SA,S,26,80-79,287.864,10.75,69.726311,,11.092728414973884,79.06251771205909,GOOD,GOOD,"LT-1,HT-1",ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06251771205909 11.092728414973884, 79.06200671274556 11.090375407980236)"
78,SA,S,26,79-78,266.24,14.5,73.054596,,11.090375407980236,79.06200671274556,GOOD,GOOD,LT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06200671274556 11.090375407980236, 79.06145071262021 11.087797408101908)"
77,SA,S,26,78-77,291.609,3.15,71.651138,,11.087797408101908,79.06145071262021,GOOD,GOOD,LT-2,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06145071262021 11.087797408101908, 79.06086371295567 11.085095409185104)"
76,SA,S,26,77-76,305.733,4.85,70.912239,,11.085095409185104,79.06086371295567,GOOD,GOOD,LT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06086371295567 11.085095409185104, 79.06028671377106 11.082396412463758)"
75,SA,S,26,76-75,305.181,9.75,69.936172,,11.082396412463758,79.06028671377106,GOOD,GOOD,"LT-1,HT-1",ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06028671377106 11.082396412463758, 79.05970871341422 11.07975741119446)"
74,SA,S,26,75-74,298.713,17.4,72.980919,,11.07975741119446,79.05970871341422,GOOD,GOOD,LT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05970871341422 11.07975741119446, 79.05937571358106 11.078154413857098)"
73,SA,S,26,74-73,181.038,8.35,74.233955,,11.078154413857098,79.05937571358106,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05937571358106 11.078154413857098, 79.05881371472692 11.07559241158056)"
72,SA,S,26,73-72,290.007,7.3,75.635796,,11.07559241158056,79.05881371472692,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05881371472692 11.07559241158056, 79.05819871463865 11.072843419775328)"
71,SA,S,26,72-71,311.465,1.45,79.968689,,11.072843419775328,79.05819871463865,GOOD,GOOD,"LT-1,HT-1",,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05819871463865 11.072843419775328, 79.05789571488643 11.071411418886509)"
24 lilo,DD,T,28,71-24 lilo,116.849,3.5,84.026764,"87°44'50""LT",11.071411418886509,79.05789571488643,GOOD,GOOD,LT-1,,PLAIN,lilo to sathamangalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05789571488643 11.071411418886509, 79.05892971449657 11.07115141360208)"
23,DB,T,24,24 lilo-23,116.597,5.1,78.752213,"2°48'32""RT",11.07115141360208,79.05892971449657,GOOD,GOOD,LT-1,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05892971449657 11.07115141360208, 79.06098171333316 11.070497419152911)"
22,DA,S,26,23-22,235.622,6.2,89.61055,,11.070497419152911,79.06098171333316,GOOD,GOOD,HT-1,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06098171333316 11.070497419152911, 79.06303871171966 11.0699034160306)"
21,DC,T,26,22-21,234.194,5.75,91.277061,"24°59'35""LT",11.0699034160306,79.06303871171966,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06303871171966 11.0699034160306, 79.06524771109952 11.070221418920369)"
20,DA,S,26,21-20,243.946,7.05,92.28788,,11.070221418920369,79.06524771109952,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06524771109952 11.070221418920369, 79.06716670955389 11.070449418427959)"
