Tower No,Tower Type,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
92/1 LILO,LILO,T,28,,,,,,,11.87532783038054,78.99666413978395,GOOD,GOOD,,,PLAIN,LILO POINT TO THIRUKOILURE D/C,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99666413978395 11.87532783038054, 78.99423675031144 11.875192226401971)"
93,SA,S,26,92/1-93,,264.9455,4.53,150.88,,11.875192226401971,78.99423675031144,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99423675031144 11.875192226401971, 78.99181641390147 11.875121691982777)"
94,SA,S,26,93-94,,264,8.94,153.26,,11.875121691982777,78.99181641390147,GOOD,GOOD,400KV,CAR TRACK,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99181641390147 11.875121691982777, 78.98944403206214 11.875050592426785)"
95,SA,S,26,94-95,,258.5859,3.13,154.77,,11.875050592426785,78.98944403206214,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.98944403206214 11.875050592426785, 78.98728975413498 11.874990227662153)"
96,SB,T,24,95-96,,234.9155,7.42,156.17,"7d46'25""LT",11.874990227662153,78.98728975413498,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.98728975413498 11.874990227662153, 78.98467042286978 11.874560099933817)"
97,SA,S,26,96-97,,289.3791,12.23,157.38,,11.874560099933817,78.98467042286978,GOOD,GOOD,400KV,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.98467042286978 11.874560099933817, 78.98197200170924 11.87411695942997)"
98,SA,S,26,97-98,,298.1217,9.41,154.25,,11.87411695942997,78.98197200170924,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.98197200170924 11.87411695942997, 78.97924575854381 11.873669221891278)"
99,SB,T,24,98-99,,301.1934,,154.73," 5d59'17""RT",11.873669221891278,78.97924575854381,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.97924575854381 11.873669221891278, 78.97667036540825 11.873514985333596)"
100,SA,S,26,99-100,,281.17,2.36,151.68,,11.873514985333596,78.97667036540825,GOOD,GOOD,"LT-1,HT-1",,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.97667036540825 11.873514985333596, 78.97403276175162 11.87335622338461)"
101,SA,S,26,100-101,,287.968,4.74,146.49,,11.87335622338461,78.97403276175162,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.97403276175162 11.87335622338461, 78.97140653751921 11.87319971521818)"
102,SA,S,26,101-102,,286.7158,2.87,145.6,,11.87319971521818,78.97140653751921,GOOD,GOOD,LT-3,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.97140653751921 11.87319971521818, 78.96889476465816 11.873049227896363)"
103,SA,S,26,102-103,,274.2237,12.53,142.74,,11.873049227896363,78.96889476465816,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.96889476465816 11.873049227896363, 78.96665679334194 11.872634565426788)"
104,SA,S,26,103-104,,248.1629,11.83,144.9,,11.872634565426788,78.96665679334194,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.96665679334194 11.872634565426788, 78.96457176685848 11.8722482252666)"
105,SA,S,26,104-105,,231.204,7.91,145.49,,11.8722482252666,78.96457176685848,GOOD,GOOD,"LT-1,HT-1",ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.96457176685848 11.8722482252666, 78.96236776821046 11.87257923075701)"
106,SA,S,26,105-106,,242.96,8.45,146.6,,11.87257923075701,78.96236776821046,GOOD,GOOD,HT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.96236776821046 11.87257923075701, 78.96027876965123 11.872879224707182)"
107,SA,S,26,106-107,,230.0586,13.42,149.83,,11.872879224707182,78.96027876965123,GOOD,GOOD,LT-1,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.96027876965123 11.872879224707182, 78.95828277111441 11.873181230060627)"
108,SC,T,26,107-108,,220.0684,2.01,152.99,,11.873181230060627,78.95828277111441,GOOD,GOOD,HT-1,,PLAIN,S/C,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95828277111441 11.873181230060627, 78.9555397724906 11.873584223965777)"
109,SA,S,26,108-109,,302.2294,13.24,153.74,,11.873584223965777,78.9555397724906,GOOD,GOOD,HT--1,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9555397724906 11.873584223965777, 78.95276477405518 11.87302122285487)"
110,SA,S,26,109-110,,= 308.7592,,145,,11.87302122285487,78.95276477405518,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95276477405518 11.87302122285487, 78.9504167584925 11.8725287625894)"
111,SA,S,26,110-111,,261.5665,4.88,143.14,,11.8725287625894,78.9504167584925,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9504167584925 11.8725287625894, 78.94791477654184 11.87201922303847)"
112,SA,S,26,111-112,,278.4762,,146.96,,11.87201922303847,78.94791477654184,GOOD,GOOD,11KV,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94791477654184 11.87201922303847, 78.9454127788244 11.871502224267111)"
113,SC,T,26,112-113,,278.5978,6.24,149.13,"16d16'48""RT",11.871502224267111,78.9454127788244,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9454127788244 11.871502224267111, 78.94317311147653 11.871680787934928)"
114,SA,S,26,113-114,,274,,149.5,,11.871680787934928,78.94317311147653,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94317311147653 11.871680787934928, 78.94102478105282 11.871840223387053)"
115,SA,S,26,114-115,,234,3.72,148.51,,11.871840223387053,78.94102478105282,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94102478105282 11.871840223387053, 78.93898378219743 11.871999222688867)"
116,SB,T,24,115-116,,223.1188,7.62,153.32,"10d7'10""LT",11.871999222688867,78.93898378219743,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93898378219743 11.871999222688867, 78.93715878291403 11.871806223201146)"
117,SA,S,26,116-117,,200.0283,,148.32,,11.871806223201146,78.93715878291403,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93715878291403 11.871806223201146, 78.93451078522286 11.871560228646082)"
118,SA,S,26,117-118,,289.8555,5.18,150.15,,11.871560228646082,78.93451078522286,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93451078522286 11.871560228646082, 78.93200178603675 11.871304227669688)"
119,SA,S,26,118-119,,274.8908,3.72,150.79,,11.871304227669688,78.93200178603675,GOOD,GOOD,"LT-1,HT-1",,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93200178603675 11.871304227669688, 78.92961678807427 11.871089224171442)"
120,SA,S,26,119-120,,261.0011,8.22,151.91,,11.871089224171442,78.92961678807427,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92961678807427 11.871089224171442, 78.92799078909874 11.870334230789647)"
