S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ,,,,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 249/1,T,3W,DC on DC,28,,,12.05,3.7,1.4,26.5,62,,12.07969626,79.48770588,GOOD,,,,,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4877058826386 12.0796962641179, 79.4871774874627 12.0805522240698)"
2,248,T,,SC on DC,26, 249/1 - 248,112.0366725,15.2,5.8,4.3,25,70,1°3'60''LT,12.08055222,79.48717749,GOOD,Available,,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4871774874627 12.0805522240698, 79.4857213832437 12.0830123126506)"
3,247,S,,SC on DC,26,248 - 247,316.1770085,,,,,69,0°55'44''RT,12.08301231,79.48572138,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4857213832437 12.0830123126506, 79.4843493495136 12.0852469280362)"
4,246,S,,SC on DC,26,247 - 246,290.0561306,,,,,67,0°21'1''RT,12.08524693,79.48434935,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4843493495136 12.0852469280362, 79.482986619696 12.0874362811446)"
5,245,S,,SC on DC,26,246 - 245,285.25194,,,,,66,0°55'21''LT,12.08743628,79.48298662,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.482986619696 12.0874362811446, 79.4814936351031 12.0899232756346)"
6,244,S,,SC on DC,26,245 - 244,320.7742569,,,,,64,0°23'16''RT,12.08992328,79.48149364,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4814936351031 12.0899232756346, 79.4799173343926 12.0925092604011)"
7,243,S,,SC on DC,26,244 - 243,334.8221576,,,,,65,0°24'49''LT,12.09250926,79.47991733,GOOD,Available,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4799173343926 12.0925092604011, 79.4784799218177 12.094906149432)"
8,242,S,,SC on DC,26,243 - 242,309.1147614,,,,,66,0°25'13''RT,12.09490615,79.47847992,GOOD,Available,"HT-2,LT-3",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4784799218177 12.094906149432, 79.4770240690559 12.0972939021885)"
9,241,T,2W,SC on DC,26,242 - 241,309.2723389,14.55,6.75,2.9,46.7,68,0°17'47''LT,12.0972939,79.47702407,GOOD,Available,,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4770240690559 12.0972939021885, 79.4755959603935 12.0996636338531)"
10,240,S,,SC on DC,26,241 - 240,306.0126562,,,,,69,0°40'52''RT,12.09966363,79.47559596,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4755959603935 12.0996636338531, 79.4741125311702 12.102060271427)"
