S.NO,Tower No,Tower Type,Tower Type (S/T),JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,1LILO TO NEYVELI,SB,T,3W,24,32-1,,#REF!,7.15,79.69,"126d8'55""RT",11.63546128,79.5136525,GOOD,GOOD,,,PLAIN,D/C,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51365250433814 11.635461283318797, 79.51484750394884 11.636617282779)"
2,2,SA,S,,26,2-Jan,,0.000546853,8.21,76.78,,11.63661728,79.5148475,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51484750394884 11.636617282779, 79.51618850357283 11.63793627684879)"
3,3,SA,S,,26,3-Feb,,0.000583076,7.67,75.24,,11.63793628,79.5161885,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51618850357283 11.63793627684879, 79.51766650322705 11.639290281035539)"
4,4,SA,S,,26,4-Mar,,0.002267356,7.31,91.52,,11.63929028,79.5176665,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51766650322705 11.639290281035539, 79.51923050177624 11.640787277055784)"
5,5,SD,T,,28,5-Apr,,0.00217512,6.24,76.21," 67d27'11""LT",11.64078728,79.5192305,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51923050177624 11.640787277055784, 79.51902550261532 11.641299280519233)"
6,6,SB,T,,24,6-May,,0.001742858,5.61,84.98," 6d44'40""LT",11.64129928,79.5190255,GOOD,GOOD,,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51902550261532 11.641299280519233, 79.51876350195467 11.641779284382391)"
7,7,SA,S,,26,7-Jun,,0.002242417,3.71,81.3,,11.64177928,79.5187635,GOOD,GOOD,230KV,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51876350195467 11.641779284382391, 79.51848450229002 11.642291277254385)"
8,8,SD,T,,28,8-Jul,,0.001946,5.12,80.68,"34d49'19""RT",11.64229128,79.5184845,GOOD,GOOD,230KV,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51848450229002 11.642291277254385, 79.51876450255726 11.644541277872422)"
9,9,SA,S,,26,9-Aug,,0.002122258,4.31,80.97,,11.64454128,79.5187645,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51876450255726 11.644541277872422, 79.51902050266234 11.646701280166534)"
10,10,SA,S,,26,10-Sep,,0.000352843,2.18,84.26,,11.64670128,79.5190205,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51902050266234 11.646701280166534, 79.51922350235448 11.648432276049572)"
11,11,SA,S,,26,11-Oct,,80.36945103,3.62,86.58,,11.64843228,79.5192235,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51922350235448 11.648432276049572, 79.51944950254794 11.650663275105707)"
12,12,SA,S,,26,12-Nov,,0,4.21,86.48,,11.65066328,79.5194495,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51944950254794 11.650663275105707, 79.51968250242494 11.652595276032617)"
13,13,SA,S,,26,13-Dec,,0,1.9,88.37,,11.65259528,79.5196825,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51968250242494 11.652595276032617, 79.51993650156956 11.654702279548342)"
14,14,SC,T,,26,13-14,,0,0.19,90.99," 18d31'0""LT",11.65470228,79.5199365,GOOD,GOOD,"HT2,LT1",ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51993650156956 11.654702279548342, 79.5198625022803 11.655047276082502)"
15,GANTRY KILAKUPPAM,GANTRY,T,2W,20,14-GANTRY,,0,,98.02,,11.65504728,79.5198625,GOOD,GOOD,,,PLAIN,S/C,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
