S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ,,,,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,"Gantry 
(Thirupachanur SS)",Gantry,H-POLE,12,,,,,,,51.8709599999999,,11.879777777777779,79.49766666666667,GOOD,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.49766666666667 11.879777777777779, 79.49716666666667 11.879833333333334)"
2, 25/6,T,DC,26,Gantry- 25/6,56.40517817012049,17.2,8.5,5.8,37.1,51.1618799999999,"37°10'39"" L",11.879833333333334,79.49716666666667,GOOD,NO E/W,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.49716666666667 11.879833333333334, 79.49533333333333 11.878666666666668)"
3, 25/5,T,DC,26, 25/6 -  25/5,237.04803495857348,17.65,7.85,6.7,18.5,49.9926219999999,"13°51'6"" R",11.878666666666668,79.49533333333333,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.49533333333333 11.878666666666668, 79.4931388888889 11.877944444444445)"
4, 25/4,S,DA,26, 25/5 -  25/4,250.35532806012893,,,,,48.649109,,11.877944444444445,79.4931388888889,GOOD,Available,"LT,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4931388888889 11.877944444444445, 79.49116666666667 11.87738888888889)"
5, 25/3,S,DA,26, 25/4 -  25/3,224.9563868600518,,,,,48.349133,,11.87738888888889,79.49116666666667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.49116666666667 11.87738888888889, 79.48891666666667 11.876666666666667)"
6, 25/2,S,DA,26, 25/3 -  25/2,256.9909800264797,,,,,47.7386699999999,,11.876666666666667,79.48891666666667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48891666666667 11.876666666666667, 79.48672222222223 11.875916666666667)"
7,LILO : 25/1,T,DC,26, 25/2 -  25/1,252.15857184580895,15.8,6.3,4.9,24.4,46.075619,"81°22'28"" R",11.875916666666667,79.48672222222223,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48672222222223 11.875916666666667, 79.48630555555556 11.8785)"
8,24,T,DC,26, 25/1 - 24,290.1301853467086,13.55,5.35,2.4,36.4,46.5974009999999,"3°29'2"" L",11.8785,79.48630555555556,GOOD,NO E/W,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48630555555556 11.8785, 79.48661111111112 11.876083333333334)"
9,25,S,DA,26,24 - 25,271.5701481729067,11.75,2.4,1.4,14,47,,11.876083333333334,79.48661111111112,GOOD,24F OPGW Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48661111111112 11.876083333333334, 79.48683333333334 11.87325)"
10,26,S,DA,26,25 - 26,312,13.15,3.7,2.6,17.6,49.1967849999999,,11.87325,79.48683333333334,GOOD,24F OPGW Available,,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
