S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ,,,,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
90, 164/4,T,DC on DC,28, 164/3 -  164/4,272.5331336264408,12.6,3.35,2.1,18.7,94,11°8'37''LT,12.2697375621646,79.428837429732,GOOD,Available,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.428837429732 12.2697375621646, 79.4270779006183 12.2688415367156)"
91, 164/5,S,DC on DC,28, 164/4 -  164/5,216.80795596057388,,,,,93,4°34'40''LT,12.2688415367156,79.4270779006183,GOOD,Available,"LT,HT",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4270779006183 12.2688415367156, 79.4247212447226 12.2678697388619)"
92, 164/6,T,DC on DC,28, 164/5 -  164/6,279.25537463605053,14.35,4.75,3.7,18,94,3°9'36''LT,12.2678697388619,79.4247212447226,GOOD,Available,,"CANAL, MUD ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4247212447226 12.2678697388619, 79.4229049701243 12.2672354802489)"
93, 164/7,S,DC on DC,28, 164/6 -  164/7,210.92970220211234,,,,,95,1°57'17''LT,12.2672354802489,79.4229049701243,GOOD,Available,LT-3,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4229049701243 12.2672354802489, 79.4209231529384 12.2666184045374)"
94, 164/8,S,DC on DC,28, 164/7 -  164/8,227.40075444912466,,,,,95,0°39'36''RT,12.2666184045374,79.4209231529384,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4209231529384 12.2666184045374, 79.4188497215509 12.2659465111792)"
95, 164/9,S,DC on DC,28, 164/8 -  164/9,238.74991393193324,,,,,95,0°4'21''LT,12.2659465111792,79.4188497215509,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4188497215509 12.2659465111792, 79.4170239754021 12.2653574310243)"
96, 164/10,S,DC on DC,28, 164/9 -  164/10,210.2914565961099,,,,,96,0°11'37''RT,12.2653574310243,79.4170239754021,GOOD,Available,HT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4170239754021 12.2653574310243, 79.4151066150516 12.2647316381335)"
97, 164/11,S,DC on DC,28, 164/10 -  164/11,221.02955834200637,,,,,97,0°28'35''LT,12.2647316381335,79.4151066150516,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4151066150516 12.2647316381335, 79.4133359380066 12.264169966802)"
98, 164/12,T,DC on DC,28, 164/11 -  164/12,203.65750717154754,11.95,2.95,1.5,19.1,98,17°37'49''RT,12.264169966802,79.4133359380066,GOOD,Available,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4133359380066 12.264169966802, 79.4120452925562 12.2632585186511)"
99, 164/13,T,DC on DC,28, 164/12 -  164/13,174.11214477175784,10.55,3.95,0,31.3,100,12°2'25''LT,12.2632585186511,79.4120452925562,GOOD,Available,LT,VILLAGE AREA,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4120452925562 12.2632585186511, 79.4118527602404 12.2631760407239)"
100,"Gantry 
( Gingee SS )",T,H - POLE,15, 164/13 - Gantry,24.09691089911383,,,,,101,,12.2631760407239,79.4118527602404,GOOD,NO E/W,,,PLAIN,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G105),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
