Tower No,Tower Type,Tower Type,Tower Height (Mtrs),Span Between Tower No.,Span length             (As per tower DChedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
14,DA,S,26,15-14,,331.4254,9.32,163.02,,11.585954293530605,78.76926289299632,good,good,HT-1,,,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76926289299632 11.585954293530605, 78.76682589499559 11.584920299132419)"
13,DC,T,26,14-13,,289.4564,3.49,162.43," 19d28'26""LT",11.584920299132419,78.76682589499559,good,good,LT-1,CAR TRACK,,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76682589499559 11.584920299132419, 78.76442689623174 11.582753296959222)"
12,DD,T,28,13-12,,354.9752,4.15,164.3," 40d48'2""RT",11.582753296959222,78.76442689623174,good,good,HT-1,,,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76442689623174 11.582753296959222, 78.7621668985618 11.582676293774657)"
11,DA,S,26,12-11,,246.7218,2.35,161.48,,11.582676293774657,78.7621668985618,good,good,LT-1,,,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7621668985618 11.582676293774657, 78.7598668997012 11.582620291266243)"
10,DC,T,26,11-10,,251.0159,5.15,163.48," 22d19'35""LT",11.582620291266243,78.7598668997012,good,good,LT-1,,,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7598668997012 11.582620291266243, 78.75720890140897 11.58145229148024)"
9,DC,T,26,10-9,,317.4974,3.81,165.2,"26d4'9""RT",11.58145229148024,78.75720890140897,good,good,LT-1,RIVER,,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75720890140897 11.58145229148024, 78.75547790308677 11.581513297493101)"
8,DC,T,26,9-8,,188.9811,3.97,161.99," 21d25'22""LT",11.581513297493101,78.75547790308677,good,good,,,,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75547790308677 11.581513297493101, 78.7528269046061 11.58058329368044)"
7,DA,S,26,8-7,,307.0005,1.75,166.49,,11.58058329368044,78.7528269046061,good,good,,,,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7528269046061 11.58058329368044, 78.74996690705481 11.579602300308654)"
6,DD,T,28,7-6,,330.3852,7.69,167.07,"37d2'55""RT",11.579602300308654,78.74996690705481,good,good,,,,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74996690705481 11.579602300308654, 78.74768546337832 11.580318961570542)"
5,DA,S,26,6-5,,261.2388,6.79,171.26,,11.580318961570542,78.74768546337832,good,good,HT-1,ROAD,,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74768546337832 11.580318961570542, 78.74542091034947 11.581030293940902)"
4,DB,T,24,5-4,,259,2.26,171.2,"7d32'16""LT",11.581030293940902,78.74542091034947,good,good,HT-1,,,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74542091034947 11.581030293940902, 78.74264491252363 11.581531293306513)"
3,DA,S,26,4-3,,307.9098,6.21,168.95,,11.581531293306513,78.74264491252363,good,good,,,,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74264491252363 11.581531293306513, 78.73984491426198 11.582000293048868)"
2,DA,S,26,3-2,,309.8596,5.93,174,,11.582000293048868,78.73984491426198,good,good,,CAR TRACK,,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73984491426198 11.582000293048868, 78.7377479152738 11.582382294645189)"
1,DC,T,26,2-1,,232.6672,2.25,175.35,"17d16'4""",11.582382294645189,78.7377479152738,good,good,HT-1,,,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7377479152738 11.582382294645189, 78.73581991702237 11.582144292018842)"
1/7 lilo DEVIYAKURICHI,T,T,26,1-LILO,,211.9985,1.67,178.42,,11.582144292018842,78.73581991702237,good,good,"LT-2,HT-1",CAR TRACK,,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,TOTAL,,=SUM(G8:G113),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
