Tower No,Tower Type,Tower Type,Tower Height (Mtrs),Span Between Tower No.,Span length             (As per tower DChedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
85,DA,S,26,86-85,,226,2.35,140,,11.70666581350012,78.89077588117578,good,good,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89077588117578 11.70666581350012, 78.8895448129577 11.705475264052321)"
84,DB,T,24,85-84,,188.082,4.2,137.3," 9d30'3""LT",11.705475264052321,78.8895448129577,good,good,LT-1,,PLAIN,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8895448129577 11.705475264052321, 78.88829618521427 11.703784031801838)"
83,DA,S,26,84-83,,231.4162,3.85,139.09,,11.703784031801838,78.88829618521427,good,good,LT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88829618521427 11.703784031801838, 78.88647448028395 11.701316698129897)"
82,DA,S,26,83-82,,337.6188,5.68,141.2,,11.701316698129897,78.88647448028395,good,good,,,PLAIN,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88647448028395 11.701316698129897, 78.88494799715136 11.699248892922059)"
81,DA,S,26,82-81,,282.9433,9.8,142.15,,11.699248892922059,78.88494799715136,good,good,"LT-3,HT-1",ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88494799715136 11.699248892922059, 78.88334981657066 11.697084091411238)"
80,DA,S,26,81-80,,296.2201,2.68,142.86,,11.697084091411238,78.88334981657066,good,good,LT-1,CAR TRACK,PLAIN,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88334981657066 11.697084091411238, 78.88179181789553 11.69497626725035)"
79,DA,S,26,80-79,,288.5513,10.69,145.77,,11.69497626725035,78.88179181789553,good,good,"400KV,HT-1",,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88179181789553 11.69497626725035, 78.8802508190853 11.692886267306456)"
78,DC,T,26,79-78,,285.8668,7.54,142.09,"26d45'56""RT",11.692886267306456,78.8802508190853,good,good,HT-1,,PLAIN,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8802508190853 11.692886267306456, 78.87804316220948 11.691768250879242)"
77,DA,S,26,78-77,,270.6634,4.24,139.14,,11.691768250879242,78.87804316220948,good,good,LT-2,ROAD-2,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87804316220948 11.691768250879242, 78.87566917694517 11.690565973823867)"
76,DA,S,26,77-76,,291.0676,5.68,140.45,,11.690565973823867,78.87566917694517,good,good,LT-1,CAR TRACK,PLAIN,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87566917694517 11.690565973823867, 78.87290070747633 11.689163880280223)"
