S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 92,T,3W,DC,26,,,2.47,82.592888,,10.73869444,78.83369444,GOOD,,,,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83369444444443 10.738694444444443, 78.83449999999999 10.74011111111111)"
2,1,T,,DB,25,LILO: 92 -1,182.6960743,0.89,72.436295,"0°32'24""R",10.74011111,78.8345,GOOD,Available,"LT,66KV",,PLAIN,Trichy - Tanjore 11O KV Crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83449999999999 10.74011111111111, 78.83513888888888 10.741249999999999)"
3,2,T,,DB,25,01-Feb,142.1526429,1.3,71.732994,"3°40'12""L",10.74125,78.83513889,GOOD,Available,HT,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83513888888888 10.741249999999999, 78.83613888888888 10.742777777777777)"
4,3,T,,DB,25,02-Mar,202.339452,2.56,72.350945,"15°48'0""L",10.74277778,78.83613889,GOOD,Available,LT,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83613888888888 10.742777777777777, 78.83794444444445 10.744333333333332)"
5,4,T,,DB,25,03-Apr,262.2240525,2.38,73.876472,"7°19'48""R",10.74433333,78.83794444,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83794444444445 10.744333333333332, 78.83958333333332 10.746194444444443)"
6,5,S,,DA,26,04-May,271.0741152,3.46,74.371696,,10.74619444,78.83958333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83958333333332 10.746194444444443, 78.84075 10.747444444444444)"
7,6,S,,DA,26,05-Jun,190.7175907,1.72,73.284363,,10.74744444,78.84075,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84075 10.747444444444444, 78.84194444444444 10.74875)"
8,7,T,,DC,26,06-Jul,193.4062272,0.15,74.152336,"41°47'60""R",10.74875,78.84194444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84194444444444 10.74875, 78.84194444444444 10.750972222222222)"
9,8,S,,DA,26,07-Aug,244.7448168,0.71,74.004639,,10.75097222,78.84194444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84194444444444 10.750972222222222, 78.84194444444444 10.753694444444445)"
10,9,S,,DA,26,08-Sep,303.1748107,1.53,73.077393,,10.75369444,78.84194444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84194444444444 10.753694444444445, 78.84194444444444 10.755916666666666)"
11,10,S,,DA,26,09-Oct,245.3032749,2.89,73.261421,,10.75591667,78.84194444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84194444444444 10.755916666666666, 78.84194444444444 10.758166666666666)"
12,11,T,,DC,26,10-Nov,249.391466,2.27,73.995644,"37°55'48""R",10.75816667,78.84194444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84194444444444 10.758166666666666, 78.84011111111111 10.760472222222223)"
13,12,T,,DB,25,11-Dec,323.5839068,3.69,75.725739,"7°3'0""L",10.76047222,78.84011111,GOOD,Available,,"POND , Village Road",Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84011111111111 10.760472222222223, 78.83958333333332 10.761333333333333)"
14,13,T,,DB,25,Dec-13,112.7600072,1.04,77.176163,"3°27'36""R",10.76133333,78.83958333,GOOD,Available,LT,"POND,ROAD",Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83958333333332 10.761333333333333, 78.83883333333333 10.76238888888889)"
15,14,T,,DB,25,13-14,140.0150425,3.11,76.75103,"16°34'48""R",10.76238889,78.83883333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83883333333333 10.76238888888889, 78.83797222222222 10.763083333333332)"
16,15,T,,DC,26,14-15,121.6872933,1.25,78.911308,"66°27'36""L",10.76308333,78.83797222,GOOD,Available,,"Canal, Village Road",Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83797222222222 10.763083333333332, 78.83844444444443 10.764722222222222)"
