S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ,,,,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO :  164/1,T,3W,SC on DC,28,,,12.4,3.25,1.9,19.2,96,,12.27350975,79.43372374,GOOD,,,,,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4337237440049 12.2735097538679, 79.4335846882313 12.273626094684)"
2, 164A,T,,SC on DC,26, 164/1 -  164A,21.11120938,12.45,3.45,1.9,21.3,96,6°57'53''LT,12.27362609,79.43358469,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4335846882313 12.273626094684, 79.4325608387589 12.2747195139527)"
3, 164B,T,,SC on DC,26, 164A -  164B,165.6753547,12.6,2.95,2.2,12.3,95,0°14'49''LT,12.27471951,79.43256084,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4325608387589 12.2747195139527, 79.4310226757079 12.2763764485716)"
4,163,S,,SC on DC,26, 164B - 163,249.4334889,,,,,93,2°15'31''RT,12.27637645,79.43102268,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4310226757079 12.2763764485716, 79.4291085004806 12.2782819904387)"
5,162,S,,SC on DC,26,163 - 162,297.5519041,,,,,94,1°10'29''LT,12.27828199,79.4291085,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4291085004806 12.2782819904387, 79.4274529069662 12.2799991071224)"
6,161,S,,SC on DC,26,162 - 161,263.0087278,,,,,93,0°9'35''LT,12.27999911,79.42745291,GOOD,Available,LT-2NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4274529069662 12.2799991071224, 79.425776945427 12.2817470692098)"
7,160,T,,SC on DC,26,161 - 160,267.0097502,14,4.45,3.4,18.2,94,0°27'16''RT,12.28174707,79.42577695,GOOD,Available,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.425776945427 12.2817470692098, 79.4241692963987 12.2833973821252)"
8,159,S,,SC on DC,26,160 - 159,254.0597551,,,,,95,0°53'20''LT,12.28339738,79.4241693,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4241692963987 12.2833973821252, 79.4223097711801 12.2853664588183)"
9,158,S,,SC on DC,26,159 - 158,298.5124891,,,,,96,0°5'30''RT,12.28536646,79.42230977,GOOD,Available,,MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4223097711801 12.2853664588183, 79.420589134097 12.2871826495975)"
10,157,S,,SC on DC,26,158 - 157,275.838225,,,,,97,0°31'29''RT,12.28718265,79.42058913,GOOD,Available,HT,"ROAD,MUD ROAD",AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.420589134097 12.2871826495975, 79.4188374839723 12.2889980021864)"
