Tower No,Tower Type,Tower Type (S/T),JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
108(DP1),SB,T,,24,107-108,77.73,,77.577301,,11.11933941,79.0773897,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07738970434448 11.11933940568349, 79.07762070365874 11.118930403745566)"
109(DP2),SB,T,,24,108-109,51.811,,77.315224,,11.1189304,79.0776207,GOOD,G00D,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07762070365874 11.118930403745566, 79.07875270389596 11.118595404895226)"
110,SD,T,,28,109-110,129.164,7.85,78.084801,"54°52'39""LT",11.1185954,79.0787527,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07875270389596 11.118595404895226, 79.08101970231269 11.120340408626314)"
111,SA,S,,26,110-111,314.038,9,80.189339,,11.12034041,79.0810197,GOOD,GOOD,"HT-1,LT-1",ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08101970231269 11.120340408626314, 79.08332770135415 11.122150408681062)"
112,SA,S,,26,111-112,322.05,8.2,81.65947,,11.12215041,79.0833277,GOOD,G00D,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08332770135415 11.122150408681062, 79.0858196996528 11.124075407159014)"
113,SB,T,,24,112-113,345.666,7.45,90.813866,"4°52'35""RT",11.12407541,79.0858197,GOOD,GOOD,LT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0858196996528 11.124075407159014, 79.08717469865343 11.124956400439189)"
114,SA,S,,26,113-114,177.246,8.25,91.417213,,11.1249564,79.0871747,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08717469865343 11.124956400439189, 79.08862369852946 11.125884403189836)"
115,SD,T,,28,114-115,118.687,6.15,90.403221,"58°49'22""LT",11.1258844,79.0886237,GOOD,G00D,"LT-2,HT-1",ROAD-1,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08862369852946 11.125884403189836, 79.08860369803399 11.12738639915914)"
116,SA,S,,26,115-116,166.183,6.7,92.243973,,11.1273864,79.0886037,GOOD,GOOD,"HT-3,LT-1",ROAD-2,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08860369803399 11.12738639915914, 79.08852269812412 11.129589406759601)"
117,SA,S,,26,116-117,243.881,7.35,93.293381,,11.12958941,79.0885227,GOOD,GOOD,HT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08852269812412 11.129589406759601, 79.08841669826072 11.13180440350644)"
118,SB,T,,24,117-118,246.321,8,94.209183,"3°40'29""LT",11.1318044,79.0884167,GOOD,G00D,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08841669826072 11.13180440350644, 79.08819369868556 11.134029402580756)"
LILO 119,SB,T,3W,24,118-119LILO,247.356,8.15,95.606644,"7°42'4""LT",11.1340294,79.0881937,GOOD,GOOD,HT-1,,PLAIN,lilo to poiyur ss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08819369868556 11.134029402580756, 79.08768169869829 11.136159401983813)"
120,SD,T,,28,119LILO-120,242.192,6.9,85.681084,"30°55'7""RT",11.1361594,79.0876817,GOOD,GOOD,"HT-4,LT-1",,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08768169869829 11.136159401983813, 79.08818269829115 11.1377224024355)"
121,SD,T,,28,120-121,181.372,1.65,88.003639,"81°56'45""RT",11.1377224,79.0881827,GOOD,G00D,"LT-2,HT-2",ROAD-1,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08818269829115 11.1377224024355, 79.08858769789605 11.137655396988807)"
ARIYALUR GANTRY ,GANTRY,T,2W,20,121-Gantry,44.863,,89.094673,,11.1376554,79.0885877,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
