S. No ,Tower No,Tower Type & Supspension/Tenion,JOINT BOX,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Availability of Road,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
19,T.NO.19,S,,DA,26,18-19,NO,,142.9475428,1.61,114,,78.61055556,10.60775,GOOD,GOOD,LT LINE CROSSING,"MUD ROAD,CANAL CROSSING",CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61055555555555 10.60775, 78.61194444444443 10.6065)"
20,T.NO.20,S,,DA,26,19-20,NO,,205.915031,1.4,113,,78.61194444,10.6065,GOOD,GOOD,LT LINE CROSSING,"TAR ROAD,CANAL CROSSING",CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61194444444443 10.6065, 78.61369444444443 10.604888888888889)"
21,T.NO.21,T,,DB,24,20-21,YES,,260.3536057,1.71,117,"1°40'6.87""",78.61369444,10.60488889,GOOD,GOOD,,,CULTIVATION LAND,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61369444444443 10.604888888888889, 78.61541666666666 10.603416666666666)"
22,T.NO.22,S,,DA,26,21-22,NO,,252.2102298,1.93,115,,78.61541667,10.60341667,GOOD,GOOD,,,PLAIN LAND,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61541666666666 10.603416666666666, 78.61708333333333 10.601888888888888)"
23,T.NO.23,T,,DB,24,22-23,DIFFICULT,,245.4893073,1.34,117,"1°39'8.82""",78.61708333,10.60188889,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61708333333333 10.601888888888888, 78.61869444444444 10.600333333333333)"
24,T.NO.24,T,,DC,26,23-24,DIFFICULT,,248.1954875,1.13,117,"28°53'28.93""",78.61869444,10.60033333,GOOD,GOOD,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61869444444444 10.600333333333333, 78.61908333333332 10.600222222222222)"
25,T.NO.25,GANTRY TOWER (A),,DC,26,24-25,NO,,43.68065934,5.72,118,"22°25'42.49""",78.61908333,10.60022222,GOOD,GOOD,400KV LINE CROSSING,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61908333333332 10.600222222222222, 78.61947222222221 10.600277777777777)"
26,T.NO.26,GANTRY TOWER (B),,DB,24,25-26,NO,,44.28317965,4.79,115,"10°40'4.76""",78.61947222,10.60027778,GOOD,GOOD,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61947222222221 10.600277777777777, 78.6198611111111 10.600249999999999)"
27,T.NO.27,T,,DB,24,26-27,NO,,41.10960958,2.4,120,"11°34'28.27""",78.61986111,10.60025,GOOD,GOOD,11KV -1 CROSSING,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6198611111111 10.600249999999999, 78.62252777777778 10.60061111111111)"
28,T.NO.28,T,,DB,24,27-28,NO,,295.4538881,3.67,119,"2°6'24.22""",78.62252778,10.60061111,GOOD,GOOD,,TAR ROAD CROSSING,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.62252777777778 10.60061111111111, 78.62519444444443 10.600888888888889)"
