,Tower No, Supspension/Tenion,TOWER TYPE,CURCUIT,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY KODAVASAL 110KV SS,GANTRY,GANTRY,,20,,YES,,,,,79.51386111111111,10.862499999999999,GOOD,,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51386111111111 10.862499999999999, 79.51377777777778 10.862277777777777)"
2,46/34,T,DC,DC,26,GANTRY-46/34,YES,25.495,-,25,"27°36'19.35""",79.51377777777778,10.862277777777777,GOOD,GOOD,YES,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51377777777778 10.862277777777777, 79.51383333333334 10.860777777777777)"
3,46/33,T,DD,DC,28,46/34-46/33,NO,168.107,1.46,23,"37°0'38.12""",79.51383333333334,10.860777777777777,GOOD,GOOD,NO,,MUD ROAD,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51383333333334 10.860777777777777, 79.51552777777778 10.858722222222221)"
4,46/32,S,DA,DC,26,46/33-46/32,NO,293.614,1.56,22,,79.51552777777778,10.858722222222221,GOOD,GOOD,NO,,,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51552777777778 10.858722222222221, 79.5171111111111 10.856777777777777)"
5,46/31,S,DA,DC,29,46/32-46/31,NO,276.74,1.8,23,,79.5171111111111,10.856777777777777,GOOD,GOOD,NO,2nos LT,TAAR ROAD,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5171111111111 10.856777777777777, 79.51883333333333 10.854722222222222)"
6,46/30,S,DA,DC,26,46/31-46/30,YES,293.614,1.96,23,,79.51883333333333,10.854722222222222,GOOD,GOOD,NO,,,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51883333333333 10.854722222222222, 79.52044444444445 10.852666666666666)"
7,46/29,S,DA,DC,29,46/30-46/29,NO,287.237,1.4,22,,79.52044444444445,10.852666666666666,GOOD,GOOD,NO,LT ,CANAL,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52044444444445 10.852666666666666, 79.52208333333333 10.850666666666667)"
8,46/28,T,DC,DC,26,46/29-46/28,NO,285.175,1.67,26,"22°21'13.16""",79.52208333333333,10.850666666666667,GOOD,GOOD,NO,,"TAAR ROAD,CANAL",CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52208333333333 10.850666666666667, 79.52283333333334 10.848222222222223)"
9,46/27,S,DA,DC,26,46/28-46/27,NO,284.763,1.85,22,,79.52283333333334,10.848222222222223,GOOD,GOOD,NO,LT ,CANAL,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52283333333334 10.848222222222223, 79.52361111111111 10.845805555555556)"
10,46/26,S,DA,DC,26,46/27-46/26,YES,280.264,1.91,21,,79.52361111111111,10.845805555555556,GOOD,GOOD,NO,"LT,11KV",CANAL,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52361111111111 10.845805555555556, 79.5243611111111 10.843388888888889)"
