Tower No,Tower Type,Tower Type (S/T),JOINT BOX,Tower Height (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
VILUPURAM GANTRY,T,T,2W,20,,,,,51.6,,11.94000821,79.48481452,GOOD,GOOD,,,PLAIN,VILUPURAM GANTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48481451696455 11.940008209142077, 79.48521651648483 11.94054021257896)"
1,SD,T,,28,GAN-1,,73,2.45,50.31,"47d54'37""LT",11.94054021,79.48521652,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48521651648483 11.94054021257896, 79.48493751689155 11.94192020844455)"
2,SA,S,,26,2-Jan,,156,1.58,44.86,,11.94192021,79.48493752,GOOD,GOOD,,GH,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48493751689155 11.94192020844455, 79.48437151711774 11.944940205116316)"
3,SB,T,,24,3-Feb,,340,2.43,44.66," 9d51'16""LT",11.94494021,79.48437152,GOOD,GOOD,"LT-3,HT-2",,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48437151711774 11.944940205116316, 79.48389451675027 11.946209207144582)"
4,SD,T,,28,4-Mar,,150,3.95,50.22,"51d54'50""RT",11.94620921,79.48389452,GOOD,GOOD,LT-3 ,RAILWAY,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48389451675027 11.946209207144582, 79.48509249150499 11.948126323075783)"
5,SA,S,,26,5-Apr,,249,4.2,51.31,,11.94812632,79.48509249,GOOD,GOOD,"LT-3,HT-3",,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48509249150499 11.948126323075783, 79.48638804693731 11.950199605520961)"
6,SA,S,,26,6-May,,269,4.31,52.5,,11.95019961,79.48638805,GOOD,GOOD,"LT-3,HT-",,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48638804693731 11.950199605520961, 79.48759309576862 11.95212800156594)"
7,SA,S,,26,7-Jun,,250,10.55,49.37,,11.952128,79.4875931,GOOD,GOOD,"LT-2,HT-1",,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48759309576862 11.95212800156594, 79.48848307895412 11.953552192341776)"
8,SA,S,,26,8-Jul,,185,7.54,47,,11.95355219,79.48848308,GOOD,GOOD,"LT-2,HT-1",R0AD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48848307895412 11.953552192341776, 79.48994351440318 11.955889209634604)"
9,SD,T,,28,9-Aug,,304,8.4,44.96," 57d53'3""RT",11.95588921,79.48994351,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48994351440318 11.955889209634604, 79.49166030416815 11.95590429661805)"
10,SA,S,,26,10-Sep,,187,6.73,51.13,,11.9559043,79.4916603,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.49166030416815 11.95590429661805, 79.49338130323076 11.95591941016366)"
11,SA,S,,26,11-Oct,,187,8.84,52.33,,11.95591941,79.4933813,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.49338130323076 11.95591941016366, 79.49506751203215 11.955934208309635)"
12,SA,S,,26,12-Nov,,184,4.15,45.7,,11.95593421,79.49506751,GOOD,GOOD,HT-1,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.49506751203215 11.955934208309635, 79.4974195111025 11.955955201048761)"
13,SA,S,,26,13-Dec,,256,9.2,43.67,,11.9559552,79.49741951,GOOD,GOOD,"LT-2,HT-1",R0AD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4974195111025 11.955955201048761, 79.50024551052718 11.955980206585485)"
14,SB,T,2W,24,13-14,,308,9.72,44.65,"3d30'37""RT",11.95598021,79.50024551,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.50024551052718 11.955980206585485, 79.50154650972257 11.955913208590344)"
15,SC,T,,26,14-15,,142,7.73,43.1,"26d16'26""RT",11.95591321,79.50154651,GOOD,GOOD,LT-1,RAILWAY,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.50154650972257 11.955913208590344, 79.50310536224333 11.9550529974204)"
