Tower No,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
143,SA,26,144-143,278.441254428075,,99.357285,,10.971925443894586,78.53280208600356,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53280208600356 10.971925443894586, 78.53535508400685 10.97209843505101)"
142,SA,26,143-142,279.832031488936,6.98,98.082138,,10.97209843505101,78.53535508400685,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53535508400685 10.97209843505101, 78.53770608105783 10.972284437567206)"
141,SB,24,142-141,257.90925488234,4.78,101.74865,"2°54'15""LT",10.972284437567206,78.53770608105783,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53770608105783 10.972284437567206, 78.5402680792215 10.972611438982574)"
140,SA,26,141-140,282.486788281557,3.91,102.267998,,10.972611438982574,78.5402680792215,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5402680792215 10.972611438982574, 78.54245568938087 10.97288343957945)"
139,SA,26,140-139,250,,105,,10.97288343957945,78.54245568938087,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54245568938087 10.97288343957945, 78.54525707490558 10.973234436091676)"
138,SA,26,139-138,=550-250,4.41,110.203812,,10.973234436091676,78.54525707490558,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54525707490558 10.973234436091676, 78.54776907233826 10.973559438259175)"
137,SA,26,138-137,277.033858560434,1.65,104.425453,,10.973559438259175,78.54776907233826,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54776907233826 10.973559438259175, 78.55052407009623 10.973868439055611)"
136,SA,26,137-136,303.195133911832,1.95,96.510429,,10.973868439055611,78.55052407009623,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55052407009623 10.973868439055611, 78.5533030676326 10.974223441153766)"
135,SB,24,136-135,306.41302721974,3.15,94.553955,"0°50'5""LT",10.974223441153766,78.5533030676326,GOOD,GOOD,,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5533030676326 10.974223441153766, 78.55593706548305 10.974642443162024)"
134,SA,26,135-134,291.735976041853,2.65,93.77182,,10.974642443162024,78.55593706548305,GOOD,GOOD,LT-1,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55593706548305 10.974642443162024, 78.55865806237907 10.974967438673106)"
133,SB,24,134-133,299.70555470429,2.9,90.199104,"7°40'2""RT",10.974967438673106,78.55865806237907,GOOD,GOOD,HT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55865806237907 10.974967438673106, 78.56159205989945 10.974984440851797)"
132,SC,26,133-132,320.835810136579,4.25,94.303093,"14°17'46""RT",10.974984440851797,78.56159205989945,GOOD,GOOD,,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56159205989945 10.974984440851797, 78.56411205777891 10.97436543722027)"
131,SC,26,132-131,283.94677102788,3.45,103.293686,"24°28'51""LT",10.97436543722027,78.56411205777891,GOOD,GOOD,"LT-1,HT-1",,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56411205777891 10.97436543722027, 78.56688905537595 10.974882443492268)"
130,SA,26,131-130,309.004904677987,1.55,107.406769,,10.974882443492268,78.56688905537595,GOOD,GOOD,"HT-1,LT-1",ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56688905537595 10.974882443492268, 78.56939605350168 10.975337440270428)"
129,SA,26,130-129,278.72258560993,4.8,107.165848,,10.975337440270428,78.56939605350168,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56939605350168 10.975337440270428, 78.57200505120814 10.975805439801455)"
128,SA,26,129-128,289.952183195123,2.65,110.275429,,10.975805439801455,78.57200505120814,GOOD,GOOD,LT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57200505120814 10.975805439801455, 78.57456604880902 10.976283437036583)"
127,SC,26,128-127,284.991737966905,,109.444458,"11°58'25""RT",10.976283437036583,78.57456604880902,GOOD,GOOD,,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57456604880902 10.976283437036583, 78.57723304666985 10.976227434588118)"
