,Tower No,Tower Type & Supspension/Tenion,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY NAGUDI,GANTRY,T,20,,YES,,,,42,,79.1038611111111,10.152305555555555,GOOD,,,,,SS,NO EARTH WIRE,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1038611111111 10.152305555555555, 79.10388888888889 10.1525)"
,T.NO 1,T,DC,26,GANTRY-1,YES,,23.345235059857504,2.25,37,"17°50'52.36""",79.10388888888889,10.1525,GOOD,GOOD,YES,"11 KV ,33 KV",MUD,PLAIN,CANAL CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10388888888889 10.1525, 79.10463888888889 10.153944444444445)"
2,T.NO-2,T,DB,24,1--2,YES,,178.4740877550576,2.98,39,"8°45'19.98""",79.10463888888889,10.153944444444445,GOOD,GOOD,NO,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10463888888889 10.153944444444445, 79.10572222222221 10.15538888888889)"
3,T.NO-3,T,DD,28,2-3,YES,,200.20489504505127,2.09,37,"51°6'40.52""",79.10572222222221,10.15538888888889,GOOD,GOOD,NO,,MUD,,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10572222222221 10.15538888888889, 79.10830555555555 10.155527777777777)"
4,T.NO-4,S,DA,26,3-4,YES,,284.2534080710379,2.94,33,,79.10830555555555,10.155527777777777,GOOD,GOOD,NO,,,CULTIVATION LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10830555555555 10.155527777777777, 79.11102777777778 10.155694444444444)"
5,T.NO-5,T,DD,28,4-5,YES,,300.48128061494947,2.99,33,"58°8'33.31""",79.11102777777778,10.155694444444444,GOOD,GOOD,NO,11 KV,TAAR ROAD,CULTIVATION LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.11102777777778 10.155694444444444, 79.11241666666666 10.153777777777778)"
6,T.NO-6,S,DA,26,5-6,YES,,259.12352266824405,2.99,34,,79.11241666666666,10.153777777777778,GOOD,GOOD,NO,,,WATER LOGGED AREA,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.11241666666666 10.153777777777778, 79.11361111111111 10.152111111111111)"
7,T.NO-7,S,DA,26,6-7,NO,,227.50164834567684,1.9,35,,79.11361111111111,10.152111111111111,GOOD,GOOD,NO,,,WATER LOGGED AREA,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.11361111111111 10.152111111111111, 79.11477777777777 10.150527777777778)"
8,T.NO-8,T,DC,26,7-8,YES,,217.03686322834653,1.99,35,"17°49'26.60""",79.11477777777777,10.150527777777778,GOOD,GOOD,NO,"11KV ,LT",TAAR ROAD,PLAIN,CANAL CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.11477777777777 10.150527777777778, 79.11561111111111 10.148083333333332)"
9,T.NO-9,S,DA,26,8-9,YES,,284.92981591964013,2.09,36,,79.11561111111111,10.148083333333332,GOOD,GOOD,NO,"11KV ,LT",TAAR ROAD,WATER LOGGED AREA,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.11561111111111 10.148083333333332, 79.11625 10.145999999999999)"
10,T.NO-10,S,DA,26,9-10,YES,,240.7093683262037,3.02,33,,79.11625,10.145999999999999,GOOD,GOOD,NO,LT,MUD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.11625 10.145999999999999, 79.11691666666665 10.144027777777778)"
11,T.NO-11,S,DA,26,10-11,YES,,231.1730953203681,2.19,31,,79.11691666666665,10.144027777777778,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.11691666666665 10.144027777777778, 79.11755555555555 10.142055555555554)"
12,T.NO-12,S,DA,26,11-12,NO,,228.65913495856665,2.67,30,,79.11755555555555,10.142055555555554,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.11755555555555 10.142055555555554, 79.11816666666665 10.140138888888888)"
13,T.NO-13,T,DB,24,12-13,NO,,220.78496325610584,2.76,31,"4°18'12.55""",79.11816666666665,10.140138888888888,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.11816666666665 10.140138888888888, 79.11902777777777 10.138)"
14,T.NO-14,S,DA,26,13-14,NO,,254.5937941113255,2.15,29,,79.11902777777777,10.138,GOOD,GOOD,NO,,,WATER LOGGED AREA,"BUSHES, POND CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.11902777777777 10.138, 79.11983333333333 10.135722222222222)"
15,T.NO-15,T,DB,24,14-15,NO,,268.16412884649577,2.97,28,"2°27'58.93""",79.11983333333333,10.135722222222222,GOOD,GOOD,NO,,,CULTIVATION LAND,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.11983333333333 10.135722222222222, 79.12038888888888 10.133861111111111)"
16,T.NO-16,S,DA,26,15-16,NO,,214.56001491424257,2.93,29,,79.12038888888888,10.133861111111111,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12038888888888 10.133861111111111, 79.12091666666666 10.131944444444445)"
17,T.NO-17,S,DA,26,16-17,NO,,219.52904135899652,2.65,29,,79.12091666666666,10.131944444444445,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12091666666666 10.131944444444445, 79.12141666666666 10.130166666666668)"
