,Tower No, Supspension/Tenion,JOINT BOX,Type,Curcuit,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
19,T.NO 108,S,,SA,SC,26,107-108,NO,211.047388,0.52,17,,79.65727778,10.99980556,GOOD,GOOD,NO,LT,CANNEL,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65727777777778 10.999805555555554, 79.65747222222222 11.001666666666667)"
20,T.NO 109,T,,SD,SC,28,108-109,YES,208.0624906,2.61,17,"39°2'51""",79.65747222,11.00166667,GOOD,GOOD,NO,LT,MUD ROAD,CULTIVATION LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65747222222222 11.001666666666667, 79.65911111111112 11.003305555555556)"
21,T.NO 110,T,,SC,SC,26,109-110,YES,253.8523193,2.27,16,"27°35'27""",79.65911111,11.00330556,GOOD,GOOD,NO,LT-2NOS,TAAR ROAD,CULTIVATION LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65911111111112 11.003305555555556, 79.65972222222223 11.005305555555555)"
22,T.NO 111,S,,SA,SC,29,110-111,NO,229.3141949,2.35,15,,79.65972222,11.00530556,GOOD,GOOD,NO,"LT,11KV",,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65972222222223 11.005305555555555, 79.66030555555557 11.007277777777778)"
23,T.NO 112,S,,SA,SC,29,111-112,NO,228.7290974,2.02,16,,79.66030556,11.00727778,GOOD,GOOD,NO,LT,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66030555555557 11.007277777777778, 79.66091666666667 11.009222222222222)"
24,T.NO 113,S,,SA,SC,26,112-113,NO,224.5439823,2.67,16,,79.66091667,11.00922222,GOOD,GOOD,NO,,CANNEL,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66091666666667 11.009222222222222, 79.66155555555557 11.011083333333334)"
25,T.NO 114,S,,SA,SC,26,113-114,NO,218.8378395,2.52,16,,79.66155556,11.01108333,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66155555555557 11.011083333333334, 79.66219444444445 11.013)"
26,T.NO 115,T,,SB,SC,27,114-115,YES,221.9954954,2.11,15,"8°9'1""",79.66219444,11.013,GOOD,GOOD,NO,11KV,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66219444444445 11.013, 79.6623888888889 11.014194444444444)"
27,T.NO 116,T,,SB,SC,27,115-116,YES,133.0037593,0.37,11,"13°58'38""",79.66238889,11.01419444,GOOD,GOOD,NO,LT,"TAAR ROAD,RIVER",CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6623888888889 11.014194444444444, 79.66316666666667 11.015972222222222)"
28,T.NO 117,S,,SA,SC,26,116-117,YES,214.4411341,WATER,16,,79.66316667,11.01597222,GOOD,GOOD,NO,LT-2NOS,CANNEL,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66316666666667 11.015972222222222, 79.66402777777779 11.017916666666668)"
29,T.NO 118,S,,SA,SC,26,117-118,NO,236.0889663,2.12,21,,79.66402778,11.01791667,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66402777777779 11.017916666666668, 79.66475000000001 11.01975)"
30,T.NO 119,S,,SA,SC,26,118-119,NO,217.6350156,2.27,19,,79.66475,11.01975,GOOD,GOOD,NO,,CANNEL,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66475000000001 11.01975, 79.66566666666667 11.022027777777778)"
