S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 139/1,T,3W,DC,26,,,3.21,133.016235,,10.90619444,78.22722222,GOOD,Available,,,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22722222222222 10.906194444444445, 78.22705555555555 10.903638888888889)"
2,2,T,,DC,26,05-Jun,284.0729053,3.07,133.160721,"1°25'58"" R",10.90363889,78.22705556,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22705555555555 10.903638888888889, 78.22686111111112 10.901333333333334)"
3,3,S,,DA,26,06-Jul,256.1689625,3.74,134.657913,,10.90133333,78.22686111,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22686111111112 10.901333333333334, 78.22669444444445 10.898722222222222)"
4,4,S,,DA+6,32,07-Aug,289.6891746,2.77,136.412308,,10.89872222,78.22669444,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22669444444445 10.898722222222222, 78.22652777777778 10.896611111111111)"
5,5,S,,DA+6,32,08-Sep,234.3555794,2.31,136.889908,,10.89661111,78.22652778,GOOD,Available,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22652777777778 10.896611111111111, 78.22644444444444 10.895)"
6,6,T,,DB,26,09-Oct,180.0948299,2.27,139.512253,"21°37'27"" R",10.895,78.22644444,GOOD,Available,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22644444444444 10.895, 78.22594444444445 10.893916666666666)"
7,7,T,2W,DC,26,10-Nov,130.6463689,3.86,139.818787,"21°3'26"" L",10.89391667,78.22594444,GOOD,Available,,,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22594444444445 10.893916666666666, 78.22591666666666 10.893666666666666)"
8,8,T,,H-POLE,12,11-Dec,29.73599166,NIL,140.717453,"0°8'35"" R",10.89366667,78.22591667,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22591666666666 10.893666666666666, 78.22588888888889 10.893444444444444)"
9,9,T,,H-POLE,12,Dec-13,24,NIL,141.931564,"4°11'5"" R",10.89344444,78.22588889,GOOD,NO E/W,230 KV Alundhur,,PLAIN,UP LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22588888888889 10.893444444444444, 78.22586111111112 10.893166666666666)"
10,10,T,2W,DC,26,13-14,33.12173161,4.32,141.051468,"4°30'32"" R",10.89316667,78.22586111,GOOD,NO E/W,,,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22586111111112 10.893166666666666, 78.22527777777778 10.890638888888889)"
11,11,T,,DC,26,14-15,287,4.73,143.027725,"10°33'58"" R",10.89063889,78.22527778,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22527777777778 10.890638888888889, 78.22422222222222 10.88825)"
12,12,S,,DA,26,15-16,288.7858857,3.11,142.510834,,10.88825,78.22422222,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22422222222222 10.88825, 78.22336111111112 10.886388888888888)"
13,13,T,,DB,26,16-17,226.2689071,2.97,144.42836,"5°51'14"" L",10.88638889,78.22336111,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22336111111112 10.886388888888888, 78.2225 10.884)"
14,14,S,,DA,26,17-18,280.9490553,2.84,146.271469,,10.884,78.2225,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2225 10.884, 78.22166666666666 10.881527777777778)"
15,15,S,,DA+3,29,18-19,290,2.63,146.807648,,10.88152778,78.22166667,GOOD,Available,,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22166666666666 10.881527777777778, 78.2208888888889 10.87936111111111)"
16,16,T,,DC,26,19-20,260,1.07,146.248108,"9°8'12"" L",10.87936111,78.22088889,GOOD,Available,"LT,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2208888888889 10.87936111111111, 78.2205 10.877333333333334)"
17,17,S,,DA,26,20-21,227.2749064,1.36,147.091766,,10.87733333,78.2205,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2205 10.877333333333334, 78.2201388888889 10.875111111111112)"
18,18,S,,DA,26,21-22,249.0404823,2.01,148.530701,,10.87511111,78.22013889,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2201388888889 10.875111111111112, 78.21972222222223 10.872555555555556)"
19,19,S,,DA,26,22-23,287.766114,3.62,147.908722,,10.87255556,78.21972222,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21972222222223 10.872555555555556, 78.21933333333334 10.870472222222222)"
20,20,S,,DA,26,23-24,233.3045136,1.03,149.15332,,10.87047222,78.21933333,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21933333333334 10.870472222222222, 78.21905555555556 10.868666666666668)"
21,21,T,2W,DB,26,24-25,201.2829507,2.14,148.685349,"17°41'39"" L",10.86866667,78.21905556,GOOD,Available,,,AGRI,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21905555555556 10.868666666666668, 78.21944444444445 10.866083333333332)"
22,22,S,,DA,26,25-26,291.6230253,4.2,155.270935,,10.86608333,78.21944444,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21944444444445 10.866083333333332, 78.21986111111111 10.863527777777778)"
23,23,S,,DA,26,26-27,286.5743552,0.73,159.690567,,10.86352778,78.21986111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21986111111111 10.863527777777778, 78.22027777777778 10.861055555555556)"
24,24,S,,DA+3,29,27-28,274.9649715,1.28,156.536728,,10.86105556,78.22027778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22027777777778 10.861055555555556, 78.22072222222222 10.858583333333334)"
25,25,T,,DC,26,28-29,278.6145303,2.46,160.198959,"23°31'60"" R",10.85858333,78.22072222,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22072222222222 10.858583333333334, 78.22008333333333 10.856)"
